date,open,high,low,close,volume
2008-05-05,3931.689,3976.044,3904.271,3972.868,7581219851
2008-05-06,3938.7,3984.624,3883.115,3933.668,7224664870
2008-05-07,3909.694,3959.834,3749.7,3749.7,6743682467
2008-05-08,3703.252,3850.233,3703.252,3850.233,5564718075
2008-05-09,3883.296,3883.621,3754.082,3811.461,6695654395
2008-05-12,3742.45,3887.725,3717.071,3845.212,5929507764
2008-05-13,3730.11,3864.762,3730.11,3806.215,6912158208
2008-05-14,3799.356,3917.723,3799.356,3917.723,6875289447
2008-05-15,3944.226,3972.416,3887.18,3887.18,6512950742
2008-05-16,3886.789,3918.295,3819.602,3870.959,5021250220
2008-05-19,3860.191,3871.806,3818.429,3850.58,3836171530
2008-05-20,3848.832,3879.56,3646.715,3646.715,5270834906
2008-05-21,3604.907,3716.158,3533.058,3716.158,5520558097
2008-05-22,3669.871,3715.937,3649.37,3652.373,5101349931
2008-05-23,3639.421,3672.98,3575.169,3622.982,4364402109
2008-05-26,3594.532,3594.532,3510.525,3511.966,3965819663
2008-05-27,3501.789,3537.349,3486.776,3524.018,3210253603
2008-05-28,3531.122,3634.334,3515.215,3621.498,3919160323
2008-05-29,3613.146,3621.836,3528.877,3530.184,3698432758
2008-05-30,3534.669,3569.606,3503.738,3561.107,3585611209
2008-06-02,3550.908,3594.969,3531.908,3577.632,3658082418
2008-06-03,3591.02,3591.02,3549.382,3567.993,4384786316
2008-06-04,3545.981,3545.981,3473.718,3502.966,3781320808
2008-06-05,3469.016,3496.701,3448.939,3467.991,2995411326
2008-06-06,3480.229,3480.229,3427.568,3441.619,2572714672
2008-06-10,3299.119,3299.119,3143.283,3160.041,3890685728
2008-06-11,3108.71,3131.656,3052.26,3098.452,3609954005
2008-06-12,3081.437,3103.658,3005.245,3045.298,3732926054
2008-06-13,3048.22,3065.491,2936.993,2939.13,2999712318
2008-06-16,2940.443,2965.755,2863.236,2909.969,3131194550
2008-06-17,2907.576,2934.374,2791.812,2795.218,3233680836
2008-06-18,2772.92,2950.677,2726.521,2937.979,5008244259
2008-06-19,2913.429,2913.429,2719.04,2720.105,4212107354
2008-06-20,2738.203,2881.665,2647.261,2792.836,5893803461
2008-06-23,2744.618,2787.138,2720.289,2734.179,3058748791
2008-06-24,2721.366,2806.018,2720.883,2797.85,3711360692
2008-06-25,2791.733,2917.69,2791.733,2917.424,5073926244
2008-06-26,2913.219,2957.916,2879.538,2928.7,5098894287
2008-06-27,2836.593,2843.08,2736.459,2763.089,4782065305
2008-06-30,2740.265,2774.761,2708.182,2744.481,2964555317
