date,prevclose,open,high,low,close,volume,amount
2012-05-09,5768.798,5683.09,5723.061,5605.902,5607.605,740022700,18089451520
2012-05-10,,5582.521,5702.406,5580.49,5672.149,630264000,15322286080
2012-05-11,,5662.713,5714.175,5597.076,5598.492,610345300,13937305600
2012-05-14,,5643.467,5655.063,5482.461,5486.062,561489500,12728383488
2012-05-15,,5413.958,5462.289,5348.687,5460.971,550420900,11533073408
2012-05-16,,5435.477,5487.801,5408.138,5411.667,542735000,12379894784
2012-05-17,,5416.542,5504.46,5379.109,5500.624,491708700,11036301312
2012-05-18,,5458.381,5531.822,5436.013,5449.016,511083500,11331109888
2012-05-21,,5462.121,5608.663,5457.656,5560.376,604904600,14597811200
2012-05-22,,5578.231,5597.794,5549.798,5589.024,486787000,10747622400
2012-05-23,,5565.21,5598.038,5442.631,5493.695,586768900,13935689728
2012-05-24,,5462.179,5529.978,5454.365,5480.044,419007200,8755974144
2012-05-25,,5487.302,5515.168,5422.719,5462.79,395295900,8173278208
2012-05-28,,5440.021,5519.034,5329.083,5515.491,476544600,9790973952
2012-05-29,,5507.533,5681.23,5501.687,5663.615,844551500,17233930240
2012-05-30,,5645.151,5660.373,5614.393,5626.861,562935300,11210505216
2012-05-31,,5581.155,5665.154,5570.594,5618.81,462135400,9813271552
2012-06-01,,5639.167,5747.36,5639.167,5657.941,638219800,14695915520
2012-06-04,,5616.719,5659.821,5536.972,5537.155,698584200,15149179904
2012-06-05,,5535.592,5565.358,5455.409,5493.822,457277300,9712698368
2012-06-06,,5521.472,5624.013,5521.472,5584.202,614803000,12856385536
2012-06-07,,5681.118,5684.296,5516.797,5526.534,536174900,12550814720
2012-06-08,,5553.683,5555.141,5436.629,5442.825,459854700,10195740672
2012-06-11,,5458.086,5578.712,5458.086,5562.856,437246700,10088240128
2012-06-12,,5519.663,5561.772,5498.537,5512.267,350317000,7911744512
2012-06-13,,5537.949,5582.796,5506.203,5578.203,396180500,8538292736
2012-06-14,,5579.011,5596.724,5519.143,5524.102,446864300,10128548864
2012-06-15,,5537.983,5570.939,5436.698,5538.559,491341600,11091453952
2012-06-18,,5564.886,5605.34,5552.479,5564.592,410288000,8356817408
2012-06-19,,5557.678,5557.678,5475.522,5486.571,335700700,7194989568
2012-06-20,,5503.611,5544.809,5481.217,5494.911,297360700,6453382144
2012-06-21,,5468.751,5470.0,5374.319,5399.963,406811200,8062145536
2012-06-25,,5361.397,5361.397,5164.806,5177.459,421419100,8286558208
2012-06-26,,5165.533,5211.216,5100.874,5168.778,349249400,6819118592
2012-06-27,,5157.866,5190.898,5082.443,5090.231,298921300,6007775744
2012-06-28,,5107.416,5128.642,4975.697,4977.061,350165400,7592218624
2012-06-29,,4939.947,5090.599,4912.64,5081.042,378839200,7640496640
2012-07-02,,5132.985,5183.299,5121.822,5137.282,379781000,8177007104
2012-07-03,,5135.92,5178.175,5097.379,5116.537,280908200,5775661568
2012-07-04,,5146.059,5178.025,5110.145,5142.912,353292800,6148407808
2012-07-05,,5113.245,5113.245,5001.402,5039.359,331581700,6112785920
2012-07-06,,5062.988,5192.463,4999.859,5181.367,422382300,8947736576
