日期,数值,曲线,面板,原始值
2016-01-01,100.0,股价,水平指数（2016首条记录=100）,3.31
2016-01-04,100.0,股价,水平指数（2016首条记录=100）,3.31
2016-01-05,102.71903323262839,股价,水平指数（2016首条记录=100）,3.4
2016-01-06,107.85498489425981,股价,水平指数（2016首条记录=100）,3.57
2016-01-07,99.39577039274924,股价,水平指数（2016首条记录=100）,3.29
2016-01-08,106.34441087613293,股价,水平指数（2016首条记录=100）,3.52
2016-01-11,102.41691842900302,股价,水平指数（2016首条记录=100）,3.39
2016-01-12,99.39577039274924,股价,水平指数（2016首条记录=100）,3.29
2016-01-13,98.18731117824774,股价,水平指数（2016首条记录=100）,3.25
2016-01-14,99.09365558912387,股价,水平指数（2016首条记录=100）,3.28
2016-01-15,94.5619335347432,股价,水平指数（2016首条记录=100）,3.13
2016-01-18,94.25981873111782,股价,水平指数（2016首条记录=100）,3.12
2016-01-19,96.37462235649546,股价,水平指数（2016首条记录=100）,3.19
2016-01-20,96.67673716012085,股价,水平指数（2016首条记录=100）,3.2
2016-01-21,93.65558912386707,股价,水平指数（2016首条记录=100）,3.1
2016-01-22,94.25981873111782,股价,水平指数（2016首条记录=100）,3.12
2016-01-25,94.5619335347432,股价,水平指数（2016首条记录=100）,3.13
2016-01-26,89.42598187311178,股价,水平指数（2016首条记录=100）,2.96
2016-01-27,86.70694864048338,股价,水平指数（2016首条记录=100）,2.87
2016-01-28,81.87311178247734,股价,水平指数（2016首条记录=100）,2.71
2016-01-29,84.29003021148036,股价,水平指数（2016首条记录=100）,2.79
2016-02-01,83.98791540785498,股价,水平指数（2016首条记录=100）,2.78
2016-02-02,85.49848942598187,股价,水平指数（2016首条记录=100）,2.83
2016-02-03,86.10271903323263,股价,水平指数（2016首条记录=100）,2.85
2016-02-04,88.82175226586102,股价,水平指数（2016首条记录=100）,2.94
2016-02-05,91.23867069486404,股价,水平指数（2016首条记录=100）,3.02
2016-02-06,100.30211480362537,股价,水平指数（2016首条记录=100）,3.32
2016-02-08,100.30211480362537,股价,水平指数（2016首条记录=100）,3.32
2016-02-09,100.30211480362537,股价,水平指数（2016首条记录=100）,3.32
2016-02-10,100.30211480362537,股价,水平指数（2016首条记录=100）,3.32
2016-02-11,100.30211480362537,股价,水平指数（2016首条记录=100）,3.32
2016-02-12,100.30211480362537,股价,水平指数（2016首条记录=100）,3.32
2016-02-14,100.30211480362537,股价,水平指数（2016首条记录=100）,3.32
2016-02-15,100.30211480362537,股价,水平指数（2016首条记录=100）,3.32
2016-02-16,101.81268882175226,股价,水平指数（2016首条记录=100）,3.37
2016-02-17,100.60422960725076,股价,水平指数（2016首条记录=100）,3.33
2016-02-18,98.48942598187311,股价,水平指数（2016首条记录=100）,3.26
2016-02-19,96.07250755287009,股价,水平指数（2016首条记录=100）,3.18
2016-02-22,97.2809667673716,股价,水平指数（2016首条记录=100）,3.22
2016-02-23,98.79154078549848,股价,水平指数（2016首条记录=100）,3.27
2016-02-24,100.60422960725076,股价,水平指数（2016首条记录=100）,3.33
2016-02-25,93.95770392749245,股价,水平指数（2016首条记录=100）,3.11
2016-02-26,95.7703927492447,股价,水平指数（2016首条记录=100）,3.17
2016-02-29,94.5619335347432,股价,水平指数（2016首条记录=100）,3.13
2016-03-01,99.69788519637461,股价,水平指数（2016首条记录=100）,3.3
2016-03-02,101.81268882175226,股价,水平指数（2016首条记录=100）,3.37
2016-03-03,104.53172205438067,股价,水平指数（2016首条记录=100）,3.46
2016-03-04,105.13595166163142,股价,水平指数（2016首条记录=100）,3.48
2016-03-07,108.1570996978852,股价,水平指数（2016首条记录=100）,3.58
2016-03-08,105.74018126888217,股价,水平指数（2016首条记录=100）,3.5
2016-03-09,101.51057401812689,股价,水平指数（2016首条记录=100）,3.36
2016-03-10,99.69788519637461,股价,水平指数（2016首条记录=100）,3.3
2016-03-11,100.90634441087613,股价,水平指数（2016首条记录=100）,3.34
2016-03-14,103.32326283987915,股价,水平指数（2016首条记录=100）,3.42
2016-03-15,101.51057401812689,股价,水平指数（2016首条记录=100）,3.36
2016-03-16,102.11480362537765,股价,水平指数（2016首条记录=100）,3.38
2016-03-17,102.41691842900302,股价,水平指数（2016首条记录=100）,3.39
2016-03-18,103.02114803625378,股价,水平指数（2016首条记录=100）,3.41
2016-03-21,103.32326283987915,股价,水平指数（2016首条记录=100）,3.42
2016-03-22,102.71903323262839,股价,水平指数（2016首条记录=100）,3.4
2016-03-23,101.2084592145015,股价,水平指数（2016首条记录=100）,3.35
2016-03-24,98.48942598187311,股价,水平指数（2016首条记录=100）,3.26
2016-03-25,98.79154078549848,股价,水平指数（2016首条记录=100）,3.27
2016-03-28,98.79154078549848,股价,水平指数（2016首条记录=100）,3.27
2016-03-29,98.18731117824774,股价,水平指数（2016首条记录=100）,3.25
2016-03-30,99.69788519637461,股价,水平指数（2016首条记录=100）,3.3
2016-03-31,98.79154078549848,股价,水平指数（2016首条记录=100）,3.27
2016-04-01,99.39577039274924,股价,水平指数（2016首条记录=100）,3.29
2016-04-04,99.69788519637461,股价,水平指数（2016首条记录=100）,3.3
2016-04-05,99.69788519637461,股价,水平指数（2016首条记录=100）,3.3
2016-04-06,99.09365558912387,股价,水平指数（2016首条记录=100）,3.28
2016-04-07,98.18731117824774,股价,水平指数（2016首条记录=100）,3.25
