Trigger_date,Effective_date,Variable,Threshold,Direction,Previous_deviation,Deviation
2019-01-01,2019-01-02,cn10y_vs_ma20,0.03,outward,-0.02056911112055504,-0.035198796050681436
2019-01-03,2019-01-04,copper_vs_ma20,0.03,outward,-0.0259119310005477,-0.043637751729403
2019-01-03,2019-01-04,us10y_vs_ma20,0.05,outward,-0.0452261306532664,-0.0763124661735523
2019-01-04,2019-01-07,copper_vs_ma20,0.03,inward,-0.043637751729403,-0.0118134482951682
2019-01-04,2019-01-07,us10y_vs_ma20,0.05,inward,-0.0763124661735523,-0.0327839159572541
2019-01-07,2019-01-08,brent_vs_ma20,0.04,outward,0.02425330203874987,0.053884700215021786
2019-01-09,2019-01-10,dollar_vs_ma20,0.01,outward,-0.007112745471189008,-0.013018771405725937
2019-01-10,2019-01-11,brent_vs_ma20,0.1,outward,0.09867977346427814,0.11437706745786769
2019-01-10,2019-01-11,dollar_vs_ma20,0.01,inward,-0.013018771405725937,-0.00890059355150663
2019-01-11,2019-01-14,brent_vs_ma20,0.1,inward,0.11437706745786769,0.08772090888225859
2019-01-14,2019-01-15,cn10y_vs_ma20,0.03,inward,-0.03439827884244695,-0.02375801850670567
2019-01-16,2019-01-17,cn10y_vs_ma20,0.03,outward,-0.018595800504414783,-0.03489083860436637
2019-01-18,2019-01-20,brent_vs_ma20,0.1,outward,0.07402422611036341,0.10288431625261096
2019-01-18,2019-01-20,cn10y_vs_ma20,0.03,inward,-0.03027551713647547,-0.02215107781665393
2019-01-20,2019-01-21,brent_vs_ma20,0.1,inward,0.10288431625261096,0.09496891894271586
2019-01-28,2019-01-29,brent_vs_ma20,0.04,inward,0.043786761273457264,0.008734140861250461
2019-01-30,2019-01-31,copper_vs_ma20,0.03,outward,0.0226963530085098,0.0363682247707708
2019-02-08,2019-02-11,copper_vs_ma20,0.03,inward,0.0339634352266815,0.0247632920611799
2019-02-13,2019-02-14,dollar_vs_ma20,0.01,outward,0.006101515478161845,0.010034809801867661
2019-02-14,2019-02-15,dollar_vs_ma20,0.01,inward,0.010034809801867661,0.008118624645692352
2019-02-15,2019-02-17,brent_vs_ma20,0.04,outward,0.035908807652776265,0.05854657443686628
2019-02-17,2019-02-18,a500_vs_ma20,0.05,outward,0.023755567912082,0.0504138174932009
2019-02-18,2019-02-19,a500_vs_ma20,0.05,inward,0.0504138174932009,0.0459378944131929
2019-02-20,2019-02-21,copper_vs_ma20,0.03,outward,0.0295354120825059,0.0402750316179483
2019-02-21,2019-02-22,copper_vs_ma20,0.03,inward,0.0402750316179483,0.0290970760857018
2019-02-22,2019-02-25,copper_vs_ma20,0.03,outward,0.0290970760857018,0.0441063225258238
2019-02-25,2019-02-26,a500_vs_ma20,0.05,outward,0.0480548994749765,0.0985706198841331
2019-02-25,2019-02-26,a500_vs_ma20,0.08,outward,0.0480548994749765,0.0985706198841331
2019-02-25,2019-02-26,brent_vs_ma20,0.04,inward,0.05081311985174586,0.004195913885729929
2019-02-27,2019-02-28,a500_vs_ma20,0.08,inward,0.0814606873479029,0.071945148755415
2019-03-01,2019-03-04,a500_vs_ma20,0.08,outward,0.0673697011473366,0.0813360375771781
2019-03-01,2019-03-04,copper_vs_ma20,0.03,inward,0.0319870476523869,0.0239754134143572
2019-03-07,2019-03-08,a500_vs_ma20,0.08,inward,0.0920044570663054,0.0738789154248908
2019-03-07,2019-03-08,dollar_vs_ma20,0.01,outward,0.0026808859019744613,0.010422848099221893
2019-03-08,2019-03-11,a500_vs_ma20,0.05,inward,0.0738789154248908,0.0311240186489683
2019-03-08,2019-03-11,dollar_vs_ma20,0.01,inward,0.010422848099221893,0.007157811182751939
2019-03-12,2019-03-13,a500_vs_ma20,0.05,outward,0.0497334129985773,0.0539802054310531
2019-03-13,2019-03-14,a500_vs_ma20,0.05,inward,0.0539802054310531,0.0342071149961586
2019-03-20,2019-03-21,brent_vs_ma20,0.04,outward,0.02529248251214211,0.04270753083500489
2019-03-22,2019-03-25,brent_vs_ma20,0.04,inward,0.04084120694910087,0.010687767765936496
2019-03-22,2019-03-25,us10y_vs_ma20,0.05,outward,-0.0396975425330813,-0.0738280508635415
2019-04-01,2019-04-02,a500_vs_ma20,0.05,outward,0.0232576679244125,0.0502176740339745
2019-04-01,2019-04-02,us10y_vs_ma20,0.05,inward,-0.0591450322076907,-0.0235294117647056
2019-04-02,2019-04-03,a500_vs_ma20,0.05,inward,0.0502176740339745,0.0481349217640358
2019-04-02,2019-04-03,brent_vs_ma20,0.04,outward,0.03892197557600929,0.04367623270025778
2019-04-03,2019-04-04,a500_vs_ma20,0.05,outward,0.0481349217640358,0.0566927310155986
2019-04-03,2019-04-04,brent_vs_ma20,0.04,inward,0.04367623270025778,0.03300049254466475
2019-04-03,2019-04-04,cn10y_vs_ma20,0.03,outward,0.013315336465726357,0.03359313559376198
2019-04-08,2019-04-09,brent_vs_ma20,0.04,outward,0.03659124093001198,0.049517077525843334
2019-04-10,2019-04-11,a500_vs_ma20,0.05,inward,0.0507108218857854,0.0493252171702938
2019-04-11,2019-04-12,brent_vs_ma20,0.04,inward,0.048202996956216326,0.03947982271985051
2019-04-23,2019-04-24,brent_vs_ma20,0.04,outward,0.011501158698824065,0.058932384341636945
2019-04-26,2019-04-28,brent_vs_ma20,0.04,inward,0.055418632490669806,-0.0018268690275434762
2019-04-26,2019-04-28,cn10y_vs_ma20,0.03,inward,0.03432890225254592,0.02458455162575257
2019-05-01,2019-05-02,a500_vs_ma20,0.05,outward,-0.0290404817650566,-0.0841242228377151
2019-05-01,2019-05-02,a500_vs_ma20,0.08,outward,-0.0290404817650566,-0.0841242228377151
2019-05-01,2019-05-02,copper_vs_ma20,0.03,outward,-0.0040725339735071,-0.037351384784551
2019-05-02,2019-05-03,a500_vs_ma20,0.08,inward,-0.0841242228377151,-0.079365507121606
2019-05-03,2019-05-05,copper_vs_ma20,0.03,inward,-0.0429295755248908,-0.0273524769043654
2019-05-07,2019-05-08,copper_vs_ma20,0.03,outward,-0.0201798962869337,-0.0336345816926573
2019-05-10,2019-05-13,a500_vs_ma20,0.05,inward,-0.0717049101208893,-0.0322100180235626
2019-05-10,2019-05-13,copper_vs_ma20,0.03,inward,-0.032753415813077,-0.0289953978336571
2019-05-13,2019-05-14,cn10y_vs_ma20,0.03,outward,-0.023406939409938654,-0.0307554175346475
2019-05-13,2019-05-14,copper_vs_ma20,0.03,outward,-0.0289953978336571,-0.0442210348706413
2019-05-14,2019-05-15,cn10y_vs_ma20,0.03,inward,-0.0307554175346475,-0.025256300726185232
2019-05-15,2019-05-16,copper_vs_ma20,0.03,inward,-0.0387667995343751,-0.0294216513631619
2019-05-15,2019-05-16,us10y_vs_ma20,0.05,outward,-0.0364324109098149,-0.0521895620875823
2019-05-16,2019-05-17,us10y_vs_ma20,0.05,inward,-0.0521895620875823,-0.0365315134484143
2019-05-22,2019-05-23,copper_vs_ma20,0.03,outward,-0.0280835525962519,-0.0376512653735929
2019-05-23,2019-05-24,brent_vs_ma20,0.04,outward,-0.002260654896467651,-0.04989542874215702
2019-05-23,2019-05-24,us10y_vs_ma20,0.05,outward,-0.0302292554270643,-0.0582959641255604
2019-05-24,2019-05-26,copper_vs_ma20,0.03,inward,-0.0329912155702664,-0.0226550691056544
2019-05-24,2019-05-26,us10y_vs_ma20,0.05,inward,-0.0582959641255604,-0.0499590499590498
2019-05-26,2019-05-27,brent_vs_ma20,0.04,inward,-0.05318356233068933,-0.021039491760636575
2019-05-26,2019-05-27,us10y_vs_ma20,0.05,outward,-0.0499590499590498,-0.0697674418604652
2019-05-31,2019-06-03,brent_vs_ma20,0.04,outward,-0.025958111297065267,-0.061353573687539464
2019-06-03,2019-06-04,brent_vs_ma20,0.1,outward,-0.061353573687539464,-0.10732962094015874
2019-06-03,2019-06-04,us10y_vs_ma20,0.1,outward,-0.0911021448290506,-0.113680154142582
2019-06-04,2019-06-05,brent_vs_ma20,0.1,inward,-0.10732962094015874,-0.09687044865191285
2019-06-04,2019-06-05,us10y_vs_ma20,0.1,inward,-0.113680154142582,-0.0850237375917134
2019-06-05,2019-06-06,brent_vs_ma20,0.1,outward,-0.09687044865191285,-0.11170197558395523
2019-06-06,2019-06-07,brent_vs_ma20,0.1,inward,-0.11170197558395523,-0.0969774568053976
2019-06-06,2019-06-07,gold_vs_ma20,0.03,outward,0.0295622646351654,0.0346894630838683
2019-06-07,2019-06-10,dollar_vs_ma20,0.01,outward,-0.007030513217732737,-0.010969312270393883
2019-06-07,2019-06-10,gold_vs_ma20,0.03,inward,0.0346894630838683,0.0237367153956438
2019-06-10,2019-06-11,dollar_vs_ma20,0.01,inward,-0.010969312270393883,-0.009043121534478504
2019-06-10,2019-06-11,us10y_vs_ma20,0.05,inward,-0.0782800441014334,-0.0461401952085182
2019-06-13,2019-06-14,us10y_vs_ma20,0.05,outward,-0.044628840547208,-0.0519187358916479
2019-06-14,2019-06-17,us10y_vs_ma20,0.05,inward,-0.0519187358916479,-0.0495679854479308
2019-06-18,2019-06-19,brent_vs_ma20,0.04,inward,-0.05216429556232294,-0.03390851487262381
2019-06-19,2019-06-20,us10y_vs_ma20,0.05,outward,-0.0487185407527128,-0.0564722286776667
2019-06-20,2019-06-21,gold_vs_ma20,0.03,outward,0.0219305312299888,0.0542369552158163
2019-06-21,2019-06-24,dollar_vs_ma20,0.01,outward,-0.007452098513922589,-0.010779429261740914
2019-06-21,2019-06-24,us10y_vs_ma20,0.05,inward,-0.058988764044944,-0.0265694803667998
2019-06-25,2019-06-26,dollar_vs_ma20,0.01,inward,-0.012241464551349779,-0.009471586815266497
2019-06-27,2019-06-28,brent_vs_ma20,0.04,outward,0.03930226050185004,0.04045432237257218
2019-07-01,2019-07-02,a500_vs_ma20,0.05,outward,0.0311402468098662,0.0582669985421266
2019-07-01,2019-07-02,brent_vs_ma20,0.04,inward,0.05137767535288562,0.012166206708905003
2019-07-01,2019-07-02,gold_vs_ma20,0.03,inward,0.0374251386798112,0.017334918406779
2019-07-03,2019-07-04,a500_vs_ma20,0.05,inward,0.0537114130158036,0.0372376961964615
