Year,Baseline,Expanded,Difference_pp,Baseline_updates,Expanded_updates
2015,3.3097325366161847,3.475324113792456,0.16559157717627127,112,205
2016,3.0017519159846286,2.6333614406320796,-0.3683904753525491,84,186
2017,2.882745906044971,2.2344089668452587,-0.6483369391997122,43,130
2018,2.9258577384245417,2.2835058198950104,-0.6423519185295312,51,146
2019,3.619645830918563,2.015897584477881,-1.603748246440682,57,137
2020,3.864472214623786,3.618996109788472,-0.2454761048353138,107,192
2021,4.401117233475307,3.229032392754195,-1.1720848407211117,82,166
2022,3.3482505646187515,3.5331536719876917,0.18490310736894022,105,192
2023,3.433286108241545,3.2472320065547495,-0.18605410168679537,76,164
2024,3.734603584907496,3.712799435367923,-0.021804149539573103,72,142
2025,4.725104863002748,5.022819114594398,0.29771425159164977,99,158
2026,5.077737363075268,4.055209990887127,-1.022527372188141,59,99
