Year,Method,N,MAPE,Updates
2015,Baseline,266,3.3097325366161847,112
2015,Expanded,266,3.475324113792456,205
2016,Baseline,268,3.0017519159846286,84
2016,Expanded,268,2.6333614406320796,186
2017,Baseline,267,2.882745906044971,43
2017,Expanded,267,2.2344089668452587,130
2018,Baseline,269,2.9258577384245417,51
2018,Expanded,269,2.2835058198950104,146
2019,Baseline,271,3.619645830918563,57
2019,Expanded,271,2.015897584477881,137
2020,Baseline,271,3.864472214623786,107
2020,Expanded,271,3.618996109788472,192
2021,Baseline,272,4.401117233475307,82
2021,Expanded,272,3.229032392754195,166
2022,Baseline,274,3.3482505646187515,105
2022,Expanded,274,3.5331536719876917,192
2023,Baseline,273,3.433286108241545,76
2023,Expanded,273,3.2472320065547495,164
2024,Baseline,273,3.734603584907496,72
2024,Expanded,273,3.712799435367923,142
2025,Baseline,268,4.725104863002748,99
2025,Expanded,268,5.022819114594398,158
2026,Baseline,152,5.077737363075268,59
2026,Expanded,152,4.055209990887127,99
