Activation,Model,MSE_80,MSE_100,MSE_200,MSE_500,MSE_1000,Change_80_to_100_percent,Best_MSE_101_1000,Best_epoch_101_1000,Further_reduction_percent,Plateau_under_1pct_rule
ReLU,01_base,0.013596855103969574,0.009944903664290905,0.005048566963523626,0.0036753041204065084,0.002728462452068925,26.85879500629884,0.0027176172006875277,994,72.67326771152489,False
ReLU,02_gold5,0.02842147834599018,0.020466741174459457,0.006589462980628014,0.003652768675237894,0.0026222490705549717,27.988470813141255,0.0026222490705549717,1000,87.1877547666099,False
ReLU,03_gold20,0.02702179178595543,0.019754765555262566,0.006706119980663061,0.0035702548921108246,0.002704563783481717,26.89320637304999,0.0026431309524923563,992,86.62028691204468,False
ReLU,04_gold5_20,0.01412185188382864,0.008930063806474209,0.005499233026057482,0.003520300379022956,0.0022163153626024723,36.76421562882772,0.002096824813634157,988,76.51948676879576,False
ReLU,05_copper5,0.024057423695921898,0.018125079572200775,0.005967159755527973,0.003543335944414139,0.0026320507749915123,24.65909982175999,0.002621201565489173,991,85.53826174915434,False
ReLU,06_copper20,0.02382485941052437,0.016825323924422264,0.005210523493587971,0.0030102720484137535,0.002961236983537674,29.37912608630184,0.002211659448221326,982,86.85517462750859,False
ReLU,07_copper5_20,0.01919695734977722,0.013245774433016777,0.005245273467153311,0.0029678631108254194,0.0021759162191301584,31.000657074593686,0.0021556622814387083,993,83.72566064491144,False
ReLU,08_both5,0.01942628249526024,0.012583310715854168,0.005539177916944027,0.0030563727486878633,0.0021328215952962637,35.22532826893497,0.002126891165971756,997,83.09752326713185,False
ReLU,09_both20,0.016965743154287338,0.011661185882985592,0.005214174278080463,0.003257821314036846,0.0023077179212123156,31.26628302139099,0.0022918174508959055,998,80.34661762625865,False
ReLU,10_both5_20,0.01825503259897232,0.01247373130172491,0.004797788802534342,0.002198148751631379,0.0015936486888676882,31.66963009188421,0.0015904430765658617,999,87.249660601989,False
Sigmoid,01_base,0.05534924939274788,0.04700952768325806,0.023403452709317207,0.009521900676190853,0.005551492795348167,15.06745222561687,0.005551492795348167,1000,88.19070714185186,False
Sigmoid,02_gold5,0.047457434237003326,0.04094408079981804,0.020714472979307175,0.009127432480454445,0.005655381362885237,13.724621952079156,0.005655381362885237,1000,86.18754835275146,False
Sigmoid,03_gold20,0.047172147780656815,0.04054996371269226,0.02012287639081478,0.008717860095202923,0.005551003385335207,14.038334863947016,0.005551003385335207,1000,86.310706898123,False
Sigmoid,04_gold5_20,0.04745874181389809,0.04026852548122406,0.019245512783527374,0.008103827014565468,0.004647613037377596,15.150457129414255,0.004647613037377596,1000,88.45844743050095,False
Sigmoid,05_copper5,0.04712867736816406,0.04064827784895897,0.0208970308303833,0.009099483489990234,0.005370285827666521,13.750437909769719,0.005370285827666521,1000,86.7884050398852,False
Sigmoid,06_copper20,0.04742451757192612,0.04082250967621803,0.02058383822441101,0.008589585311710835,0.005120198242366314,13.921086040981203,0.005120198242366314,1000,87.45741434572018,False
Sigmoid,07_copper5_20,0.046809494495391846,0.03988703712821007,0.0195054542273283,0.008256742730736732,0.004518966190516949,14.788575355931815,0.004518966190516949,1000,88.67058945493619,False
Sigmoid,08_both5,0.04733246564865112,0.04036490246653557,0.019909488037228584,0.008079121820628643,0.004671850707381964,14.720473752277716,0.004671850707381964,1000,88.42595814208853,False
Sigmoid,09_both20,0.047533512115478516,0.04014842212200165,0.01897541619837284,0.005785883869975805,0.004090811125934124,15.536596529066559,0.004090811125934124,1000,89.81077982715458,False
Sigmoid,10_both5_20,0.04897880554199219,0.04185645654797554,0.022328827530145645,0.007731237914413214,0.00361992628313601,14.541695974823787,0.00361992628313601,1000,91.351570147877,False
