Activation,Model,Inputs,Split,Epochs,N,MAPE,MPE
ReLU,01_base,7,Train,100,3665,5.523382324490338,0.40570354868316283
ReLU,01_base,7,Test,100,152,11.45834334363982,10.456617215994024
ReLU,02_gold5,8,Train,100,3665,6.42583471458323,0.46498637799755854
ReLU,02_gold5,8,Test,100,152,10.655216700556823,-3.542077446721364
ReLU,03_gold20,8,Train,100,3665,6.710748428328573,0.6710260299979032
ReLU,03_gold20,8,Test,100,152,10.328481285163965,-6.376962073531125
ReLU,04_gold5_20,9,Train,100,3665,6.117810746518922,0.29849874164461343
ReLU,04_gold5_20,9,Test,100,152,7.804058303604617,5.843123730521936
ReLU,05_copper5,8,Train,100,3665,6.616184614068662,0.710301316092737
ReLU,05_copper5,8,Test,100,152,10.463971450897958,-2.733175331418445
ReLU,06_copper20,8,Train,100,3665,6.580398896657323,0.6592586860325754
ReLU,06_copper20,8,Test,100,152,10.572852546924029,-0.757675837352826
ReLU,07_copper5_20,9,Train,100,3665,6.591707496736355,0.5042507679099885
ReLU,07_copper5_20,9,Test,100,152,11.526677093567722,9.83692157834451
ReLU,08_both5,9,Train,100,3665,6.201771261467963,0.5574084039710477
ReLU,08_both5,9,Test,100,152,6.715118583442421,2.489277282787743
ReLU,09_both20,9,Train,100,3665,6.591328386701254,0.8731714055568509
ReLU,09_both20,9,Test,100,152,6.513326027966497,-1.7445521010517535
ReLU,10_both5_20,11,Train,100,3665,5.943793057531749,0.5185001762562855
ReLU,10_both5_20,11,Test,100,152,6.022376266447848,-0.37703620690479916
Sigmoid,01_base,7,Train,100,3665,9.216293167627208,1.7562476208785305
Sigmoid,01_base,7,Test,100,152,24.364289528828216,-24.349294430656858
Sigmoid,02_gold5,8,Train,100,3665,9.930114969342352,1.1784698592335323
Sigmoid,02_gold5,8,Test,100,152,21.021906470898976,-20.819750233342404
Sigmoid,03_gold20,8,Train,100,3665,9.970237745951074,1.3616339864768365
Sigmoid,03_gold20,8,Test,100,152,20.986966544427396,-20.840692097217076
Sigmoid,04_gold5_20,9,Train,100,3665,10.144313760544113,0.7275926691846739
Sigmoid,04_gold5_20,9,Test,100,152,21.50548460479522,-21.458080443154223
Sigmoid,05_copper5,8,Train,100,3665,9.867665499891759,1.1283391840385721
Sigmoid,05_copper5,8,Test,100,152,20.668266235079376,-20.410808854728803
Sigmoid,06_copper20,8,Train,100,3665,9.92695475705053,1.1943308891447773
Sigmoid,06_copper20,8,Test,100,152,20.735083692619668,-20.491865338969983
Sigmoid,07_copper5_20,9,Train,100,3665,10.017305869571935,0.7033594159854621
Sigmoid,07_copper5_20,9,Test,100,152,20.17114146778466,-19.938670187014342
Sigmoid,08_both5,9,Train,100,3665,10.075097238110379,0.6668974903196898
Sigmoid,08_both5,9,Test,100,152,20.746494163462742,-20.57079392823997
Sigmoid,09_both20,9,Train,100,3665,10.218146900530149,0.8367695964852352
Sigmoid,09_both20,9,Test,100,152,21.37435029674613,-21.316054226298345
Sigmoid,10_both5_20,11,Train,100,3665,9.909822790078927,0.943608997761653
Sigmoid,10_both5_20,11,Test,100,152,20.875597405829577,-20.749947717332063
