Year,Model,Split,N,MAPE,MPE
2015,Full_100,Train,693,2.006334904052028,0.14119422021057063
2015,Full_100,Test,266,9.796103008657584,-7.944411071811233
2015,Base_train_stop,Train,693,0.6980419474542598,0.010042960491060154
2015,Base_train_stop,Test,266,19.12974310686774,6.054181078278846
2016,Full_100,Train,959,2.3980275234393216,0.06887211241474987
2016,Full_100,Test,268,7.000573207645745,6.423679414278061
2016,Base_train_stop,Train,959,1.125335978733319,0.025836088737566067
2016,Base_train_stop,Test,268,7.500410244216792,0.814816751734759
2017,Full_100,Train,1227,2.448413962532975,0.14482066737508947
2017,Full_100,Test,267,14.463183605417415,14.451880851610277
2017,Base_train_stop,Train,1227,1.3387143864394446,0.0473384868040648
2017,Base_train_stop,Test,267,22.231503096432743,22.20789701764255
2018,Full_100,Train,1494,2.6374583171705748,0.1054846797734836
2018,Full_100,Test,269,7.565461359906547,-6.9753392292397525
2018,Base_train_stop,Train,1494,1.4535089302151998,0.057399568340683174
2018,Base_train_stop,Test,269,9.256521840714404,6.064344440313681
2019,Full_100,Train,1763,2.830922630619537,0.13972356916966944
2019,Full_100,Test,271,7.619765685173606,7.182758127148131
2019,Base_train_stop,Train,1763,1.336071350439621,0.08897280909500375
2019,Base_train_stop,Test,271,18.629755671677653,18.460246906587056
2020,Full_100,Train,2034,2.9578590775719595,0.13990073332486183
2020,Full_100,Test,271,15.666736736850972,-11.304171156078553
2020,Base_train_stop,Train,2034,1.5227261722773264,0.010372015363162852
2020,Base_train_stop,Test,271,20.96608494964108,8.734567106276526
2021,Full_100,Train,2305,3.405501537223336,0.20233539761270536
2021,Full_100,Test,272,6.967905686501721,-6.03001522088211
2021,Base_train_stop,Train,2305,1.920295555237066,0.07831401245441869
2021,Base_train_stop,Test,272,22.32073749456432,-22.32073749456432
2022,Full_100,Train,2577,4.4677581481309625,0.38585240418851297
2022,Full_100,Test,274,31.962203826775493,-31.526966139885534
2022,Base_train_stop,Train,2577,2.031640647320935,-0.006249615362406923
2022,Base_train_stop,Test,274,20.066290723561142,-4.845935965567013
2023,Full_100,Train,2851,4.6707144386735475,0.4796996298609286
2023,Full_100,Test,273,13.03254300037008,-12.828877537895014
2023,Base_train_stop,Train,2851,2.1418035128602955,-0.16795017544226692
2023,Base_train_stop,Test,273,9.122291738277141,-9.038134585571928
2024,Full_100,Train,3124,4.8959141268877255,0.39781601091871344
2024,Full_100,Test,273,9.682320652040598,-9.273511964709998
2024,Base_train_stop,Train,3124,2.1672799026976635,0.21721776566842235
2024,Base_train_stop,Test,273,11.403918691957617,8.127322817797861
2025,Full_100,Train,3397,5.091898560206867,0.1667642580081401
2025,Full_100,Test,268,16.80724172214502,4.7319097631103295
2025,Base_train_stop,Train,3397,2.2998676012604378,0.07349772786367924
2025,Base_train_stop,Test,268,14.769419516299385,-1.9173584408690234
2026,Full_100,Train,3665,5.943793057531749,0.5185001762562855
2026,Full_100,Test,152,6.022376266447848,-0.37703620690479916
2026,Base_train_stop,Train,3665,2.4834495627841386,0.1503849298359656
2026,Base_train_stop,Test,152,5.287319949211031,-0.2771650900188442
