Year,Model,Selected_epoch,Stop_epoch,Stop_reason,Selected_train_MSE
2015,Full_100,100,100,fixed_100,0.012846669182181358
2015,Base_train_stop,3346,3359,plateau_1pct_100epochs,0.0017516169464215636
2016,Full_100,100,100,fixed_100,0.013923759572207928
2016,Base_train_stop,2802,2802,plateau_1pct_100epochs,0.004505146760493517
2017,Full_100,100,100,fixed_100,0.0192867424339056
2017,Base_train_stop,2721,2764,plateau_1pct_100epochs,0.00538019509986043
2018,Full_100,100,100,fixed_100,0.022850988432765007
2018,Base_train_stop,2196,2221,plateau_1pct_100epochs,0.007753866259008646
2019,Full_100,100,100,fixed_100,0.03263463079929352
2019,Base_train_stop,2926,2969,plateau_1pct_100epochs,0.006289399694651365
2020,Full_100,100,100,fixed_100,0.03649652749300003
2020,Base_train_stop,2320,2323,plateau_1pct_100epochs,0.00943841878324747
2021,Full_100,100,100,fixed_100,0.02350165694952011
2021,Base_train_stop,1800,1827,plateau_1pct_100epochs,0.009590216912329197
2022,Full_100,100,100,fixed_100,0.013193465769290924
2022,Base_train_stop,2791,2821,plateau_1pct_100epochs,0.0036475732922554016
2023,Full_100,100,100,fixed_100,0.012597368098795414
2023,Base_train_stop,1800,1813,plateau_1pct_100epochs,0.0037619508802890778
2024,Full_100,100,100,fixed_100,0.01046743243932724
2024,Base_train_stop,2822,2827,plateau_1pct_100epochs,0.003019777126610279
2025,Full_100,100,100,fixed_100,0.008646585047245026
2025,Base_train_stop,2374,2399,plateau_1pct_100epochs,0.002495341934263706
2026,Full_100,100,100,fixed_100,0.01247373130172491
2026,Base_train_stop,2441,2475,plateau_1pct_100epochs,0.0019416901050135493
