Year,Base,Stacking,DirectReturns
2015,2.1134657801775547,1.9308379548586967,2.0651390919879042
2016,2.6059479700801695,2.623775853402374,2.47506147134167
2017,2.61509629612451,2.6196261816308692,2.4300756803918544
2018,2.790527992364647,2.7145513534485173,2.537744462711887
2019,2.667304430755651,2.645929299211966,2.6526497033773295
2020,2.9207689551476186,2.8085470737612583,2.7880989219186376
2021,3.4496269062533322,3.3769954605870978,3.425557718718442
2022,4.073626352255669,4.371186392679738,4.362958564811049
2023,4.287772185698537,4.825904390621158,4.6208687496140275
2024,4.636082917998325,5.3845234803381725,4.882603982249362
2025,5.026973549949696,6.077481351039492,5.531701205440601
2026,6.024254801246146,7.348250975126234,6.813805525644322
