Year,Base,Stacking,DirectReturns
2015,0.006587962818392799,0.005323322612506296,0.005904220935637814
2016,0.015760927110565832,0.01432258523119041,0.014075592611114499
2017,0.015954461386069468,0.014827518189827036,0.013918206707682498
2018,0.017804451301950373,0.016086610970717702,0.01446813055910474
2019,0.017771818374669984,0.01638083306600569,0.017500256453096046
2020,0.020133858585118253,0.01791180257171342,0.01812399456324521
2021,0.033124151644302435,0.0288077809252515,0.030004965556292125
2022,0.08541265170183804,0.0736917178415246,0.07407383837220696
2023,0.10194557002872273,0.0980830448404649,0.09199979219382272
2024,0.13559898238413592,0.14092104252935553,0.11967996691713194
2025,0.18929514218255003,0.20311229942025463,0.20919024043969836
2026,0.4563049881731908,0.4913773998719345,0.5672802791944379
