Year,Seed,Budget,Model,Split,N,MAPE,MSE,MSE_standardized
2015,42,100,Base,Train,693,2.1356186349744952,0.006379188869546438,0.014754123154090158
2015,42,100,Base,Test,266,5.921933729649192,0.18325816589443897,0.4238491137183526
2015,42,100,Stacking,Train,693,2.0302178827939446,0.005308749776275259,0.012278355382662113
2015,42,100,Stacking,Test,266,6.216826805850691,0.19554048698347745,0.4522563111962095
2015,42,100,DirectReturns,Train,693,1.9993458608865575,0.005578496116933951,0.012902238890711697
2015,42,100,DirectReturns,Test,266,11.072198867033414,0.7071719396208982,1.6355844138888742
2015,7,100,Base,Train,693,2.402236446478014,0.008394183746336194,0.019414509164754012
2015,7,100,Base,Test,266,9.413066746478279,0.5811100708117035,1.3440219009297845
2015,7,100,Stacking,Train,693,2.215632056702796,0.006850880492350524,0.015845076320068287
2015,7,100,Stacking,Test,266,10.111815801154568,0.6754134787189592,1.5621317770546743
2015,7,100,DirectReturns,Train,693,2.0629264053172616,0.0058337455701093785,0.01349259323578256
2015,7,100,DirectReturns,Test,266,9.542077946991435,0.5249648931071548,1.2141663842957258
2015,123,100,Base,Train,693,1.9490879942466888,0.0057907143115825226,0.013393068280374575
2015,123,100,Base,Test,266,7.695723139695875,0.3080396979775239,0.7124503966336185
2015,123,100,Stacking,Train,693,1.8084585470673837,0.005222524851427263,0.012078929846567278
2015,123,100,Stacking,Test,266,9.551270121093705,0.5565496255792212,1.2872172128903323
2015,123,100,DirectReturns,Train,693,2.0213753837251525,0.0052365420373498145,0.012111349530574817
2015,123,100,DirectReturns,Test,266,9.944491700455089,0.6161793622216848,1.4251320005005357
2015,2024,100,Base,Train,693,1.9827892745048485,0.005898561524253526,0.013642502979693405
2015,2024,100,Base,Test,266,6.084046053830459,0.14366398129501884,0.33227360345960716
2015,2024,100,Stacking,Train,693,1.8088514613308415,0.004887595345532797,0.01130428728950236
2015,2024,100,Stacking,Test,266,7.229021483946033,0.24606649595062138,0.5691155191661577
2015,2024,100,DirectReturns,Train,693,1.923601102117622,0.0058553561893858385,0.013542575411379083
2015,2024,100,DirectReturns,Test,266,13.300847105543461,0.6475730253636931,1.4977409139105793
2015,2025,100,Base,Train,693,2.2770570033368425,0.007197892447387671,0.01664766380027307
2015,2025,100,Base,Test,266,14.646664099975354,0.6983010813965813,1.6150674269489107
2015,2025,100,Stacking,Train,693,1.9259801515201236,0.005227824946860868,0.01209118818573155
2015,2025,100,Stacking,Test,266,15.026735552687295,0.7716645058932584,1.7847462093403668
2015,2025,100,DirectReturns,Train,693,2.324842442408417,0.006982446487188634,0.016149369064871417
2015,2025,100,DirectReturns,Test,266,12.160277732662232,0.4020709917534903,0.9299309128998944
2015,0,100,Base,Train,693,1.9228784581113076,0.005551391569765191,0.012839550070057267
2015,0,100,Base,Test,266,6.686113242319023,0.17585524337362754,0.40672724559282003
2015,0,100,Stacking,Train,693,1.8792231030915616,0.004931583189417162,0.011406024685780291
2015,0,100,Stacking,Test,266,7.783494285185134,0.29943639305839764,0.692552221034061
2015,0,100,DirectReturns,Train,693,2.1262052085673684,0.005886849234742829,0.013615414181197074
2015,0,100,DirectReturns,Test,266,12.016060363149816,0.612342828976852,1.4162586648560544
2015,1,100,Base,Train,693,1.8731482799009176,0.0057395820191833554,0.013274806828231383
2015,1,100,Base,Test,266,12.689791601394864,0.7588340489914224,1.7550712545578484
2015,1,100,Stacking,Train,693,1.713353179946665,0.004652867188156511,0.010761395675461057
2015,1,100,Stacking,Test,266,12.968161475226706,0.8325448554757916,1.9255534802604737
2015,1,100,DirectReturns,Train,693,2.0028598810447646,0.005917929901784186,0.01368729918078199
2015,1,100,DirectReturns,Test,266,11.548549960895276,0.6737358798530894,1.5582517382634784
2015,21,100,Base,Train,693,2.1095748716856195,0.006752425157622288,0.015617363649466507
2015,21,100,Base,Test,266,6.371723093799606,0.27461078742703976,0.6351342560936419
2015,21,100,Stacking,Train,693,1.926321504035356,0.005461986343960601,0.012632768966829962
2015,21,100,Stacking,Test,266,7.17138764504288,0.3638774786296973,0.8415949492155543
2015,21,100,DirectReturns,Train,693,2.2086576892199608,0.006575642838856596,0.015208492215202155
2015,21,100,DirectReturns,Test,266,6.3681192927332875,0.1810629463949256,0.41877189473198584
2015,100,100,Base,Train,693,2.1434403013083405,0.00656157901255256,0.015175964658870025
2015,100,100,Base,Test,266,6.522243916147404,0.17249686177363038,0.39895980419265475
2015,100,100,Stacking,Train,693,1.9690069156780379,0.005264264247594589,0.012175466914840956
2015,100,100,Stacking,Test,266,7.406831947120231,0.23476920948449412,0.5429865615138771
2015,100,100,DirectReturns,Train,693,1.9258254790379032,0.005014130464849725,0.01159694436109839
2015,100,100,DirectReturns,Test,266,8.569505303272479,0.34937873754298576,0.808061499125399
2015,999,100,Base,Train,693,2.3388265372284733,0.00761410952569824,0.01761031252533995
2015,999,100,Base,Test,266,4.932195369921552,0.1186056790912086,0.27431744566149013
2015,999,100,Stacking,Train,693,2.031334746420255,0.005424949743487389,0.012547108771503366
2015,999,100,Stacking,Test,266,6.429557538559916,0.23415956653072179,0.5415765472622346
2015,999,100,DirectReturns,Train,693,2.0557514675540336,0.006161070515177191,0.01424964756505494
2015,999,100,DirectReturns,Test,266,13.149137004147427,0.8919036493026821,2.0628416170925874
2016,42,100,Base,Train,959,2.759317397391527,0.017322218440582585,0.019584250595812768
2016,42,100,Base,Test,268,5.2842714106056325,0.045341556658987654,0.05126251069167285
2016,42,100,Stacking,Train,959,2.8398674117237026,0.016153870841362546,0.01826333363332168
2016,42,100,Stacking,Test,268,5.787739421616697,0.061855664291991776,0.06993312285144537
2016,42,100,DirectReturns,Train,959,2.414856516950685,0.01382551147697949,0.01563092408222428
2016,42,100,DirectReturns,Test,268,10.158057856953647,0.14297914809804596,0.16165016484076755
2016,7,100,Base,Train,959,2.5212865640499773,0.014393380825116984,0.01627294898554443
2016,7,100,Base,Test,268,14.083976636586184,0.27236502819849634,0.3079319767310108
2016,7,100,Stacking,Train,959,2.4111198294525105,0.01260345344728352,0.0142492828808802
2016,7,100,Stacking,Test,268,14.159532277304368,0.2872584824689061,0.32477030154890135
2016,7,100,DirectReturns,Train,959,2.4701213010067438,0.014848115932384269,0.016787065946139504
2016,7,100,DirectReturns,Test,268,4.780281374727591,0.03995402362079422,0.0451714434605837
2016,123,100,Base,Train,959,2.4162424092604704,0.014275072964890405,0.016139191823314934
2016,123,100,Base,Test,268,4.351089335495191,0.031165594677937246,0.03523537231872733
2016,123,100,Stacking,Train,959,2.55221069499677,0.014162101353862967,0.01601146774754698
2016,123,100,Stacking,Test,268,4.554763019588092,0.03431855032089196,0.03880005854185236
2016,123,100,DirectReturns,Train,959,2.513008619297527,0.014743983923832442,0.016669335797572245
2016,123,100,DirectReturns,Test,268,4.736884856490678,0.04719946658320189,0.053363036883803894
2016,2024,100,Base,Train,959,2.7791111344724464,0.016882079507420676,0.019086635859364116
2016,2024,100,Base,Test,268,6.4896836121427866,0.0651062303427235,0.07360816599526285
2016,2024,100,Stacking,Train,959,2.723213381015677,0.015270793804979779,0.01726493945908529
2016,2024,100,Stacking,Test,268,6.727187645364789,0.0702660284207715,0.0794417593615457
2016,2024,100,DirectReturns,Train,959,2.521757005789517,0.014198184453256942,0.016052262779847788
2016,2024,100,DirectReturns,Test,268,8.687351750073102,0.11482903703787042,0.12982405485413603
2016,2025,100,Base,Train,959,2.617036005848021,0.014931411623323121,0.016881238854216687
2016,2025,100,Base,Test,268,12.07187829449537,0.21852401483548414,0.24706010274728385
2016,2025,100,Stacking,Train,959,2.5650424426125045,0.013625319973500504,0.015404590452687559
2016,2025,100,Stacking,Test,268,12.21284221382883,0.24100156691521865,0.2724728992790858
2016,2025,100,DirectReturns,Train,959,2.5031175232539207,0.013581973753959793,0.015355583841393615
2016,2025,100,DirectReturns,Test,268,7.077391327821084,0.08891933681597528,0.1005309210821251
2016,0,100,Base,Train,959,2.495788706686306,0.015546289783280109,0.017576411242891686
2016,0,100,Base,Test,268,9.906153393548246,0.1385639596066257,0.1566584163450238
2016,0,100,Stacking,Train,959,2.606791146207067,0.013290666743882905,0.01502623633286105
2016,0,100,Stacking,Test,268,10.791824020112792,0.16685833351513768,0.1886476278294905
2016,0,100,DirectReturns,Train,959,2.442576052287376,0.013922748390659835,0.015740858735872214
2016,0,100,DirectReturns,Test,268,3.9539128596186046,0.03125056684358907,0.03533144062496087
2016,1,100,Base,Train,959,2.6347460068411035,0.01679966177447284,0.01899345555794223
2016,1,100,Base,Test,268,6.451428154434972,0.06392161105085929,0.07226885249150572
2016,1,100,Stacking,Train,959,2.518145151065991,0.014701354785943277,0.016621139908462052
2016,1,100,Stacking,Test,268,6.4585524607256275,0.06503416466077978,0.0735266895735571
2016,1,100,DirectReturns,Train,959,2.5523321194497144,0.01413056204882863,0.015975809863683608
2016,1,100,DirectReturns,Test,268,5.781907485353691,0.05667062032761333,0.06407098684981216
2016,21,100,Base,Train,959,2.5565676893654823,0.015399660164896864,0.017410633908941306
2016,21,100,Base,Test,268,8.94202228463718,0.10625368304940659,0.12012888318579919
2016,21,100,Stacking,Train,959,2.606531534919858,0.01411552344777145,0.015958807437999826
2016,21,100,Stacking,Test,268,9.024237088857301,0.10838889297925236,0.12254292076904542
2016,21,100,DirectReturns,Train,959,2.7496531523497665,0.016146705309802074,0.018255232386578148
