Year,Split,N,Start,End
2015,Train,693,2012-06-06,2014-12-31
2015,Test,266,2015-01-01,2015-12-31
2016,Train,959,2012-06-06,2015-12-31
2016,Test,268,2016-01-01,2016-12-31
2017,Train,1227,2012-06-06,2016-12-31
2017,Test,267,2017-01-02,2017-12-31
2018,Train,1494,2012-06-06,2017-12-31
2018,Test,269,2018-01-01,2018-12-31
2019,Train,1763,2012-06-06,2018-12-31
2019,Test,271,2019-01-01,2019-12-31
2020,Train,2034,2012-06-06,2019-12-31
2020,Test,271,2020-01-01,2020-12-31
2021,Train,2305,2012-06-06,2020-12-31
2021,Test,272,2021-01-01,2021-12-31
2022,Train,2577,2012-06-06,2021-12-31
2022,Test,274,2022-01-03,2022-12-31
2023,Train,2851,2012-06-06,2022-12-31
2023,Test,273,2023-01-02,2023-12-31
2024,Train,3124,2012-06-06,2023-12-31
2024,Test,273,2024-01-01,2024-12-31
2025,Train,3397,2012-06-06,2024-12-31
2025,Test,268,2025-01-01,2025-12-31
2026,Train,3665,2012-06-06,2025-12-31
2026,Test,152,2026-01-01,2026-07-23
