Year,Base,Stacking,DirectReturns
2015,,,
2016,0.18681754288949115,-0.43829558272751434,-3.538528352612743
2017,4.928862379999378,5.092878972518751,5.796425407222238
2018,-5.6946978707858475,-5.9400075680764,-5.593375547166046
2019,2.972505815112121,2.820010078338264,0.9590149751626296
2020,2.965297373899622,2.951588574539114,7.5320136364307135
2021,-4.909721175866867,-3.9038492063522554,-7.876491125430549
2022,23.310686658992417,22.22714676465728,22.37862122088139
2023,-18.741234828888935,-18.005972993494392,-17.936464319544292
2024,-4.826646497989232,-3.5840531273741547,-4.408868501257816
2025,8.147400385812405,6.033105157368972,9.215163305234253
2026,-6.557335178938192,-7.298882167135915,-9.20313374699012
