Year,Base_100,Base_400,Full_100
2015,2.1356186349744952,1.2912292247711943,2.006334904052028
2016,2.759317397391527,1.9036401242835632,2.398027523439322
2017,2.7938283728002666,2.035728280694242,2.4484139625329746
2018,2.965449950255846,2.055782105346408,2.6374583171705748
2019,2.714548567954179,2.022324606390506,2.830922630619537
2020,2.785545104315281,2.028682149002565,2.95785907757196
2021,3.4497125730719267,2.378719394658631,3.4055015372233357
2022,4.105352680460332,2.8368814276787293,4.467758148130963
2023,4.005702181116088,2.843160565251475,4.6707144386735475
2024,4.399371545401336,3.3307696579910564,4.8959141268877255
2025,4.473029853328764,3.2228572243137132,5.091898560206866
2026,5.523382324490338,3.697109806002928,5.943793057531749
