Omitted_year,Base_100,Base_400,Full_100,Winner
2015,11.750188905776042,11.00255800325299,12.435482886297732,Base_400
2016,11.808158207507274,11.303418458142362,12.68962195911699,Base_400
2017,11.019858599727197,10.51202614435811,12.011202832046838,Base_400
2018,11.636617105520417,11.268904521321646,12.638268490729644,Base_400
2019,11.608859447657899,10.843023188331374,12.633331733887184,Base_400
2020,11.087543799343804,10.542386789273133,11.901788911007424,Base_400
2021,11.75853480890335,10.761366598412708,12.692591733766447,Base_400
2022,10.604880939093446,10.354517637337107,10.420382811923377,Base_400
2023,10.434836780243412,10.807580454732864,12.141261068869325,Base_100
2024,11.631922661668447,11.090064466994285,12.445826736899278,Base_400
2025,10.585731496876575,10.33763020507555,11.798106639617059,Base_400
2026,11.246878940867804,11.014293518967934,12.778548953771347,Base_400
