Update_ID,Kind,Trigger_date,Effective_date,Selected_seed,Validation_MAPE,Candidate_train_end,Validation_start,Validation_end,Refit_train_end,Refit_N,Applied_end,Applied_N,Applied_MAPE
initial,Initial,,2020-01-01,785634,6.0255549114301905,2019-09-30,2019-10-01,2019-12-31,2019-12-31,2035,2020-01-03,3,12.436852329655697
update_01,Triggered,2020-01-03,2020-01-06,785634,6.230528301467817,2019-10-04,2019-10-07,2020-01-03,2020-01-03,2038,2020-01-09,4,9.450764972505096
update_02,Triggered,2020-01-09,2020-01-10,785634,6.75883832543513,2019-10-09,2019-10-10,2020-01-09,2020-01-09,2042,2020-01-23,11,3.592611290295522
update_03,Triggered,2020-01-23,2020-01-24,965409,9.180832141004542,2019-10-23,2019-10-24,2020-01-23,2020-01-23,2053,2020-02-11,13,2.4386262572271247
update_04,Triggered,2020-02-11,2020-02-12,785634,10.214028215388735,2019-11-11,2019-11-12,2020-02-11,2020-02-11,2066,2020-02-21,9,8.288224541015229
update_05,Triggered,2020-02-21,2020-02-24,785634,12.407998868843386,2019-11-22,2019-11-25,2020-02-21,2020-02-21,2075,2020-02-26,3,4.430501487562575
update_06,Triggered,2020-02-26,2020-02-27,785634,12.301034377399684,2019-11-26,2019-11-27,2020-02-26,2020-02-26,2078,2020-03-05,6,12.09511616707433
update_07,Triggered,2020-03-05,2020-03-06,785634,12.19334681727508,2019-12-05,2019-12-06,2020-03-05,2020-03-05,2084,2020-03-10,3,16.583288820379668
update_08,Triggered,2020-03-10,2020-03-11,785634,11.998092745676272,2019-12-10,2019-12-11,2020-03-10,2020-03-10,2087,2020-03-12,2,4.4426167152874285
update_09,Triggered,2020-03-12,2020-03-13,785634,11.80469593857558,2019-12-12,2019-12-13,2020-03-12,2020-03-12,2089,2020-03-13,1,0.7103964686393701
update_10,Triggered,2020-03-13,2020-03-16,965409,11.549462368128122,2019-12-13,2019-12-16,2020-03-13,2020-03-13,2090,2020-03-23,6,14.456486744211498
update_11,Triggered,2020-03-23,2020-03-24,798291,8.734532909317215,2019-12-23,2019-12-24,2020-03-23,2020-03-23,2096,2020-03-24,1,7.179949755337154
update_12,Triggered,2020-03-24,2020-03-25,798291,8.308206034053143,2019-12-24,2019-12-25,2020-03-24,2020-03-24,2097,2020-03-25,1,4.1428942429391915
update_13,Triggered,2020-03-25,2020-03-26,798291,7.859908955573832,2019-12-25,2019-12-26,2020-03-25,2020-03-25,2098,2020-03-26,1,3.49777181205446
update_14,Triggered,2020-03-26,2020-03-27,798291,7.515917435665198,2019-12-26,2019-12-27,2020-03-26,2020-03-26,2099,2020-03-27,1,2.9446823301290137
update_15,Triggered,2020-03-27,2020-03-30,798291,7.1191287340130405,2019-12-27,2019-12-30,2020-03-27,2020-03-27,2100,2020-04-03,5,1.7944323978333303
update_16,Triggered,2020-04-03,2020-04-06,42716,6.988400920699596,2020-01-03,2020-01-06,2020-04-03,2020-04-03,2105,2020-04-06,1,1.6612242691462875
update_17,Triggered,2020-04-06,2020-04-07,42716,6.618998048227463,2020-01-06,2020-01-07,2020-04-06,2020-04-06,2106,2020-04-13,5,4.330856485360433
update_18,Triggered,2020-04-13,2020-04-14,741131,4.835267551910782,2020-01-13,2020-01-14,2020-04-13,2020-04-13,2111,2020-04-17,4,4.037138293164988
update_19,Triggered,2020-04-17,2020-04-20,741131,4.155202874656397,2020-01-19,2020-01-20,2020-04-17,2020-04-17,2115,2020-04-21,2,3.2906371607167113
update_20,Triggered,2020-04-21,2020-04-22,741131,4.217643676216915,2020-01-21,2020-01-22,2020-04-21,2020-04-21,2117,2020-04-22,1,0.978374950991466
update_21,Triggered,2020-04-22,2020-04-23,741131,4.168258608093672,2020-01-22,2020-01-23,2020-04-22,2020-04-22,2118,2020-04-24,2,3.6988524126991
update_22,Triggered,2020-04-24,2020-04-26,741131,4.539215650337716,2020-01-24,2020-01-27,2020-04-24,2020-04-24,2120,2020-05-08,11,3.725043029409746
update_23,Triggered,2020-05-08,2020-05-09,741131,4.069959007010132,2020-02-07,2020-02-10,2020-05-08,2020-05-08,2131,2020-05-09,1,1.106643676757808
update_24,Triggered,2020-05-09,2020-05-11,741131,4.1502469878925945,2020-02-10,2020-02-11,2020-05-09,2020-05-09,2132,2020-05-20,8,2.793414668402489
update_25,Triggered,2020-05-20,2020-05-21,741131,3.130108454874968,2020-02-20,2020-02-21,2020-05-20,2020-05-20,2140,2020-05-21,1,2.6093930227880673
update_26,Triggered,2020-05-21,2020-05-22,741131,3.3505421878085957,2020-02-21,2020-02-24,2020-05-21,2020-05-21,2141,2020-06-01,8,6.220058165728472
update_27,Triggered,2020-06-01,2020-06-02,741131,4.710699524537925,2020-02-28,2020-03-02,2020-06-01,2020-06-01,2149,2020-06-26,19,8.848082004833502
update_28,Triggered,2020-06-26,2020-06-28,565766,3.5628607246636546,2020-03-27,2020-03-30,2020-06-26,2020-06-26,2168,2020-06-28,1,0.0261577370510518
update_29,Triggered,2020-06-28,2020-06-29,965409,3.536297576673073,2020-03-27,2020-03-30,2020-06-28,2020-06-28,2169,2020-06-29,1,2.849797525995113
update_30,Triggered,2020-06-29,2020-06-30,965409,3.5139059226453906,2020-03-27,2020-03-30,2020-06-29,2020-06-29,2170,2020-06-30,1,0.7054133848710574
update_31,Triggered,2020-06-30,2020-07-01,965409,2.9152995528320744,2020-03-31,2020-04-01,2020-06-30,2020-06-30,2171,2020-07-03,3,3.744366599466394
update_32,Triggered,2020-07-03,2020-07-06,965409,2.7963888340994885,2020-04-03,2020-04-06,2020-07-03,2020-07-03,2174,2020-07-06,1,9.008328462066954
update_33,Triggered,2020-07-06,2020-07-07,965409,2.7111889576381056,2020-04-06,2020-04-07,2020-07-06,2020-07-06,2175,2020-07-22,12,10.456568974766212
update_34,Triggered,2020-07-22,2020-07-23,798291,3.816240368640683,2020-04-22,2020-04-23,2020-07-22,2020-07-22,2187,2020-07-24,2,1.3279083059137815
update_35,Triggered,2020-07-24,2020-07-27,798291,3.821786141327306,2020-04-26,2020-04-27,2020-07-24,2020-07-24,2189,2020-08-07,10,6.106013645487827
update_36,Triggered,2020-08-07,2020-08-10,798291,4.421821515823579,2020-05-09,2020-05-11,2020-08-07,2020-08-07,2199,2020-08-10,1,0.5939760855965527
update_37,Triggered,2020-08-10,2020-08-11,798291,4.418980431412855,2020-05-09,2020-05-11,2020-08-10,2020-08-10,2200,2020-08-11,1,0.8699515170323554
update_38,Triggered,2020-08-11,2020-08-12,798291,4.529493508174049,2020-05-11,2020-05-12,2020-08-11,2020-08-11,2201,2020-08-19,6,4.714287206249146
update_39,Triggered,2020-08-19,2020-08-20,798291,4.293286044321397,2020-05-19,2020-05-20,2020-08-19,2020-08-19,2207,2020-08-20,1,3.3545617815814484
update_40,Triggered,2020-08-20,2020-08-21,798291,5.261560531901092,2020-05-20,2020-05-21,2020-08-20,2020-08-20,2208,2020-08-28,6,6.156099529994354
update_41,Triggered,2020-08-28,2020-08-31,565766,5.53198507660918,2020-05-29,2020-06-01,2020-08-28,2020-08-28,2214,2020-09-01,2,10.976828267943109
update_42,Triggered,2020-09-01,2020-09-02,565766,5.84668851329251,2020-06-01,2020-06-02,2020-09-01,2020-09-01,2216,2020-09-04,3,9.23364860186286
update_43,Triggered,2020-09-04,2020-09-06,42716,5.178856533718712,2020-06-05,2020-06-08,2020-09-04,2020-09-04,2219,2020-09-08,3,10.082066274888648
update_44,Triggered,2020-09-08,2020-09-09,42716,5.493983948303772,2020-06-08,2020-06-09,2020-09-08,2020-09-08,2222,2020-09-23,11,7.9087639441178705
