Update_ID,Split,N,Start,End
initial,Train,2035,2012-06-05,2019-12-31
initial,Test,3,2020-01-01,2020-01-03
update_01,Train,2038,2012-06-05,2020-01-03
update_01,Test,4,2020-01-06,2020-01-09
update_02,Train,2042,2012-06-05,2020-01-09
update_02,Test,11,2020-01-10,2020-01-23
update_03,Train,2053,2012-06-05,2020-01-23
update_03,Test,13,2020-01-24,2020-02-11
update_04,Train,2066,2012-06-05,2020-02-11
update_04,Test,9,2020-02-12,2020-02-21
update_05,Train,2075,2012-06-05,2020-02-21
update_05,Test,3,2020-02-24,2020-02-26
update_06,Train,2078,2012-06-05,2020-02-26
update_06,Test,6,2020-02-27,2020-03-05
update_07,Train,2084,2012-06-05,2020-03-05
update_07,Test,3,2020-03-06,2020-03-10
update_08,Train,2087,2012-06-05,2020-03-10
update_08,Test,2,2020-03-11,2020-03-12
update_09,Train,2089,2012-06-05,2020-03-12
update_09,Test,1,2020-03-13,2020-03-13
update_10,Train,2090,2012-06-05,2020-03-13
update_10,Test,6,2020-03-16,2020-03-23
update_11,Train,2096,2012-06-05,2020-03-23
update_11,Test,1,2020-03-24,2020-03-24
update_12,Train,2097,2012-06-05,2020-03-24
update_12,Test,1,2020-03-25,2020-03-25
update_13,Train,2098,2012-06-05,2020-03-25
update_13,Test,1,2020-03-26,2020-03-26
update_14,Train,2099,2012-06-05,2020-03-26
update_14,Test,1,2020-03-27,2020-03-27
update_15,Train,2100,2012-06-05,2020-03-27
update_15,Test,5,2020-03-30,2020-04-03
update_16,Train,2105,2012-06-05,2020-04-03
update_16,Test,1,2020-04-06,2020-04-06
update_17,Train,2106,2012-06-05,2020-04-06
update_17,Test,5,2020-04-07,2020-04-13
update_18,Train,2111,2012-06-05,2020-04-13
update_18,Test,4,2020-04-14,2020-04-17
update_19,Train,2115,2012-06-05,2020-04-17
update_19,Test,2,2020-04-20,2020-04-21
update_20,Train,2117,2012-06-05,2020-04-21
update_20,Test,1,2020-04-22,2020-04-22
update_21,Train,2118,2012-06-05,2020-04-22
update_21,Test,2,2020-04-23,2020-04-24
update_22,Train,2120,2012-06-05,2020-04-24
update_22,Test,11,2020-04-26,2020-05-08
update_23,Train,2131,2012-06-05,2020-05-08
update_23,Test,1,2020-05-09,2020-05-09
update_24,Train,2132,2012-06-05,2020-05-09
update_24,Test,8,2020-05-11,2020-05-20
update_25,Train,2140,2012-06-05,2020-05-20
update_25,Test,1,2020-05-21,2020-05-21
update_26,Train,2141,2012-06-05,2020-05-21
update_26,Test,8,2020-05-22,2020-06-01
update_27,Train,2149,2012-06-05,2020-06-01
update_27,Test,19,2020-06-02,2020-06-26
update_28,Train,2168,2012-06-05,2020-06-26
update_28,Test,1,2020-06-28,2020-06-28
update_29,Train,2169,2012-06-05,2020-06-28
update_29,Test,1,2020-06-29,2020-06-29
update_30,Train,2170,2012-06-05,2020-06-29
update_30,Test,1,2020-06-30,2020-06-30
update_31,Train,2171,2012-06-05,2020-06-30
update_31,Test,3,2020-07-01,2020-07-03
update_32,Train,2174,2012-06-05,2020-07-03
update_32,Test,1,2020-07-06,2020-07-06
update_33,Train,2175,2012-06-05,2020-07-06
update_33,Test,12,2020-07-07,2020-07-22
update_34,Train,2187,2012-06-05,2020-07-22
update_34,Test,2,2020-07-23,2020-07-24
update_35,Train,2189,2012-06-05,2020-07-24
update_35,Test,10,2020-07-27,2020-08-07
update_36,Train,2199,2012-06-05,2020-08-07
update_36,Test,1,2020-08-10,2020-08-10
update_37,Train,2200,2012-06-05,2020-08-10
update_37,Test,1,2020-08-11,2020-08-11
update_38,Train,2201,2012-06-05,2020-08-11
update_38,Test,6,2020-08-12,2020-08-19
update_39,Train,2207,2012-06-05,2020-08-19
update_39,Test,1,2020-08-20,2020-08-20
update_40,Train,2208,2012-06-05,2020-08-20
update_40,Test,6,2020-08-21,2020-08-28
update_41,Train,2214,2012-06-05,2020-08-28
update_41,Test,2,2020-08-31,2020-09-01
update_42,Train,2216,2012-06-05,2020-09-01
update_42,Test,3,2020-09-02,2020-09-04
update_43,Train,2219,2012-06-05,2020-09-04
update_43,Test,3,2020-09-06,2020-09-08
update_44,Train,2222,2012-06-05,2020-09-08
update_44,Test,11,2020-09-09,2020-09-23
update_45,Train,2233,2012-06-05,2020-09-23
update_45,Test,3,2020-09-24,2020-09-27
update_46,Train,2236,2012-06-05,2020-09-27
update_46,Test,4,2020-09-28,2020-10-01
update_47,Train,2240,2012-06-05,2020-10-01
update_47,Test,1,2020-10-02,2020-10-02
update_48,Train,2241,2012-06-05,2020-10-02
update_48,Test,13,2020-10-05,2020-10-20
update_49,Train,2254,2012-06-05,2020-10-20
update_49,Test,3,2020-10-21,2020-10-23
update_50,Train,2257,2012-06-05,2020-10-23
update_50,Test,16,2020-10-26,2020-11-16
update_51,Train,2273,2012-06-05,2020-11-16
update_51,Test,1,2020-11-17,2020-11-17
update_52,Train,2274,2012-06-05,2020-11-17
update_52,Test,3,2020-11-18,2020-11-20
update_53,Train,2277,2012-06-05,2020-11-20
update_53,Test,2,2020-11-23,2020-11-24
update_54,Train,2279,2012-06-05,2020-11-24
update_54,Test,5,2020-11-25,2020-12-01
update_55,Train,2284,2012-06-05,2020-12-01
update_55,Test,12,2020-12-02,2020-12-17
update_56,Train,2296,2012-06-05,2020-12-17
update_56,Test,1,2020-12-18,2020-12-18
update_57,Train,2297,2012-06-05,2020-12-18
update_57,Test,1,2020-12-21,2020-12-21
update_58,Train,2298,2012-06-05,2020-12-21
update_58,Test,8,2020-12-22,2020-12-31
