Update_ID,Trigger_date,Effective_date,Seed,Train_end,Train_N,Applied_N
initial,,2020-01-01,785634,2019-12-31,2035,3
update_01,2020-01-03,2020-01-06,785634,2020-01-03,2038,4
update_02,2020-01-09,2020-01-10,785634,2020-01-09,2042,11
update_03,2020-01-23,2020-01-24,965409,2020-01-23,2053,13
update_04,2020-02-11,2020-02-12,785634,2020-02-11,2066,9
update_05,2020-02-21,2020-02-24,785634,2020-02-21,2075,3
update_06,2020-02-26,2020-02-27,785634,2020-02-26,2078,6
update_07,2020-03-05,2020-03-06,785634,2020-03-05,2084,3
update_08,2020-03-10,2020-03-11,785634,2020-03-10,2087,2
update_09,2020-03-12,2020-03-13,785634,2020-03-12,2089,1
update_10,2020-03-13,2020-03-16,965409,2020-03-13,2090,6
update_11,2020-03-23,2020-03-24,798291,2020-03-23,2096,1
update_12,2020-03-24,2020-03-25,798291,2020-03-24,2097,1
update_13,2020-03-25,2020-03-26,798291,2020-03-25,2098,1
update_14,2020-03-26,2020-03-27,798291,2020-03-26,2099,1
update_15,2020-03-27,2020-03-30,798291,2020-03-27,2100,5
update_16,2020-04-03,2020-04-06,42716,2020-04-03,2105,1
update_17,2020-04-06,2020-04-07,42716,2020-04-06,2106,5
update_18,2020-04-13,2020-04-14,741131,2020-04-13,2111,4
update_19,2020-04-17,2020-04-20,741131,2020-04-17,2115,2
update_20,2020-04-21,2020-04-22,741131,2020-04-21,2117,1
update_21,2020-04-22,2020-04-23,741131,2020-04-22,2118,2
update_22,2020-04-24,2020-04-26,741131,2020-04-24,2120,11
update_23,2020-05-08,2020-05-09,741131,2020-05-08,2131,1
update_24,2020-05-09,2020-05-11,741131,2020-05-09,2132,8
update_25,2020-05-20,2020-05-21,741131,2020-05-20,2140,1
update_26,2020-05-21,2020-05-22,741131,2020-05-21,2141,8
update_27,2020-06-01,2020-06-02,741131,2020-06-01,2149,19
update_28,2020-06-26,2020-06-28,565766,2020-06-26,2168,1
update_29,2020-06-28,2020-06-29,965409,2020-06-28,2169,1
update_30,2020-06-29,2020-06-30,965409,2020-06-29,2170,1
update_31,2020-06-30,2020-07-01,965409,2020-06-30,2171,3
update_32,2020-07-03,2020-07-06,965409,2020-07-03,2174,1
update_33,2020-07-06,2020-07-07,965409,2020-07-06,2175,12
update_34,2020-07-22,2020-07-23,798291,2020-07-22,2187,2
update_35,2020-07-24,2020-07-27,798291,2020-07-24,2189,10
update_36,2020-08-07,2020-08-10,798291,2020-08-07,2199,1
update_37,2020-08-10,2020-08-11,798291,2020-08-10,2200,1
update_38,2020-08-11,2020-08-12,798291,2020-08-11,2201,6
update_39,2020-08-19,2020-08-20,798291,2020-08-19,2207,1
update_40,2020-08-20,2020-08-21,798291,2020-08-20,2208,6
update_41,2020-08-28,2020-08-31,565766,2020-08-28,2214,2
update_42,2020-09-01,2020-09-02,565766,2020-09-01,2216,3
update_43,2020-09-04,2020-09-06,42716,2020-09-04,2219,3
update_44,2020-09-08,2020-09-09,42716,2020-09-08,2222,11
update_45,2020-09-23,2020-09-24,374583,2020-09-23,2233,3
update_46,2020-09-27,2020-09-28,374583,2020-09-27,2236,4
update_47,2020-10-01,2020-10-02,42716,2020-10-01,2240,1
update_48,2020-10-02,2020-10-05,42716,2020-10-02,2241,13
update_49,2020-10-20,2020-10-21,42716,2020-10-20,2254,3
update_50,2020-10-23,2020-10-26,42716,2020-10-23,2257,16
update_51,2020-11-16,2020-11-17,550343,2020-11-16,2273,1
update_52,2020-11-17,2020-11-18,550343,2020-11-17,2274,3
update_53,2020-11-20,2020-11-23,550343,2020-11-20,2277,2
update_54,2020-11-24,2020-11-25,550343,2020-11-24,2279,5
update_55,2020-12-01,2020-12-02,965409,2020-12-01,2284,12
update_56,2020-12-17,2020-12-18,965409,2020-12-17,2296,1
update_57,2020-12-18,2020-12-21,965409,2020-12-18,2297,1
update_58,2020-12-21,2020-12-22,965409,2020-12-21,2298,8
