Date,Year,Actual,Crossing_H60
2015-01-01,2015,3.65,3.3720334
2015-01-02,2015,3.65,3.401768
2015-01-04,2015,3.65,3.4307249
2015-01-05,2015,3.65,3.5181313
2015-01-06,2015,3.75,3.5533266
2015-01-07,2015,3.98,3.6393445
2015-01-08,2015,3.8,3.4426084
2015-01-09,2015,3.74,3.5465968
2015-01-12,2015,3.76,3.63766
2015-01-13,2015,3.72,3.6795487
2015-01-14,2015,3.59,3.5817018
2015-01-15,2015,3.63,3.751497
2015-01-16,2015,3.77,3.6470554
2015-01-19,2015,3.6,3.5929146
2015-01-20,2015,3.64,3.5302923
2015-01-21,2015,3.77,3.7141967
2015-01-22,2015,3.92,3.8770363
2015-01-23,2015,3.84,3.8106148
2015-01-26,2015,3.87,3.6674776
2015-01-27,2015,3.79,3.8087976
2015-01-28,2015,3.74,3.796715
2015-01-29,2015,3.65,3.5561635
2015-01-30,2015,3.59,3.6101582
2015-02-02,2015,3.58,3.6013846
2015-02-03,2015,3.63,3.1519592
2015-02-04,2015,3.54,3.3949616
2015-02-05,2015,3.49,3.4805334
2015-02-06,2015,3.34,3.474713
2015-02-09,2015,3.31,3.3906446
2015-02-10,2015,3.37,3.4253223
2015-02-11,2015,3.38,3.3454087
2015-02-12,2015,3.37,3.3667684
2015-02-13,2015,3.44,3.3165996
2015-02-15,2015,3.46,3.3772466
2015-02-16,2015,3.46,3.3451798
2015-02-17,2015,3.49,3.3636
2015-02-18,2015,3.42,3.3150592
2015-02-19,2015,3.42,3.2889504
2015-02-20,2015,3.42,3.3303316
2015-02-23,2015,3.42,3.400516
2015-02-24,2015,3.42,3.3727121
2015-02-25,2015,3.42,3.4190676
2015-02-26,2015,3.52,3.4234362
2015-02-27,2015,3.55,3.4902391
2015-02-28,2015,3.64,3.5010707
2015-03-02,2015,3.64,3.4393969
2015-03-03,2015,3.55,3.3881154
2015-03-04,2015,3.54,3.5646522
2015-03-05,2015,3.46,3.5590513
2015-03-06,2015,3.5,3.358955
2015-03-09,2015,3.49,3.2658956
2015-03-10,2015,3.47,3.5389714
2015-03-11,2015,3.45,3.4345171
2015-03-12,2015,3.48,3.5351229
2015-03-13,2015,3.5,3.5821795
2015-03-16,2015,3.57,3.664293
2015-03-17,2015,3.67,3.652211
2015-03-18,2015,3.86,3.7288837
2015-03-19,2015,3.91,3.7470171
2015-03-20,2015,3.88,3.8601966
2015-03-23,2015,4.0,3.85953
2015-03-24,2015,4.4,3.933374
2015-03-25,2015,4.52,4.06474
2015-03-26,2015,4.41,3.9276948
2015-03-27,2015,4.43,4.132684
2015-03-30,2015,4.45,4.458103
2015-03-31,2015,4.32,4.431446
2015-04-01,2015,4.36,4.549286
2015-04-02,2015,4.44,4.5860305
2015-04-03,2015,4.46,4.7295513
2015-04-06,2015,4.56,4.718161
2015-04-07,2015,4.56,4.7604294
2015-04-08,2015,4.47,4.758437
2015-04-09,2015,4.33,4.624031
2015-04-10,2015,4.38,4.6995015
2015-04-13,2015,4.47,4.799062
2015-04-14,2015,4.62,4.7519617
2015-04-15,2015,4.6,4.6279836
2015-04-16,2015,4.86,4.8443913
2015-04-17,2015,5.0,4.980141
2015-04-20,2015,5.2,4.8868213
2015-04-21,2015,5.24,4.8544855
2015-04-22,2015,5.76,4.912155
2015-04-23,2015,5.76,4.8598504
2015-04-24,2015,5.76,5.0273986
2015-04-27,2015,5.76,5.1443048
2015-04-28,2015,5.76,5.1413903
2015-04-29,2015,5.76,5.2041264
2015-04-30,2015,5.76,5.232887
2015-05-01,2015,5.76,6.043867
2015-05-04,2015,5.76,6.0440354
2015-05-05,2015,5.76,5.718274
2015-05-06,2015,5.76,5.582986
2015-05-07,2015,5.76,5.4451995
2015-05-08,2015,5.76,5.7351894
