Year,Start,End,N,MAPE,Updates_excluding_initial,File
2015,2015-01-01,2015-12-31,266,4.081144829001885,60,2015_crossing_h60_prediction.png
2016,2016-01-01,2016-12-31,268,3.7775847602693013,60,2016_crossing_h60_prediction.png
2017,2017-01-02,2017-12-31,267,3.99898983973586,43,2017_crossing_h60_prediction.png
2018,2018-01-01,2018-12-31,269,3.9202149043442582,32,2018_crossing_h60_prediction.png
2019,2019-01-01,2019-12-31,271,3.9595202358093315,34,2019_crossing_h60_prediction.png
2020,2020-01-01,2020-12-31,271,5.386996046031142,58,2020_crossing_h60_prediction.png
2021,2021-01-01,2021-12-31,272,6.107775643345927,54,2021_crossing_h60_prediction.png
2022,2022-01-03,2022-12-31,274,6.1768123376184345,64,2022_crossing_h60_prediction.png
2023,2023-01-02,2023-12-31,273,4.167660218565567,67,2023_crossing_h60_prediction.png
2024,2024-01-01,2024-12-31,273,4.787759544789867,65,2024_crossing_h60_prediction.png
2025,2025-01-01,2025-12-31,268,6.7635984975888865,88,2025_crossing_h60_prediction.png
2026,2026-01-01,2026-07-23,152,4.894648598913702,52,2026_crossing_h60_prediction.png
