,Train_min,Train_max,Test_min,Test_max,Outside_percent
A_500,794.663091402962,2294.1952535325568,1452.6264251089203,2145.1288241844236,0.0
Dollar Index,78.8499984741211,103.29000091552734,89.62999725341797,102.81999969482422,0.0
cn_10y_rate,2.6401,4.7222,2.4824,3.3487,15.867158671586715
us_10y_rate,1.37,3.24,0.52,1.88,84.87084870848709
brent,26.01,118.9,9.12,70.25,15.129151291512915
Copper Futures Price,1.9435,3.837,2.1005,3.63,0.0
Gold Futures Price,659.3462264057005,1115.3918742852677,926.9624735458145,1287.256110217922,49.44649446494465
gold_5,-0.13447838703184634,0.07149824544913708,-0.11263062143083735,0.11598809876352001,1.4760147601476015
gold_20,-0.15558869586364,0.12477884063100997,-0.0976529113280078,0.1742378492228338,2.5830258302583027
copper_5,-0.09171651259742619,0.13410301953818826,-0.14028776978417268,0.07354575768803273,1.4760147601476015
copper_20,-0.15933813390531637,0.23549803559047833,-0.18632577958551244,0.14668218859138538,1.4760147601476015
