,A_500,Dollar Index,cn_10y_rate,us_10y_rate,brent,Copper Futures Price,Gold Futures Price,gold_5,gold_20,copper_5,copper_20
2012-06-06,962.5439346580391,82.31999969482422,3.36,1.66,101.14,3.3845,1024.5341650587984,0.04439044603448328,0.024534165058798463,-0.002945941964943244,-0.07514687798879627
2012-06-07,956.0413875004175,82.05000305175781,3.3751,1.66,100.05,3.3765,995.5449734558147,0.015359017262879915,-0.005328819591309819,0.0017801513128616886,-0.08508332204308355
2012-06-08,949.340671624998,82.51000213623047,3.3101,1.65,97.57,3.291,997.7411208532131,-0.018759657151534936,0.004104571924860689,-0.008734939759036164,-0.09786184210526316
2012-06-11,961.4815906342416,82.51000213623047,3.3491,1.6,98.6,3.3485,1001.1294778711648,-0.010358486340193762,0.022363209637344283,0.01056284895126014,-0.057822172200337585
2012-06-12,954.7445801218629,82.41000366210938,3.3747,1.67,96.59,3.341,1011.9219430144482,-0.001547795985373912,0.03590692483972391,0.013960546282245856,-0.05017768301350389
2012-06-13,970.8750056256687,82.05000305175781,3.3909,1.61,97.29,3.3445,1015.3103000323999,-0.009002984322996288,0.05331338824193166,-0.011818584724479275,-0.0383841288096608
2012-06-14,964.607647715543,81.9000015258789,3.4009,1.64,96.46,3.359,1015.4985718761083,0.020042890027387683,0.027881882765361965,-0.005182881682215368,-0.03449267030755965
2012-06-15,967.3544258406201,81.58999633789062,3.3932,1.6,97.13,3.3875,1020.89480444775,0.023206103377534593,0.022241784969260436,0.0293223944089942,-0.023353034452933574
2012-06-18,972.9869905503282,81.94000244140625,3.4107,1.59,95.21,3.3995,1020.0790619190707,0.018928205059150605,0.02348270346543968,0.015230700313573209,-0.02926898914905751
2012-06-19,965.6202680867065,81.37000274658203,3.4093,1.64,95.14,3.438,1017.8829145216723,0.005890742411877037,0.02911875970433031,0.029033223585752665,-0.014052193862919449
2012-06-20,963.681771526712,81.48999786376953,3.4101,1.65,93.5,3.393,1013.2396927293213,-0.002039383726347044,0.04308512001425635,0.0145014202421887,-0.0008833922261484162
2012-06-21,949.5878381026906,82.31999969482422,3.4001,1.63,89.22,3.3035,981.6778866370651,-0.03330451285279534,0.004623355131397444,-0.016522774635308046,-0.03645909289776872
2012-06-22,930.6267938624317,82.22000122070312,3.3677,1.69,89.22,3.3125,996.1097123913971,-0.024277811923786086,0.011919907311223943,-0.022140221402214055,-0.039298143851508094
2012-06-25,930.6267938624317,82.45999908447266,3.3677,1.63,88.69,3.323,996.1097123913971,-0.023497540948032136,0.025119478901802328,-0.02250330931019273,-0.040150202195262885
2012-06-26,929.0370887636159,82.37000274658203,3.3653,1.66,90.19,3.319,987.6388581442892,-0.029712706585310444,0.016401927427676766,-0.03461314717859232,-0.041305603697284865
2012-06-27,926.1738048538996,82.55999755859375,3.3252,1.65,92.06,3.355,989.8350055416875,-0.023098865308552652,0.009018789411380457,-0.011199528440907658,-0.011636470761525963
2012-06-28,917.3582004828637,82.66999816894531,3.3253,1.6,91.02,3.3315,972.3912898612778,-0.00945992254913719,-0.008255487402798245,0.008475858937490477,-0.01157098353360031
2012-06-29,929.928122100966,81.6500015258789,3.3253,1.67,94.17,3.4965,1006.1492433509325,0.010078740157480226,-0.010490589324282595,0.055547169811320796,0.053162650602409656
2012-07-02,932.0107083696885,81.87000274658203,3.3353,1.61,95.28,3.469,1002.1961473973984,0.006110205462598328,-0.009304056850452547,0.04393620222690342,0.046929228912026444
2012-07-03,933.2951755716767,81.77999877929688,3.3204,1.65,99.89,3.54,1017.3182521816326,0.030050856942900328,0.003776682665093123,0.06658632118107866,0.0743550834597877
2012-07-04,917.5251558128764,82.80999755859375,3.3195,1.62,101.54,3.493,1009.5376003688841,0.01990492831319335,-0.014637447145604554,0.04113263785394938,0.03205791106514999
2012-07-05,917.5251558128764,82.80999755859375,3.3193,1.62,101.54,3.493,1009.5376003688841,0.038200990583642236,0.014055243395481254,0.04847666216419033,0.03450318377017614
