Year,Model,MAPE,MSE
2015,DirectLag,2.0332689867668217,0.005571677383341141
2015,DirectMA,2.0651390919879042,0.005904220935637814
2016,DirectLag,2.3834930368395257,0.012509463298279667
2016,DirectMA,2.47506147134167,0.014075592611114499
2017,DirectLag,2.37402332320685,0.012926573984088596
2017,DirectMA,2.4300756803918544,0.013918206707682498
2018,DirectLag,2.5071197670366105,0.013818128016646797
2018,DirectMA,2.537744462711887,0.01446813055910474
2019,DirectLag,2.582935110573678,0.016685971542897006
2019,DirectMA,2.6526497033773295,0.017500256453096046
2020,DirectLag,2.729402611287657,0.01698599233348321
2020,DirectMA,2.7880989219186376,0.01812399456324521
2021,DirectLag,3.3517191407434814,0.029667780486729977
2021,DirectMA,3.425557718718442,0.030004965556292125
2022,DirectLag,4.361436983322283,0.07435030304581884
2022,DirectMA,4.362958564811049,0.07407383837220696
2023,DirectLag,4.546745480602441,0.0919015958594657
2023,DirectMA,4.6208687496140275,0.09199979219382272
2024,DirectLag,4.7843166656831775,0.11691059856533366
2024,DirectMA,4.882603982249362,0.11967996691713194
2025,DirectLag,5.512009111795669,0.20164179739489746
2025,DirectMA,5.531701205440601,0.20919024043969836
2026,DirectLag,6.86240893523495,0.564242826655169
2026,DirectMA,6.813805525644322,0.5672802791944379
