Year,Epoch,Split,N,MAPE,MPE
2015,100,Train,693,2.006334904052028,0.14119422021057063
2015,200,Train,693,1.5167995486498151,0.047632065823700095
2015,300,Train,693,1.3708758072930798,0.03870985661842342
2015,400,Train,693,1.2802261577359673,0.0363664514073409
2015,100,Test,266,9.796103008657584,-7.944411071811233
2015,200,Test,266,10.847537411775884,-7.2518526884146555
2015,300,Test,266,10.850839793990621,-5.9936149155603085
2015,400,Test,266,10.2952961933359,-5.959950615882479
2016,100,Train,959,2.3980275234393216,0.06887211241474987
2016,200,Train,959,1.971664136677381,0.06645463262201147
2016,300,Train,959,1.7723645912440533,0.06399154441995689
2016,400,Train,959,1.6289625362005329,0.02268443255052456
2016,100,Test,268,7.000573207645745,6.423679414278061
2016,200,Test,268,7.82540248450718,6.586232806614067
2016,300,Test,268,8.632288714283689,6.890584848256513
2016,400,Test,268,8.573203282828922,6.774454006210004
2017,100,Train,1227,2.448413962532975,0.14482066737508947
2017,200,Train,1227,2.03610714183305,0.06560695128710804
2017,300,Train,1227,1.8027691823000698,0.02025178909331222
2017,400,Train,1227,1.6288298431902823,0.021568276527528824
2017,100,Test,267,14.463183605417415,14.451880851610277
2017,200,Test,267,12.913329657054323,12.87412838731518
2017,300,Test,267,13.289914821569894,13.210583941316154
2017,400,Test,267,14.206035752009711,14.098604289797093
2018,100,Train,1494,2.6374583171705748,0.1054846797734836
2018,200,Train,1494,2.0754159422288354,0.07441997948914802
2018,300,Train,1494,1.836028607199961,0.01765118237772781
2018,400,Train,1494,1.6989723074252983,0.061844155485560125
2018,100,Test,269,7.565461359906547,-6.9753392292397525
2018,200,Test,269,6.840993986888618,-5.695254388898029
2018,300,Test,269,7.509911974694709,-6.088827828745255
2018,400,Test,269,8.191701677160857,-6.968768388643096
2019,100,Train,1763,2.830922630619537,0.13972356916966944
2019,200,Train,1763,2.1895552330465273,0.06697585068748678
2019,300,Train,1763,1.8828243568168201,0.37226013041109113
2019,400,Train,1763,1.6807828479471543,0.1711897393763126
2019,100,Test,271,7.619765685173606,7.182758127148131
2019,200,Test,271,7.432082637358256,7.028312760996408
2019,300,Test,271,8.525543016507633,8.017522199326782
2019,400,Test,271,8.638474024415217,8.072598907184135
2020,100,Train,2034,2.9578590775719595,0.13990073332486183
2020,200,Train,2034,2.260864510857105,0.10333496585964398
2020,300,Train,2034,2.003057396305055,0.22547251193508638
2020,400,Train,2034,1.7850330834755044,-0.039010731743010264
2020,100,Test,271,15.666736736850972,-11.304171156078553
2020,200,Test,271,19.673620142884296,-17.60815580380938
2020,300,Test,271,22.57277842078241,-22.154268784963726
2020,400,Test,271,24.71148721554179,-24.398644148843456
2021,100,Train,2305,3.405501537223336,0.20233539761270536
2021,200,Train,2305,2.8393085007068457,0.15877123984567204
2021,300,Train,2305,2.550012248704839,0.12622377240854696
2021,400,Train,2305,2.290553707239084,0.2285095052607722
2021,100,Test,272,6.967905686501721,-6.03001522088211
2021,200,Test,272,7.244794100672184,-6.506396656927866
2021,300,Test,272,7.669043070692388,-6.670047622956744
2021,400,Test,272,8.46667511891498,-7.618399759277995
2022,100,Train,2577,4.4677581481309625,0.38585240418851297
2022,200,Train,2577,3.55657552532718,0.23031451465876615
2022,300,Train,2577,3.026050902831123,0.28126876555791686
2022,400,Train,2577,2.695127730165928,0.16804657741632562
2022,100,Test,274,31.962203826775493,-31.526966139885534
2022,200,Test,274,34.9867089609919,-34.55171935729054
2022,300,Test,274,34.95315389663001,-34.463641149917166
2022,400,Test,274,35.385927151961745,-34.84422028000466
2023,100,Train,2851,4.6707144386735475,0.4796996298609286
2023,200,Train,2851,3.4260092419021477,0.25045897787159427
2023,300,Train,2851,2.893811564175086,0.16319606797088587
2023,400,Train,2851,2.7308608014031632,0.14026080188368895
2023,100,Test,273,13.03254300037008,-12.828877537895014
2023,200,Test,273,10.887239371642737,-10.743446959512166
2023,300,Test,273,9.557784375965753,-9.19652427814364
2023,400,Test,273,9.598767293353104,-9.26371950520446
2024,100,Train,3124,4.8959141268877255,0.39781601091871344
2024,200,Train,3124,3.4819119816685795,0.1866196733525274
2024,300,Train,3124,3.083995991057829,0.14528170093432477
2024,400,Train,3124,2.8340829810336596,0.11969646816487417
2024,100,Test,273,9.682320652040598,-9.273511964709998
2024,200,Test,273,7.771448299644105,-6.796858722556866
2024,300,Test,273,7.23488537429909,-5.858410874075464
2024,400,Test,273,6.875563099057805,-5.307878345919682
2025,100,Train,3397,5.091898560206867,0.1667642580081401
2025,200,Train,3397,3.982010838048485,0.2634882242125102
2025,300,Train,3397,3.5827395758250002,0.21383798122076922
2025,400,Train,3397,3.25425861568868,0.18252148135296425
2025,100,Test,268,16.80724172214502,4.7319097631103295
2025,200,Test,268,16.70062734062317,2.79295998575252
2025,300,Test,268,16.201694774074962,3.3634622398394027
2025,400,Test,268,15.91392683616413,3.1066726458388025
2026,100,Train,3665,5.943793057531749,0.5185001762562855
2026,200,Train,3665,4.476154473309883,0.31936391662694275
2026,300,Train,3665,3.7742641898620293,0.3107630801931571
2026,400,Train,3665,3.3280385421617407,0.1636127884837029
2026,100,Test,152,6.022376266447848,-0.37703620690479916
2026,200,Test,152,12.871517352851534,12.054522909939788
2026,300,Test,152,11.096006959846349,9.797414922904519
2026,400,Test,152,7.007567928494703,3.286674103380308
