Year,Epoch,Split,N,MAPE,MPE
2015,400,Train,693,1.2802261577359673,0.0363664514073409
2015,600,Train,693,1.0977837533869803,0.07076458625692102
2015,800,Train,693,0.9872334221999647,-0.10762878793602608
2015,1000,Train,693,0.9334128058633032,-0.18628366372887
2015,400,Test,266,10.2952961933359,-5.959950615882479
2015,600,Test,266,10.586453397743416,-7.580457107592157
2015,800,Test,266,12.460995486147795,-10.720562498763694
2015,1000,Test,266,14.704033628584897,-13.462456265796773
2016,400,Train,959,1.6289625362005329,0.02268443255052456
2016,600,Train,959,1.4241135661642712,-0.0076144718471297885
2016,800,Train,959,1.3142939819115882,0.0073377707021917244
2016,1000,Train,959,1.3323839562206026,0.5232121438732064
2016,400,Test,268,8.573203282828922,6.774454006210004
2016,600,Test,268,8.730275395849908,7.274923905280499
2016,800,Test,268,8.34127326256186,7.206260393231347
2016,1000,Test,268,8.35798967685289,7.426466173191918
2017,400,Train,1227,1.6288298431902823,0.021568276527528824
2017,600,Train,1227,1.4493665537321465,-0.22354192133799644
2017,800,Train,1227,1.3211369044525023,-0.17327871085920923
2017,1000,Train,1227,1.275010741251891,0.16565206351496975
2017,400,Test,267,14.206035752009711,14.098604289797093
2017,600,Test,267,15.253887028228409,15.214791878679053
2017,800,Test,267,15.903918383421884,15.858553395106993
2017,1000,Test,267,16.674313522897343,16.636735082774887
2018,400,Train,1494,1.6989723074252983,0.061844155485560125
2018,600,Train,1494,1.5133667689447075,-0.03794780904456569
2018,800,Train,1494,1.414030204022081,-0.37566987407281127
2018,1000,Train,1494,1.3013658490301696,0.19075617321751348
2018,400,Test,269,8.191701677160857,-6.968768388643096
2018,600,Test,269,8.44444393986153,-7.485607982558652
2018,800,Test,269,9.12019743333247,-8.436162240962636
2018,1000,Test,269,9.081071507624907,-8.201611801663576
2019,400,Train,1763,1.6807828479471543,0.1711897393763126
2019,600,Train,1763,1.616070832335295,0.40651797098913744
2019,800,Train,1763,1.4974212109272134,-0.29951390900078717
2019,1000,Train,1763,1.425764590845391,0.13558517925704738
2019,400,Test,271,8.638474024415217,8.072598907184135
2019,600,Test,271,8.815693680512476,8.37680754225431
2019,800,Test,271,8.370176446896139,7.876814795963062
2019,1000,Test,271,8.643104530088102,8.139910127799652
2020,400,Train,2034,1.7850330834755044,-0.039010731743010264
2020,600,Train,2034,1.600945475840746,0.25818636132730766
2020,800,Train,2034,1.5092430481543724,-0.2751914971146484
2020,1000,Train,2034,1.4379255474519537,0.05937087031575954
2020,400,Test,271,24.71148721554179,-24.398644148843456
2020,600,Test,271,29.891417363043523,-29.66697482532366
2020,800,Test,271,32.20770226547695,-31.999378721004458
2020,1000,Test,271,33.79518977927767,-33.59981268476811
2021,400,Train,2305,2.290553707239084,0.2285095052607722
2021,600,Train,2305,2.0046554267314463,0.1429993929942621
2021,800,Train,2305,1.891156581702603,-0.2223457629833113
2021,1000,Train,2305,1.914979007438076,0.665980791936969
2021,400,Test,272,8.46667511891498,-7.618399759277995
2021,600,Test,272,12.975912008789408,-12.717152641852318
2021,800,Test,272,14.911432502140656,-14.811469111630132
2021,1000,Test,272,19.224975213685774,-19.224975213685774
2022,400,Train,2577,2.695127730165928,0.16804657741632562
2022,600,Train,2577,2.344220125009491,0.14727064468926312
2022,800,Train,2577,2.2963252877277713,-0.48821582233874733
2022,1000,Train,2577,2.05621657203482,-0.061095986015330846
2022,400,Test,274,35.385927151961745,-34.84422028000466
2022,600,Test,274,39.387929136226305,-38.89114198770286
2022,800,Test,274,41.378786075585154,-40.83214293598233
2022,1000,Test,274,40.22974620485278,-39.51773040896684
2023,400,Train,2851,2.7308608014031632,0.14026080188368895
2023,600,Train,2851,2.540363060605817,0.12368221713825894
2023,800,Train,2851,2.3952426321864047,0.06864145895689933
2023,1000,Train,2851,2.2756268117005174,0.1252920539041538
2023,400,Test,273,9.598767293353104,-9.26371950520446
2023,600,Test,273,10.059708767527425,-9.654783169976037
2023,800,Test,273,10.267517954506793,-9.893950460048972
2023,1000,Test,273,10.413843949954323,-10.039483987091346
2024,400,Train,3124,2.8340829810336596,0.11969646816487417
2024,600,Train,3124,2.5610431928130475,-0.012043953654009886
2024,800,Train,3124,2.4671979105485193,0.44683940393932
2024,1000,Train,3124,2.360789314661875,-0.3620774161483796
2024,400,Test,273,6.875563099057805,-5.307878345919682
2024,600,Test,273,6.527071613929548,-4.7941003809757134
2024,800,Test,273,6.368720108506667,-4.394828207178977
2024,1000,Test,273,6.294718232762194,-4.290278797649808
2025,400,Train,3397,3.25425861568868,0.18252148135296425
2025,600,Train,3397,2.7955335247467117,0.11713790217766305
2025,800,Train,3397,2.606480038129249,-0.2514649110017667
2025,1000,Train,3397,2.5181637862109683,-0.4181775672001284
2025,400,Test,268,15.91392683616413,3.1066726458388025
2025,600,Test,268,15.693533171445765,2.568786855433976
2025,800,Test,268,15.589572486865777,2.146602980596228
2025,1000,Test,268,15.519909399102897,2.1197013017080817
2026,400,Train,3665,3.3280385421617407,0.1636127884837029
2026,600,Train,3665,2.868624293724016,0.15704950560812955
2026,800,Train,3665,2.703353151784688,0.4603197571401384
2026,1000,Train,3665,2.531915619323416,-0.17539782232009887
2026,400,Test,152,7.007567928494703,3.286674103380308
2026,600,Test,152,6.587208229845666,1.639883959684019
2026,800,Test,152,7.460849288026527,3.4655406968647084
2026,1000,Test,152,7.4448423606892105,2.777702482246262
