Period,Model,Seed,Mean_annual_MAPE
2015-2026 (2026 partial),Base_100,7,13.059174713309888
2015-2026 (2026 partial),Base_100,42,11.264500974432138
2015-2026 (2026 partial),Base_100,123,13.194459913880587
2015-2026 (2026 partial),Base_100,2024,13.192010526531169
2015-2026 (2026 partial),Base_100,2025,14.013963122353237
2015-2026 (2026 partial),Base_400,7,14.841557615277182
2015-2026 (2026 partial),Base_400,42,10.819814165516673
2015-2026 (2026 partial),Base_400,123,13.620820469948077
2015-2026 (2026 partial),Base_400,2024,14.288341268938128
2015-2026 (2026 partial),Base_400,2025,13.525524695788553
2015-2026 (2026 partial),Full_100,7,13.144133623684631
2015-2026 (2026 partial),Full_100,42,12.215534563161055
2015-2026 (2026 partial),Full_100,123,10.68646506018726
2015-2026 (2026 partial),Full_100,2024,12.900801101379956
2015-2026 (2026 partial),Full_100,2025,11.711470979350894
2015-2025 complete,Base_100,7,13.537983191477458
2015-2025 complete,Base_100,42,11.246878940867804
2015-2025 complete,Base_100,123,13.630929966486843
2015-2025 complete,Base_100,2024,13.559517167194349
2015-2025 complete,Base_100,2025,14.214049538471357
2015-2025 complete,Base_400,7,15.294100168105102
2015-2025 complete,Base_400,42,11.014293518967934
2015-2025 complete,Base_400,123,13.637480127267777
2015-2025 complete,Base_400,2024,14.858689566793679
2015-2025 complete,Base_400,2025,14.042502732168964
2015-2025 complete,Full_100,7,13.565687231547217
2015-2025 complete,Full_100,42,12.778548953771347
2015-2025 complete,Full_100,123,10.971295917019463
2015-2025 complete,Full_100,2024,13.454511046581842
2015-2025 complete,Full_100,2025,12.152715421391905
