Year,Method,Anchor,Effective_date,Trigger_date,Seed,Train_start,Train_end,Train_N,Applied_start,Applied_end,Applied_N,Validation_MAPE,Selection_source
2016,Monthly_equal,2016-01-01,2016-01-01,,741131,2012-06-05,2015-12-31,960,2016-01-01,2016-01-29,21,7.388285025290972,new equal-MSE validation selection
2016,Monthly_equal,2016-02-01,2016-02-01,,565766,2012-06-05,2016-01-29,981,2016-02-01,2016-02-29,23,4.977394893223825,new equal-MSE validation selection
2016,Monthly_equal,2016-03-01,2016-03-01,,565766,2012-06-05,2016-02-29,1004,2016-03-01,2016-03-31,23,3.65113588597348,new equal-MSE validation selection
2016,Monthly_equal,2016-04-01,2016-04-01,,550343,2012-06-05,2016-03-31,1027,2016-04-01,2016-04-29,21,3.6485224452794554,new equal-MSE validation selection
2016,Monthly_equal,2016-05-01,2016-05-02,,965409,2012-06-05,2016-04-29,1048,2016-05-02,2016-05-31,22,3.819173842793184,new equal-MSE validation selection
2016,Monthly_equal,2016-06-01,2016-06-01,,965409,2012-06-05,2016-05-31,1070,2016-06-01,2016-06-30,23,3.3382753701907033,new equal-MSE validation selection
2016,Monthly_equal,2016-07-01,2016-07-01,,965409,2012-06-05,2016-06-30,1093,2016-07-01,2016-07-29,21,2.2587151408261423,new equal-MSE validation selection
2016,Monthly_equal,2016-08-01,2016-08-01,,785634,2012-06-05,2016-07-29,1114,2016-08-01,2016-08-31,23,3.4167133678374464,new equal-MSE validation selection
2016,Monthly_equal,2016-09-01,2016-09-01,,785634,2012-06-05,2016-08-31,1137,2016-09-01,2016-09-30,23,3.1457367226542092,new equal-MSE validation selection
2016,Monthly_equal,2016-10-01,2016-10-03,,785634,2012-06-05,2016-09-30,1160,2016-10-03,2016-10-31,23,3.5343295845723253,new equal-MSE validation selection
2016,Monthly_equal,2016-11-01,2016-11-01,,965409,2012-06-05,2016-10-31,1183,2016-11-01,2016-11-30,22,2.6394868852416575,new equal-MSE validation selection
2016,Monthly_equal,2016-12-01,2016-12-01,,965409,2012-06-05,2016-11-30,1205,2016-12-01,2016-12-31,23,3.2529391605679145,new equal-MSE validation selection
2016,Monthly_H60,2016-01-01,2016-01-01,,741131,2012-06-05,2015-12-31,960,2016-01-01,2016-01-29,21,7.388285025290972,new equal-MSE validation selection
2016,Monthly_H60,2016-02-01,2016-02-01,,565766,2012-06-05,2016-01-29,981,2016-02-01,2016-02-29,23,4.977394893223825,new equal-MSE validation selection
2016,Monthly_H60,2016-03-01,2016-03-01,,565766,2012-06-05,2016-02-29,1004,2016-03-01,2016-03-31,23,3.65113588597348,new equal-MSE validation selection
2016,Monthly_H60,2016-04-01,2016-04-01,,550343,2012-06-05,2016-03-31,1027,2016-04-01,2016-04-29,21,3.6485224452794554,new equal-MSE validation selection
2016,Monthly_H60,2016-05-01,2016-05-02,,965409,2012-06-05,2016-04-29,1048,2016-05-02,2016-05-31,22,3.819173842793184,new equal-MSE validation selection
2016,Monthly_H60,2016-06-01,2016-06-01,,965409,2012-06-05,2016-05-31,1070,2016-06-01,2016-06-30,23,3.3382753701907033,new equal-MSE validation selection
2016,Monthly_H60,2016-07-01,2016-07-01,,965409,2012-06-05,2016-06-30,1093,2016-07-01,2016-07-29,21,2.2587151408261423,new equal-MSE validation selection
2016,Monthly_H60,2016-08-01,2016-08-01,,785634,2012-06-05,2016-07-29,1114,2016-08-01,2016-08-31,23,3.4167133678374464,new equal-MSE validation selection
2016,Monthly_H60,2016-09-01,2016-09-01,,785634,2012-06-05,2016-08-31,1137,2016-09-01,2016-09-30,23,3.1457367226542092,new equal-MSE validation selection
2016,Monthly_H60,2016-10-01,2016-10-03,,785634,2012-06-05,2016-09-30,1160,2016-10-03,2016-10-31,23,3.5343295845723253,new equal-MSE validation selection
2016,Monthly_H60,2016-11-01,2016-11-01,,965409,2012-06-05,2016-10-31,1183,2016-11-01,2016-11-30,22,2.6394868852416575,new equal-MSE validation selection
2016,Monthly_H60,2016-12-01,2016-12-01,,965409,2012-06-05,2016-11-30,1205,2016-12-01,2016-12-31,23,3.2529391605679145,new equal-MSE validation selection
2016,Crossing_H60,2016-01-01,2016-01-01,,741131,2012-06-05,2015-12-31,960,2016-01-01,2016-01-07,5,7.388285025290972,new equal-MSE validation selection
2016,Crossing_H60,2016-01-08,2016-01-08,2016-01-07,640934,2012-06-05,2016-01-07,965,2016-01-08,2016-01-08,1,6.342983168403325,new equal-MSE validation selection
2016,Crossing_H60,2016-01-11,2016-01-11,2016-01-08,640934,2012-06-05,2016-01-08,966,2016-01-11,2016-01-21,9,6.313244667070948,new equal-MSE validation selection
2016,Crossing_H60,2016-01-22,2016-01-22,2016-01-21,565766,2012-06-05,2016-01-21,975,2016-01-22,2016-02-03,9,5.8157543741043565,new equal-MSE validation selection
2016,Crossing_H60,2016-02-04,2016-02-04,2016-02-03,565766,2012-06-05,2016-02-03,984,2016-02-04,2016-02-08,4,5.177235926915899,new equal-MSE validation selection
2016,Crossing_H60,2016-02-09,2016-02-09,2016-02-08,565766,2012-06-05,2016-02-08,988,2016-02-09,2016-02-22,11,4.724651907577003,new equal-MSE validation selection
2016,Crossing_H60,2016-02-23,2016-02-23,2016-02-22,565766,2012-06-05,2016-02-22,999,2016-02-23,2016-02-24,2,3.982433647228758,new equal-MSE validation selection
