Trigger_date,Effective_date,Gold_trigger,Copper_trigger
2022-01-12,2022-01-13,False,True
2022-01-14,2022-01-16,False,True
2022-01-20,2022-01-21,False,True
2022-01-21,2022-01-24,False,True
2022-01-28,2022-01-29,False,True
2022-01-29,2022-01-30,False,True
2022-02-09,2022-02-10,False,True
2022-02-11,2022-02-14,False,True
2022-02-17,2022-02-18,True,False
2022-02-22,2022-02-23,True,False
2022-02-24,2022-02-25,True,False
2022-02-25,2022-02-28,True,False
2022-03-01,2022-03-02,True,False
2022-03-02,2022-03-03,True,True
2022-03-04,2022-03-07,True,False
2022-03-08,2022-03-09,False,True
2022-03-11,2022-03-14,True,False
2022-04-24,2022-04-25,False,True
2022-05-02,2022-05-03,True,False
2022-05-03,2022-05-04,True,False
2022-05-07,2022-05-09,True,False
2022-05-09,2022-05-10,True,False
2022-05-10,2022-05-11,True,False
2022-05-11,2022-05-12,True,False
2022-05-12,2022-05-13,True,False
2022-05-17,2022-05-18,True,True
2022-06-02,2022-06-03,False,True
2022-06-09,2022-06-10,False,True
2022-06-14,2022-06-15,False,True
2022-07-03,2022-07-04,True,False
2022-07-13,2022-07-14,True,False
2022-07-14,2022-07-15,True,False
2022-07-19,2022-07-20,True,False
2022-07-20,2022-07-21,True,False
2022-07-21,2022-07-22,True,False
2022-07-25,2022-07-26,False,True
2022-07-29,2022-08-01,False,True
2022-08-03,2022-08-04,False,True
2022-08-04,2022-08-05,True,False
2022-08-05,2022-08-08,True,True
2022-08-09,2022-08-10,True,False
2022-08-10,2022-08-11,True,False
2022-08-17,2022-08-18,False,True
2022-08-19,2022-08-22,False,True
2022-08-22,2022-08-23,False,True
2022-09-01,2022-09-02,True,True
2022-09-02,2022-09-04,True,False
2022-09-08,2022-09-09,False,True
2022-09-23,2022-09-26,False,True
2022-09-26,2022-09-27,True,False
2022-09-28,2022-09-29,True,True
2022-10-26,2022-10-27,False,True
2022-10-27,2022-10-28,False,True
2022-11-04,2022-11-07,False,True
2022-11-08,2022-11-09,True,False
2022-11-17,2022-11-18,False,True
2022-11-21,2022-11-22,True,False
2022-12-01,2022-12-02,True,True
2022-12-02,2022-12-05,True,False
2022-12-05,2022-12-06,False,True
2022-12-07,2022-12-08,False,True
2022-12-12,2022-12-13,False,True
2022-12-14,2022-12-15,False,True
2022-12-15,2022-12-16,False,True
