Year,Method,N,MAPE,MSE,Seed_MAPE_SD,Models,Updates_excluding_initial,Start,End
2015,Monthly_equal,266,5.414469920260821,0.11864932778230865,,12,11,2015-01-01,2015-12-31
2015,Monthly_H60,266,5.224485563830483,0.0947107629030539,,12,11,2015-01-01,2015-12-31
2015,Crossing_H60,266,4.081144829001885,0.08496374077836111,,61,60,2015-01-01,2015-12-31
2015,Annual_frozen_old,266,8.989510265586716,0.44100220963046394,2.9525556879958788,1,0,2015-01-01,2015-12-31
2016,Monthly_equal,268,4.366411979395434,0.038229303349179546,,12,11,2016-01-01,2016-12-31
2016,Monthly_H60,268,4.443662500533781,0.03591903358264648,,12,11,2016-01-01,2016-12-31
2016,Crossing_H60,268,3.7775847602693013,0.026948455996257118,,61,60,2016-01-01,2016-12-31
2016,Annual_frozen_old,268,8.5512146828592,0.12173753138342984,3.0235586887357693,1,0,2016-01-01,2016-12-31
2017,Monthly_equal,267,5.58092931270757,0.0671834484919651,,12,11,2017-01-02,2017-12-31
2017,Monthly_H60,267,4.120614826819521,0.04282408646266742,,12,11,2017-01-02,2017-12-31
2017,Crossing_H60,267,3.99898983973586,0.043173214947947146,,44,43,2017-01-02,2017-12-31
2017,Annual_frozen_old,267,13.644093655377953,0.4013065981209345,1.764450608873015,1,0,2017-01-02,2017-12-31
2018,Monthly_equal,269,5.702138238223613,0.08941370193066671,,12,11,2018-01-01,2018-12-31
2018,Monthly_H60,269,3.470922367312803,0.03881165952775873,,12,11,2018-01-01,2018-12-31
2018,Crossing_H60,269,3.9202149043442582,0.06907733410869484,,33,32,2018-01-01,2018-12-31
2018,Annual_frozen_old,269,7.704086087301556,0.1715848401676261,2.2540842334893716,1,0,2018-01-01,2018-12-31
2019,Monthly_equal,271,6.209027230120936,0.06589498349181651,,12,11,2019-01-01,2019-12-31
2019,Monthly_H60,271,5.356516813279836,0.05953326422535167,,12,11,2019-01-01,2019-12-31
2019,Crossing_H60,271,3.9595202358093315,0.029768773341573806,,35,34,2019-01-01,2019-12-31
2019,Annual_frozen_old,271,10.524096165639815,0.1845182351164262,3.218258598539961,1,0,2019-01-01,2019-12-31
2020,Monthly_equal,271,8.1499212386629,0.3380871429804666,,12,11,2020-01-01,2020-12-31
2020,Monthly_H60,271,6.657657417197796,0.2502694414790709,,12,11,2020-01-01,2020-12-31
2020,Crossing_H60,271,5.386996046031142,0.1685158624087434,,59,58,2020-01-01,2020-12-31
2020,Annual_frozen_old,271,13.47568474017893,1.3565908930011576,2.2220542189994785,1,0,2020-01-01,2020-12-31
2021,Monthly_equal,272,7.208494283501842,0.8576101014739512,,12,11,2021-01-01,2021-12-31
2021,Monthly_H60,272,7.208803571734737,0.980457720578354,,12,11,2021-01-01,2021-12-31
2021,Crossing_H60,272,6.107775643345927,0.6327146728640202,,55,54,2021-01-01,2021-12-31
2021,Annual_frozen_old,272,9.571835533826675,1.7443665976837974,4.452494630867139,1,0,2021-01-01,2021-12-31
2022,Monthly_equal,274,6.817475137093816,0.7806211453450859,,12,11,2022-01-03,2022-12-31
2022,Monthly_H60,274,6.661032597874639,0.559913787179767,,12,11,2022-01-03,2022-12-31
2022,Crossing_H60,274,6.1768123376184345,0.5037065751179272,,65,64,2022-01-03,2022-12-31
2022,Annual_frozen_old,274,31.798982298483963,11.415981867924891,8.243460913631536,1,0,2022-01-03,2022-12-31
2023,Monthly_equal,273,5.679818803248701,0.7661058209508077,,12,11,2023-01-02,2023-12-31
2023,Monthly_H60,273,4.9396998007005415,0.5873129561630697,,12,11,2023-01-02,2023-12-31
2023,Crossing_H60,273,4.167660218565567,0.41530623699814095,,68,67,2023-01-02,2023-12-31
2023,Annual_frozen_old,273,13.793009304989567,3.4906584162688836,2.8276432167819223,1,0,2023-01-02,2023-12-31
2024,Monthly_equal,273,7.446033599610366,1.9191139267657187,,12,11,2024-01-01,2024-12-31
2024,Monthly_H60,273,6.6768064139903425,1.845337307430604,,12,11,2024-01-01,2024-12-31
2024,Crossing_H60,273,4.787759544789867,0.9901574580892636,,66,65,2024-01-01,2024-12-31
2024,Annual_frozen_old,273,10.208956177615407,4.096804052103004,2.287643749904469,1,0,2024-01-01,2024-12-31
2025,Monthly_equal,268,11.394317763996337,11.505506443597726,,12,11,2025-01-01,2025-12-31
2025,Monthly_H60,268,7.701013552796962,4.8285024681608535,,12,11,2025-01-01,2025-12-31
2025,Crossing_H60,268,6.7635984975888865,3.56209070655297,,89,88,2025-01-01,2025-12-31
2025,Annual_frozen_old,268,16.24206133498438,17.467194795026735,1.06036591918649,1,0,2025-01-01,2025-12-31
2026,Monthly_equal,152,6.105281790866083,5.605097006750763,,7,6,2026-01-01,2026-07-23
2026,Monthly_H60,152,6.460909409345973,6.783324306071566,,7,6,2026-01-01,2026-07-23
2026,Crossing_H60,152,4.894648598913702,4.333330848328522,,53,52,2026-01-01,2026-07-23
2026,Annual_frozen_old,152,8.943179167848466,12.263353499329614,1.703382311006091,1,0,2026-01-01,2026-07-23
