Year,N,Start,End,Monthly_models,Crossing_models,Unique_selection_dates,New_final_stage_trainings,Seconds
2015,266,2015-01-01,2015-12-31,12,61,69,160,53.68196392059326
2016,268,2016-01-01,2016-12-31,12,61,70,162,57.22486400604248
2017,267,2017-01-02,2017-12-31,12,44,54,132,44.43009805679321
2018,269,2018-01-01,2018-12-31,12,33,44,112,39.6726450920105
2019,271,2019-01-01,2019-12-31,12,35,46,116,46.38287591934204
2020,271,2020-01-01,2020-12-31,12,59,69,162,7.2250189781188965
2021,272,2021-01-01,2021-12-31,12,55,64,150,77.01488614082336
2022,274,2022-01-03,2022-12-31,12,65,75,174,94.7194721698761
2023,273,2023-01-02,2023-12-31,12,68,75,168,98.26591992378235
2024,273,2024-01-01,2024-12-31,12,66,73,170,104.03301811218262
2025,268,2025-01-01,2025-12-31,12,89,95,214,132.72909998893738
2026,152,2026-01-01,2026-07-23,7,53,57,124,85.8158631324768
