Year,Model,Split,N,MAPE,MPE
2015,Full_100,Train,693,2.006334904052028,0.14119422021057063
2015,Full_100,Test,266,9.796103008657584,-7.944411071811233
2015,Full_train_stop,Train,693,0.5705326416299323,0.022708044773105913
2015,Full_train_stop,Test,266,14.980404548509375,-11.982411631748585
2016,Full_100,Train,959,2.3980275234393216,0.06887211241474987
2016,Full_100,Test,268,7.000573207645745,6.423679414278061
2016,Full_train_stop,Train,959,0.857675242282756,-0.04943433269034077
2016,Full_train_stop,Test,268,8.56377353245235,7.152098563524424
2017,Full_100,Train,1227,2.448413962532975,0.14482066737508947
2017,Full_100,Test,267,14.463183605417415,14.451880851610277
2017,Full_train_stop,Train,1227,1.1214119821102375,0.05827934362937777
2017,Full_train_stop,Test,267,17.4596504507287,17.436906616996424
2018,Full_100,Train,1494,2.6374583171705748,0.1054846797734836
2018,Full_100,Test,269,7.565461359906547,-6.9753392292397525
2018,Full_train_stop,Train,1494,1.0428794652933362,0.0204628690993486
2018,Full_train_stop,Test,269,9.142192495573635,-8.08645954699771
2019,Full_100,Train,1763,2.830922630619537,0.13972356916966944
2019,Full_100,Test,271,7.619765685173606,7.182758127148131
2019,Full_train_stop,Train,1763,1.1370782637622803,0.04709959492926002
2019,Full_train_stop,Test,271,8.507218880265006,8.002932358095359
2020,Full_100,Train,2034,2.9578590775719595,0.13990073332486183
2020,Full_100,Test,271,15.666736736850972,-11.304171156078553
2020,Full_train_stop,Train,2034,1.2981216358887466,0.031838324497096074
2020,Full_train_stop,Test,271,38.841878905240755,-38.6814243000825
2021,Full_100,Train,2305,3.405501537223336,0.20233539761270536
2021,Full_100,Test,272,6.967905686501721,-6.03001522088211
2021,Full_train_stop,Train,2305,1.5636117777762015,0.16136487822984802
2021,Full_train_stop,Test,272,35.832031869256255,-35.832031869256255
2022,Full_100,Train,2577,4.4677581481309625,0.38585240418851297
2022,Full_100,Test,274,31.962203826775493,-31.526966139885534
2022,Full_train_stop,Train,2577,1.6963736614690081,0.07631686317671962
2022,Full_train_stop,Test,274,42.42836637563293,-41.13507583252379
2023,Full_100,Train,2851,4.6707144386735475,0.4796996298609286
2023,Full_100,Test,273,13.03254300037008,-12.828877537895014
2023,Full_train_stop,Train,2851,1.803467525774486,0.1169593826525286
2023,Full_train_stop,Test,273,12.979313908850873,-12.734932848204197
2024,Full_100,Train,3124,4.8959141268877255,0.39781601091871344
2024,Full_100,Test,273,9.682320652040598,-9.273511964709998
2024,Full_train_stop,Train,3124,2.046897821520888,0.13395290390589193
2024,Full_train_stop,Test,273,5.199441996661433,-2.1300108779073943
2025,Full_100,Train,3397,5.091898560206867,0.1667642580081401
2025,Full_100,Test,268,16.80724172214502,4.7319097631103295
2025,Full_train_stop,Train,3397,2.0787774768191505,0.08454189185459321
2025,Full_train_stop,Test,268,15.032669908036953,3.857795014308136
2026,Full_100,Train,3665,5.943793057531749,0.5185001762562855
2026,Full_100,Test,152,6.022376266447848,-0.37703620690479916
2026,Full_train_stop,Train,3665,2.2759784053858416,0.06846715919058616
2026,Full_train_stop,Test,152,9.440974594420982,4.020421272300295
