Year,Model,Selected_epoch,Stop_epoch,Stop_reason,Selected_train_MSE
2015,Full_100,100,100,fixed_100,0.012846669182181358
2015,Full_train_stop,3630,3649,plateau_1pct_100epochs,0.0011689078528434038
2016,Full_100,100,100,fixed_100,0.013923759572207928
2016,Full_train_stop,3442,3451,plateau_1pct_100epochs,0.0014521129196509719
2017,Full_100,100,100,fixed_100,0.0192867424339056
2017,Full_train_stop,1886,1895,plateau_1pct_100epochs,0.0034872652031481266
2018,Full_100,100,100,fixed_100,0.022850988432765007
2018,Full_train_stop,2964,3014,plateau_1pct_100epochs,0.003430306911468506
2019,Full_100,100,100,fixed_100,0.03263463079929352
2019,Full_train_stop,3391,3420,plateau_1pct_100epochs,0.004603201989084482
2020,Full_100,100,100,fixed_100,0.03649652749300003
2020,Full_train_stop,2027,2078,plateau_1pct_100epochs,0.006668723654001951
2021,Full_100,100,100,fixed_100,0.02350165694952011
2021,Full_train_stop,2124,2124,plateau_1pct_100epochs,0.005029234103858471
2022,Full_100,100,100,fixed_100,0.013193465769290924
2022,Full_train_stop,3164,3187,plateau_1pct_100epochs,0.0020322862546890974
2023,Full_100,100,100,fixed_100,0.012597368098795414
2023,Full_train_stop,2605,2620,plateau_1pct_100epochs,0.0025259023532271385
2024,Full_100,100,100,fixed_100,0.01046743243932724
2024,Full_train_stop,2602,2607,plateau_1pct_100epochs,0.0022442410700023174
2025,Full_100,100,100,fixed_100,0.008646585047245026
2025,Full_train_stop,2261,2281,plateau_1pct_100epochs,0.0017504820134490728
2026,Full_100,100,100,fixed_100,0.01247373130172491
2026,Full_train_stop,2019,2044,plateau_1pct_100epochs,0.0012670557480305433
