Method,Month,Seed,Stage,Epoch,Weighted_MSE,Train_MSE,Train_MSE_standardized
H30,2020-01,785634,Base,1,0.14895631778549032,0.5451827939688322,1.0299597688951139
H30,2020-01,785634,Base,2,0.13223268570566687,0.5514018921205673,1.0417088940802042
H30,2020-01,785634,Base,3,0.12015917648006909,0.5564439315623564,1.0512343190123088
H30,2020-01,785634,Base,4,0.11158065142463733,0.5618409936991733,1.061430453102825
H30,2020-01,785634,Base,5,0.10771526330699613,0.5687609414084164,1.0745036238305603
H30,2020-01,785634,Base,6,0.10704082927302415,0.579546597272787,1.094879893486063
H30,2020-01,785634,Base,7,0.10513980378223645,0.5969145342175946,1.127691413805029
H30,2020-01,785634,Base,8,0.10023320456921636,0.621837414934922,1.174775739920586
H30,2020-01,785634,Base,9,0.09460985329851114,0.6541116432517522,1.2357482377803974
H30,2020-01,785634,Base,10,0.09022266587528396,0.6955587069449101,1.314050063544228
H30,2020-01,785634,Base,11,0.08686163662635879,0.7474700051776515,1.4121209295405903
H30,2020-01,785634,Base,12,0.0835319660011336,0.8088981207497723,1.5281709744397345
H30,2020-01,785634,Base,13,0.07763437779865878,0.8772600887007566,1.6573204587795434
H30,2020-01,785634,Base,14,0.0692106749523107,0.9561170328582841,1.8062970605336062
H30,2020-01,785634,Base,15,0.06046648314021793,1.045240774410679,1.9746697041090386
H30,2020-01,785634,Base,16,0.05236869977186199,1.153529249741722,2.179248378014036
H30,2020-01,785634,Base,17,0.044475625663180265,1.2796179715950324,2.417455291836302
H30,2020-01,785634,Base,18,0.03713771373200419,1.4258546216921995,2.693725687755445
H30,2020-01,785634,Base,19,0.03160273303835135,1.590033996506735,3.0038934935116015
H30,2020-01,785634,Base,20,0.027117362184604223,1.7603526542928052,3.325659637550798
H30,2020-01,785634,Base,21,0.02380509591065606,1.9274018775865078,3.6412491633411634
H30,2020-01,785634,Base,22,0.023317206297259255,2.0821157721932555,3.9335347763444575
H30,2020-01,785634,Base,23,0.023674891900116377,2.210032980923476,4.175196069031949
H30,2020-01,785634,Base,24,0.025492246833813976,2.2978641825312627,4.341126845113829
H30,2020-01,785634,Base,25,0.026349484030212304,2.3268002074997067,4.395792806547207
H30,2020-01,785634,Base,26,0.02621797233325433,2.3201512129511346,4.383231520746571
H30,2020-01,785634,Base,27,0.02502209921327132,2.2882632428134513,4.322988742146665
H30,2020-01,785634,Base,28,0.022863465966500837,2.2186995484416605,4.191568955294851
H30,2020-01,785634,Base,29,0.021094441446648238,2.1317805014082287,4.02736142236186
H30,2020-01,785634,Base,30,0.019514378816650562,2.0547268086443866,3.881791524578001
H30,2020-01,785634,Base,31,0.01950941054884012,1.9889408959431298,3.7575087258691804
H30,2020-01,785634,Base,32,0.019913221870454967,1.9285276083110163,3.6433758947231505
H30,2020-01,785634,Base,33,0.020791772106911768,1.8837318612328506,3.5587477336393483
