Method,Month,N,Effective_sample_size,Recent60_weight_share
H30,2020-01,2035,86.56555323674624,0.75
H30,2020-02,2059,86.56555323674621,0.7500000000000001
H30,2020-03,2080,86.56555323674623,0.7500000000000001
H30,2020-04,2102,86.56555323674623,0.7500000000000001
H30,2020-05,2125,86.56555323674621,0.7500000000000001
H30,2020-06,2148,86.56555323674623,0.7500000000000001
H30,2020-07,2171,86.56555323674618,0.7500000000000003
H30,2020-08,2194,86.56555323674624,0.75
H30,2020-09,2215,86.56555323674623,0.75
H30,2020-10,2239,86.5655532367462,0.7500000000000001
H30,2020-11,2262,86.56555323674621,0.7500000000000001
H30,2020-12,2283,86.56555323674618,0.7500000000000003
H120,2020-01,2035,346.24233442507085,0.29289551890815396
H120,2020-02,2059,346.24303837822544,0.292895221160155
H120,2020-03,2080,346.2435791673944,0.2928949924257385
H120,2020-04,2102,346.24407957446573,0.292894780772137
H120,2020-05,2125,346.24453899799335,0.2928945864535906
H120,2020-06,2148,346.24494126679986,0.29289441630972446
H120,2020-07,2171,346.2452934911807,0.29289426733300455
H120,2020-08,2194,346.2456018968923,0.2928941368900648
H120,2020-09,2215,346.24584985155053,0.29289403201560466
H120,2020-10,2239,346.24609873893866,0.29289392674678966
H120,2020-11,2262,346.2463069672108,0.29289383867517343
H120,2020-12,2283,346.24647438031184,0.2928937678666986
H240,2020-01,2035,688.6237776976459,0.15955069558395102
H240,2020-02,2059,688.8822857615671,0.1595206754164822
H240,2020-03,2080,689.0943112856745,0.15949607001187815
H240,2020-04,2102,689.3031269336624,0.15947185190595964
H240,2020-05,2125,689.5077635621965,0.15944813270742508
H240,2020-06,2148,689.6993034211487,0.1594259442933111
H240,2020-07,2171,689.8785814090593,0.15940518748533328
H240,2020-08,2194,690.0463796104675,0.15938576957883877
H240,2020-09,2215,690.1901829413729,0.15936913591448748
H240,2020-10,2239,690.3442299462962,0.15935132505697597
H240,2020-11,2262,690.4821980250757,0.15933537998519368
H240,2020-12,2283,690.6004321476851,0.15932172065044553
