Date,Month,Seed,Actual,Refit_prediction,No_refit_prediction,Refit_APE,No_refit_APE
2020-01-01,2020-01,785634,4.75,4.173442,3.908026,12.138065538908306,17.72576842105263
2020-01-02,2020-01,785634,4.75,4.1317816,3.8704972,13.015124672337583,18.515848421052635
2020-01-03,2020-01,785634,4.8,4.216447,3.98255,12.157356739044188,17.030208333333334
2020-01-06,2020-01,785634,4.86,4.25971,3.951453,12.351649484516667,18.69438271604939
2020-01-07,2020-01,785634,4.67,4.289288,3.9700985,8.152290278890147,14.987184154175583
2020-01-08,2020-01,785634,4.7,4.1119576,3.8636642,12.511541488322809,17.794378723404257
2020-01-09,2020-01,785634,4.51,4.147194,3.8982363,8.044480960279236,13.564605321507752
2020-01-10,2020-01,785634,4.54,4.1236405,3.8844502,9.170913276168218,14.43942290748899
2020-01-13,2020-01,785634,4.63,4.143923,3.9609506,10.498427520817863,14.45031101511879
2020-01-14,2020-01,785634,4.74,4.125049,3.9295027,12.973647379170997,17.099099156118147
2020-01-15,2020-01,785634,4.6,4.194472,3.9579432,8.815829650215473,13.957756521739126
2020-01-16,2020-01,785634,4.52,4.1961894,3.9587262,7.163951249249205,12.417561946902644
2020-01-17,2020-01,785634,4.62,4.1631155,3.923378,9.889274861389428,15.07839826839827
2020-01-19,2020-01,785634,4.54,4.13465,3.9368713,8.9284090218565,13.284773127753304
2020-01-20,2020-01,785634,4.54,4.123288,3.9242692,9.178675008765401,13.562352422907491
2020-01-21,2020-01,785634,4.36,4.1508627,3.949189,4.796727206728881,9.422270642201841
2020-01-22,2020-01,785634,4.43,4.140388,3.883881,6.537516660668774,12.327742663656876
2020-01-23,2020-01,785634,4.29,3.951989,3.7684824,7.879045793226549,12.156587412587415
2020-01-24,2020-01,785634,3.86,3.6996136,3.6329308,4.155088829870665,5.882621761658028
2020-01-27,2020-01,785634,3.86,3.6613107,3.6606174,5.1473918974090695,5.165352331606214
2020-01-28,2020-01,785634,3.86,3.6153235,3.6224282,6.338768301850152,6.154709844559585
2020-01-29,2020-01,785634,3.86,3.671335,3.65964,4.88769476895505,5.19067357512953
2020-01-30,2020-01,785634,3.86,3.6801705,3.6664906,4.658794403076168,5.013196891191709
2020-01-31,2020-01,785634,3.86,3.7158144,3.6788962,3.735379480945011,4.691808290155436
2020-02-03,2020-02,785634,3.86,3.7970042,3.5051782,1.6320149515576898,9.192274611398961
2020-02-04,2020-02,785634,3.98,3.755217,3.4727106,5.647812177188432,12.7459648241206
2020-02-05,2020-02,785634,4.03,3.8575537,3.4901922,4.279064008083302,13.39473449131514
2020-02-06,2020-02,785634,4.13,3.9483073,3.5465994,4.399339569682934,14.12592251815981
2020-02-07,2020-02,785634,4.1,3.905481,3.5675778,4.744363412624444,12.985907317073162
2020-02-10,2020-02,785634,4.2,3.878186,3.554779,7.662238393511094,15.362404761904767
2020-02-11,2020-02,785634,4.24,3.88758,3.5579903,8.311794388968995,16.085134433962267
2020-02-12,2020-02,785634,4.3,4.0305557,3.614804,6.266145927961479,15.93479069767442
2020-02-13,2020-02,785634,4.32,4.0275793,3.6321898,6.768997510274257,15.921532407407415
2020-02-14,2020-02,785634,4.54,4.028393,3.6211395,11.268881239029804,20.239218061674013
2020-02-16,2020-02,785634,4.61,4.140545,3.7536905,10.183407996585215,18.57504338394795
2020-02-17,2020-02,785634,4.61,4.1010685,3.7456143,11.039728921819927,18.750232104121476
2020-02-18,2020-02,785634,4.57,4.1516843,3.773819,9.153516756888298,17.42190371991248
2020-02-19,2020-02,785634,4.59,4.2036047,3.7249014,8.418198296706917,18.847464052287584
2020-02-20,2020-02,785634,4.59,4.2933326,3.8337667,6.463342554428995,16.475671023965138
2020-02-21,2020-02,785634,4.7,4.468675,3.9134765,4.921805604975278,16.7345425531915
2020-02-24,2020-02,785634,4.72,4.5526767,4.0141435,3.5449856418674224,14.95458686440677
2020-02-25,2020-02,785634,4.57,4.4066057,4.1016755,3.575367165863911,10.247800875273533
2020-02-26,2020-02,785634,4.36,4.1971436,3.9679635,3.7352395713876216,8.991662844036698
2020-02-27,2020-02,785634,4.41,4.2122006,4.0339828,4.485246221494786,8.5264671201814
2020-02-28,2020-02,785634,4.16,4.3839808,4.355078,5.384152669173017,4.689374999999991
2020-03-02,2020-03,785634,4.3,4.718831,4.228278,9.740257263183597,1.667953488372079
2020-03-03,2020-03,785634,4.3,4.7574277,4.2255197,10.637853311937912,1.7320999999999858
2020-03-04,2020-03,785634,4.33,4.91775,4.25853,13.573900271232903,1.6505773672055357
2020-03-05,2020-03,785634,4.35,5.15018,4.532256,18.394939378760334,4.189793103448291
2020-03-06,2020-03,785634,4.38,5.2230206,4.605539,19.247044602485555,5.149292237442931
2020-03-09,2020-03,785634,4.08,5.2142997,4.6748576,27.80146271574731,14.579843137254905
2020-03-10,2020-03,785634,4.04,4.8362827,4.3385057,19.70996856689453,7.388754950495043
2020-03-11,2020-03,785634,4.02,4.724537,4.3456097,17.525793426665512,8.099743781094535
2020-03-12,2020-03,785634,3.92,4.392604,4.2004023,12.056221280779159,7.153119897959195
2020-03-13,2020-03,785634,3.84,4.1117473,3.9903758,7.076751689116164,3.9160364583333322
2020-03-16,2020-03,785634,3.64,4.19001,3.9744906,15.110166780241238,9.189302197802201
2020-03-17,2020-03,785634,3.48,3.719329,3.7560267,6.877273526684991,7.931801724137933
2020-03-18,2020-03,785634,3.41,3.9277303,3.8123462,15.182707386632115,11.799008797653952
2020-03-19,2020-03,785634,3.36,3.5273216,3.7227125,4.979808841432848,10.795014880952388
2020-03-20,2020-03,785634,3.46,3.736279,3.8654716,7.984942507881651,11.718832369942191
2020-03-23,2020-03,785634,3.46,3.666803,3.6793334,5.976961940699231,6.339115606936416
2020-03-24,2020-03,785634,3.74,3.917325,3.6920066,4.741310690813518,1.2832459893048178
2020-03-25,2020-03,785634,3.8,3.8379238,3.6493206,0.9979938205919815,3.9652473684210534
2020-03-26,2020-03,785634,3.77,3.984022,3.752719,5.676973530088875,0.45838196286472416
2020-03-27,2020-03,785634,3.79,4.031438,3.7799137,6.370392449612981,0.26612928759895027
2020-03-30,2020-03,785634,3.69,3.9233425,3.8081279,6.323644074644179,3.201298102981035
2020-03-31,2020-03,785634,3.69,3.7893853,3.7820418,2.6933690719811265,2.4943577235772376
2020-04-01,2020-04,798291,3.73,3.5497017,3.7117581,4.833734834481819,0.48905898123324487
2020-04-02,2020-04,798291,3.7,3.710216,3.8383276,0.2761093345848242,3.7385837837837776
2020-04-03,2020-04,798291,3.7,3.6022193,3.7477899,2.642720454447983,1.2916189189189113
2020-04-06,2020-04,798291,3.97,3.7872572,3.8985488,4.60309333705182,1.7997783375314929
2020-04-07,2020-04,798291,3.97,3.8548014,3.8652308,2.9017275466726815,2.6390226700251946
2020-04-08,2020-04,798291,3.95,3.8190224,4.011626,3.315888175481487,1.560151898734165
2020-04-09,2020-04,798291,3.95,3.7415178,3.948964,5.278030830093581,0.026227848101266757
2020-04-10,2020-04,798291,3.97,3.7553647,3.8488145,5.406431827497127,3.0525314861461
2020-04-13,2020-04,798291,4.0,3.8670197,3.929262,3.3245086669921875,1.7684499999999992
2020-04-14,2020-04,798291,4.28,3.8018022,4.0036607,11.172846767389892,6.456525700934581
2020-04-15,2020-04,798291,4.26,3.7057214,3.9401662,13.01123525055361,7.507835680751165
2020-04-16,2020-04,798291,4.25,3.8718548,4.0485086,8.897534538717832,4.7409741176470614
2020-04-17,2020-04,798291,4.13,3.667101,3.8254676,11.208210499465606,7.37366585956416
2020-04-20,2020-04,798291,4.14,3.6535103,3.9010868,11.750958161653521,5.77085024154589
2020-04-21,2020-04,798291,4.09,3.497462,3.6538591,14.487480825783276,10.663591687041562
2020-04-22,2020-04,798291,4.06,3.5101883,3.7679245,13.542159085203265,7.193977832512308
2020-04-23,2020-04,798291,4.15,3.6979587,3.8916042,10.892561257603665,6.226404819277112
2020-04-24,2020-04,798291,4.23,3.6824703,3.8451135,12.943964027062103,9.09897163120568
2020-04-26,2020-04,798291,3.84,3.6746223,3.8289373,4.306711008151368,0.2880911458333242
2020-04-27,2020-04,798291,3.84,3.6087606,3.845553,6.02185949683189,0.14460937500000948
2020-04-28,2020-04,798291,3.97,3.6286259,3.906442,8.598844590655506,1.6009571788413097
2020-04-29,2020-04,798291,3.92,3.6838732,3.9375167,6.02364345472686,0.4468545918367417
2020-04-30,2020-04,798291,3.91,3.740155,3.9980829,4.343862362834807,2.252759590792835
2020-05-01,2020-05,741131,3.96,4.1445985,3.8080754,4.661577879780472,3.8364797979797998
2020-05-04,2020-05,741131,3.96,4.1106997,3.715906,3.8055468087244524,6.1639898989899
2020-05-05,2020-05,741131,3.96,3.9974937,3.6318917,0.9468117145576871,8.285563131313127
2020-05-06,2020-05,741131,3.96,3.9338627,3.616782,0.6600331778478132,8.667121212121208
2020-05-07,2020-05,741131,3.95,4.059717,3.8058195,2.7776500846766172,3.65013924050633
2020-05-08,2020-05,741131,4.01,3.9719942,3.763273,0.9477765185577264,6.152793017456357
2020-05-09,2020-05,741131,3.95,4.0093446,3.714505,1.5023943744128219,5.961898734177221
2020-05-11,2020-05,741131,3.95,3.9470892,3.6812098,0.07369125945659073,6.804815189873422
2020-05-12,2020-05,741131,3.88,4.1052427,3.7887764,5.805224979046697,2.3511237113401995
2020-05-13,2020-05,741131,3.88,4.0560746,3.7416875,4.538005651886933,3.564755154639177
2020-05-14,2020-05,741131,3.83,4.0055714,3.8215096,4.584108756042957,0.2216814621409895
