Period,Feature,100,200,300,400
07-17 to 08-03,A_500,0.18644705698086023,0.15643799934559263,0.1337831960881251,0.09647065607823437
07-17 to 08-03,Dollar Index,0.12936664096750733,0.14803601427955407,0.16986282492563332,0.17711588702114217
07-17 to 08-03,cn_10y_rate,0.005415175323935465,0.004630071967839707,0.004891957839861013,0.012616710329977854
07-17 to 08-03,us_10y_rate,0.03430763656326503,0.0088233070161497,-0.01388286159201812,-0.023141858845906412
07-17 to 08-03,brent,0.0013646675252068532,0.0014586888199224594,0.002332879743781292,0.003124948305488904
07-17 to 08-03,Copper Futures Price,0.00567696134338452,0.009565205026675596,0.007918428672817997,0.01570212373235691
07-17 to 08-03,Gold Futures Price,-0.05086027455655758,-0.13105926898653766,-0.1443365810516973,-0.1337004033892799
07-17 to 08-03,gold_5,0.0010566679330447767,0.05487671772535658,0.07466155571079203,0.11762778668936695
07-17 to 08-03,gold_20,0.3683000187750771,0.40553885584868826,0.424377112466899,0.42267642355060037
07-17 to 08-03,copper_5,0.01298013690968643,0.003749403524687951,-0.01614816029484402,-0.015664912825166393
07-17 to 08-03,copper_20,-0.06883609026098203,-0.12339452212148982,-0.11875460112890068,-0.12840554469162016
08-03 to 09-01,A_500,0.022538528717131526,0.00954230978383871,0.007058438138174529,0.013522503602867407
08-03 to 09-01,Dollar Index,0.07706030912233493,0.07596960361014944,0.07573696625893082,0.08253394589650212
08-03 to 09-01,cn_10y_rate,-0.06744459552465301,-0.10601170345226177,-0.11059871592232495,-0.1244126349547788
08-03 to 09-01,us_10y_rate,-0.05358716906792134,-0.012968972100824254,0.00936620374579155,0.01728439511364177
08-03 to 09-01,brent,0.013141062643152759,0.013658204770224306,0.021384587449894465,0.027727682615135946
08-03 to 09-01,Copper Futures Price,0.02894140250710162,0.0525126633703035,0.06763421425877092,0.07406294731114281
08-03 to 09-01,Gold Futures Price,-0.018076620043511078,-0.00853322063816631,0.018685352033108362,0.010381141231799413
08-03 to 09-01,gold_5,0.10505760620459689,0.15714486640682235,-0.011389062511344465,-0.003931592090334587
08-03 to 09-01,gold_20,-0.6266278201818597,-0.7071400124010162,-0.6844491329845169,-0.652998709877601
08-03 to 09-01,copper_5,-0.036121501793108114,-0.024123478116391314,-0.057713685010531646,-0.07813884230888513
08-03 to 09-01,copper_20,-0.045953259099659735,-0.08585788518579898,-0.009129873893569536,-0.008014586000973996
