Update_ID,Kind,Trigger_date,Effective_date,Selected_seed,Validation_MAPE,Candidate_train_end,Validation_start,Validation_end,Refit_train_end,Refit_N,Applied_end,Applied_N,Applied_MAPE
initial,Initial,,2020-01-01,785634,6.0255549114301905,2019-09-30,2019-10-01,2019-12-31,2019-12-31,2035,2020-01-09,7,11.195788457282278
update_01,Triggered,2020-01-09,2020-01-10,785634,6.75883832543513,2019-10-09,2019-10-10,2020-01-09,2020-01-09,2042,2020-02-11,24,3.805879171648494
update_02,Triggered,2020-02-11,2020-02-12,785634,10.214028215388735,2019-11-11,2019-11-12,2020-02-11,2020-02-11,2066,2020-02-26,12,6.449481777035023
update_03,Triggered,2020-02-26,2020-02-27,785634,12.301034377399684,2019-11-26,2019-11-27,2020-02-26,2020-02-26,2078,2020-03-10,9,16.30175911934475
update_04,Triggered,2020-03-10,2020-03-11,785634,11.998092745676272,2019-12-10,2019-12-11,2020-03-10,2020-03-10,2087,2020-03-23,9,3.7541692750839655
update_05,Triggered,2020-03-23,2020-03-24,798291,8.734532909317215,2019-12-23,2019-12-24,2020-03-23,2020-03-23,2096,2020-03-25,2,6.247269728134762
update_06,Triggered,2020-03-25,2020-03-26,798291,7.8599089555738315,2019-12-25,2019-12-26,2020-03-25,2020-03-25,2098,2020-03-27,2,2.9472627352299265
update_07,Triggered,2020-03-27,2020-03-30,798291,7.1191287340130405,2019-12-27,2019-12-30,2020-03-27,2020-03-27,2100,2020-04-06,6,2.2607078723567597
update_08,Triggered,2020-04-06,2020-04-07,42716,6.618998048227463,2020-01-06,2020-01-07,2020-04-06,2020-04-06,2106,2020-04-17,9,4.110064829658952
update_09,Triggered,2020-04-17,2020-04-20,741131,4.155202874656397,2020-01-19,2020-01-20,2020-04-17,2020-04-17,2115,2020-04-21,2,3.2906371607167113
update_10,Triggered,2020-04-21,2020-04-22,741131,4.217643676216915,2020-01-21,2020-01-22,2020-04-21,2020-04-21,2117,2020-04-24,3,3.1176370335914316
update_11,Triggered,2020-04-24,2020-04-26,741131,4.539215650337716,2020-01-24,2020-01-27,2020-04-24,2020-04-24,2120,2020-05-09,12,3.642290991909817
update_12,Triggered,2020-05-09,2020-05-11,741131,4.1502469878925945,2020-02-10,2020-02-11,2020-05-09,2020-05-09,2132,2020-05-21,9,2.785194412689856
update_13,Triggered,2020-05-21,2020-05-22,741131,3.3505421878085957,2020-02-21,2020-02-24,2020-05-21,2020-05-21,2141,2020-06-26,27,8.515664086719424
update_14,Triggered,2020-06-26,2020-06-28,565766,3.5628607246636546,2020-03-27,2020-03-30,2020-06-26,2020-06-26,2168,2020-06-29,2,0.6253113735731461
update_15,Triggered,2020-06-29,2020-06-30,965409,3.5139059226453906,2020-03-27,2020-03-30,2020-06-29,2020-06-29,2170,2020-07-03,4,2.9506129439427653
update_16,Triggered,2020-07-03,2020-07-06,965409,2.7963888340994885,2020-04-03,2020-04-06,2020-07-03,2020-07-03,2174,2020-07-24,15,12.220405987053667
update_17,Triggered,2020-07-24,2020-07-27,798291,3.821786141327306,2020-04-26,2020-04-27,2020-07-24,2020-07-24,2189,2020-08-10,11,5.717804804279085
update_18,Triggered,2020-08-10,2020-08-11,798291,4.418980431412855,2020-05-09,2020-05-11,2020-08-10,2020-08-10,2200,2020-08-11,1,0.8699515170323554
update_19,Triggered,2020-08-11,2020-08-12,798291,4.529493508174049,2020-05-11,2020-05-12,2020-08-11,2020-08-11,2201,2020-08-20,7,4.5160333016533105
update_20,Triggered,2020-08-20,2020-08-21,798291,5.261560531901092,2020-05-20,2020-05-21,2020-08-20,2020-08-20,2208,2020-09-01,8,8.062934060980515
update_21,Triggered,2020-09-01,2020-09-02,565766,5.84668851329251,2020-06-01,2020-06-02,2020-09-01,2020-09-01,2216,2020-09-08,6,11.889711945461961
update_22,Triggered,2020-09-08,2020-09-09,42716,5.493983948303772,2020-06-08,2020-06-09,2020-09-08,2020-09-08,2222,2020-09-27,14,7.46325065786683
update_23,Triggered,2020-09-27,2020-09-28,374583,8.836460298604525,2020-06-26,2020-06-28,2020-09-27,2020-09-27,2236,2020-10-02,5,1.766806502748881
update_24,Triggered,2020-10-02,2020-10-05,42716,9.457477891087098,2020-07-03,2020-07-06,2020-10-02,2020-10-02,2241,2020-10-23,16,3.3851588073901198
update_25,Triggered,2020-10-23,2020-10-26,42716,7.104865693461226,2020-07-24,2020-07-27,2020-10-23,2020-10-23,2257,2020-11-17,17,9.696564367833444
update_26,Triggered,2020-11-17,2020-11-18,550343,11.269262629228315,2020-08-17,2020-08-18,2020-11-17,2020-11-17,2274,2020-12-01,10,14.218805547807728
update_27,Triggered,2020-12-01,2020-12-02,965409,10.347399798977868,2020-09-01,2020-09-02,2020-12-01,2020-12-01,2284,2020-12-18,13,4.603781179824892
update_28,Triggered,2020-12-18,2020-12-21,965409,6.29526047563968,2020-09-18,2020-09-21,2020-12-18,2020-12-18,2297,2020-12-21,1,7.509800725089861
update_29,Triggered,2020-12-21,2020-12-22,965409,6.088279418241579,2020-09-21,2020-09-22,2020-12-21,2020-12-21,2298,2020-12-31,8,5.5406469268532526
