Model,Stage,Split,MAPE,MPE,N
01_base,Epoch100,Train,5.523382324490338,0.40570354868316283,3665
01_base,Epoch100,Test,11.45834334363982,10.456617215994024,152
01_base,Train_best,Train,2.4834495627841386,0.1503849298359656,3665
01_base,Train_best,Test,5.287319949211031,-0.2771650900188442,152
02_gold5,Epoch100,Train,6.42583471458323,0.46498637799755854,3665
02_gold5,Epoch100,Test,10.655216700556823,-3.542077446721364,152
02_gold5,Train_best,Train,2.760028766707037,0.1250785343805507,3665
02_gold5,Train_best,Test,21.216153429813442,-19.61479588809966,152
03_gold20,Epoch100,Train,6.710748428328573,0.6710260299979032,3665
03_gold20,Epoch100,Test,10.328481285163965,-6.376962073531125,152
03_gold20,Train_best,Train,2.868465481905431,0.24108128384174357,3665
03_gold20,Train_best,Test,15.241519492538128,-8.853753721104956,152
04_gold5_20,Epoch100,Train,6.117810746518922,0.29849874164461343,3665
04_gold5_20,Epoch100,Test,7.804058303604617,5.843123730521936,152
04_gold5_20,Train_best,Train,2.3194373058549784,0.016162314630986305,3665
04_gold5_20,Train_best,Test,7.351992358453053,-2.0976192161033054,152
05_copper5,Epoch100,Train,6.616184614068662,0.710301316092737,3665
05_copper5,Epoch100,Test,10.463971450897958,-2.733175331418445,152
05_copper5,Train_best,Train,2.6812068818464687,0.1260889854993727,3665
05_copper5,Train_best,Test,9.035807548885899,-4.144050167364952,152
06_copper20,Epoch100,Train,6.580398896657323,0.6592586860325754,3665
06_copper20,Epoch100,Test,10.572852546924029,-0.757675837352826,152
06_copper20,Train_best,Train,2.4805829429083985,0.08612958501349705,3665
06_copper20,Train_best,Test,10.052430374147654,-4.960613790498815,152
07_copper5_20,Epoch100,Train,6.591707496736355,0.5042507679099885,3665
07_copper5_20,Epoch100,Test,11.526677093567722,9.83692157834451,152
07_copper5_20,Train_best,Train,2.380040560196035,-0.00010663431946397152,3665
07_copper5_20,Train_best,Test,14.100112225188495,-5.088929013200981,152
08_both5,Epoch100,Train,6.201771261467963,0.5574084039710477,3665
08_both5,Epoch100,Test,6.715118583442421,2.489277282787743,152
08_both5,Train_best,Train,2.546513789346186,0.196106058167109,3665
08_both5,Train_best,Test,8.74081508574903,2.1525561784668157,152
09_both20,Epoch100,Train,6.591328386701254,0.8731714055568509,3665
09_both20,Epoch100,Test,6.513326027966497,-1.7445521010517535,152
09_both20,Train_best,Train,2.5001794964021418,0.10507755576738745,3665
09_both20,Train_best,Test,7.123618491359646,-0.07104730198392342,152
10_both5_20,Epoch100,Train,5.943793057531749,0.5185001762562855,3665
10_both5_20,Epoch100,Test,6.022376266447848,-0.37703620690479916,152
10_both5_20,Train_best,Train,2.2759784053858416,0.06846715919058616,3665
10_both5_20,Train_best,Test,9.440974594420982,4.020421272300295,152
