Model,Inputs,Best_epoch,Stop_epoch,Stop_reason,Best_train_MSE,Epoch100_train_MSE,Improvement_vs_100_percent
01_base,7,2441,2475,plateau_1pct_100epochs,0.0019416901050135493,0.009944903664290905,80.47552625385842
02_gold5,8,2183,2187,plateau_1pct_100epochs,0.0021022262517362833,0.020466741174459457,89.72857362187361
03_gold20,8,2007,2007,plateau_1pct_100epochs,0.0022040295880287886,0.019754765555262566,88.84304862103693
04_gold5_20,9,2793,2804,plateau_1pct_100epochs,0.0013593867188319564,0.008930063806474209,84.777413148533
05_copper5,8,2872,2895,plateau_1pct_100epochs,0.0018551998073235154,0.018125079572200775,89.76445979211636
06_copper20,8,2214,2259,plateau_1pct_100epochs,0.0017626873450353742,0.016825323924422264,89.52360529310938
07_copper5_20,9,3249,3265,plateau_1pct_100epochs,0.0014198016142472625,0.013245774433016777,89.2810977460991
08_both5,9,2210,2229,plateau_1pct_100epochs,0.0015625015366822481,0.012583310715854168,87.58274692594537
09_both20,9,2505,2535,plateau_1pct_100epochs,0.0016577555797994137,0.011661185882985592,85.7839880400313
10_both5_20,11,2019,2044,plateau_1pct_100epochs,0.0012670557480305433,0.01247373130172491,89.8422074567589
