Pattern,Train_count
000111001100011101000100000110000001111111000001,47
010111011100011101000100000110000001111111000001,40
010111101100011101000100000110000001111111000001,30
000111101100011101000100000110000001111111000001,20
000100101100010000001111000110000111110011001001,18
000111101101011101000100000110000001111111000001,18
110001111110111100100101001100010110110100000111,18
111011001100110100000101000100000000011101000111,14
000100101100010000001111000110000111110011000001,14
000111011100011101000100000110010001111111000101,13
001000100010100000100111100100000010010000001101,12
010111001100011101000100000110000001111111000001,12
010111011100011101000100000110000001111111000011,12
001000000111000001100101100100000000010000100111,12
000100101100100000001111000100010111110001001001,11
000111011100010101000100000110000001111111000001,11
001000100011100000100111100100000010010000001101,11
000111011100011101000100000110000001111111000001,11
000100101100010000001111000100000111110001001001,9
110011111110111100100101001100010110110100000111,9
011111101100011101000100000110000001111111000001,8
111001001111110000100101000100000010010100100111,7
000110101100011101000101000110000011111111000001,7
000111001100011101000100000110010001111111000101,7
001111001100010101000100000110000001111111000001,7
011001001100010101000100100100000001011100100011,7
001000100011100000111111100100010110110000001101,7
000110101100010000001111000110000111110011000001,7
000110101100011000001111000110000111110011001001,6
000111101100011101000100000110000001111111000101,6
010111001100011101000100000110000001111111000101,6
000111011100010101000100000110000001111111000011,6
111011010110100100100101001100010110110100000111,6
110001110010001100111111001100010110110100000110,6
111001001111010000100101000100000010010100100111,6
000110101100100000001111000100010111110011001001,6
110011011111011100100101001100010110110101000111,6
000100101100010000001111000100010111110001001001,6
000100101100011000001111000100000111110011001001,5
110011111111011100100101001100010110110100000111,5
001000000111000001100101100100000000010000000111,5
011000100010100000111111100100000110110000001101,5
000110101100010101000101000110000111111011000001,5
000110101100000000001111000110000111110011000001,5
010111101100011101000100000110000001111111000011,5
000110101100100000001111000110010111111011000101,5
001000100111000011111111100100000010010100100101,5
000100101100000000001111000110000111110011001001,5
000110101100010000001111000110000111111011000001,5
000100101100010001001111000110000111110011000001,5
111011101111011100000101001100010100110101000111,5
010111101100011101000100000110000001111111000101,5
000111001100011101000100000110000001111111000101,5
110001110010101000111111001100010110110100000110,5
001000000110100001100101100100000000010000100111,5
111001010110100100100101100100010010010100000111,5
000100101100000000001111000100010111110001001001,5
111001001111110000100101100100000010010100100111,5
011000001111000001100101100100000010010100100111,5
000110101101000000001111000110010111110011000101,4
000111011100111101000100000110010001111111000101,4
000110101100000000001111000110010111111011000101,4
010111101101011101000100000110000001111111000001,4
000111111100011101000100000110000001111111000001,4
111001001100110100000101000100000000011101000111,4
000111001101011101000100000110000001111111000101,4
001000100110000001100101100100000000010000100101,4
011110101100110101000100000110000001111111000001,4
001000100011100000111111100100000110110000001101,4
101011000111100000100101000100000000110101000101,4
001000100011100000110111100100000010110000001101,4
010111011100011101000100000110000001111111000101,4
110011110010001100111111001100010110110100000110,4
000110101100010101000101000110000111111111000001,4
001000000110000001100101100100000000010000000111,4
000100101100110000001111000100010111110001001001,4
001000100010100000100101100100000010010000001101,4
111011011101011100000101000100000000111111000111,4
110001111011011100100111001100010110110100000111,4
111001001110110000100101100100000010010100100111,4
110001111010111100100111001100010110110100000111,4
000110101100011000001111000110000111110011000001,4
001000100111000001100101100100000010010000000101,3
111000101010100000111111100100000010010100000101,3
111001100010010000100101101100000010010100100111,3
111111001101111100000100000100000000111101000111,3
001010100111000001100101100100000000010000100101,3
110011101111111100101111001100010110110100000111,3
001000100011000011100101100100000000010100100111,3
111001001100011100000101000100000000011100000011,3
110011111111011100100101001100010110110101000111,3
000111001101011101000100000110000001111111000001,3
000110101101010000001111000110000111110011000001,3
110001011110111100100101001100010110110100000111,3
110011110011001000111111001100010110110100000111,3
111011101110111100100101001100010110110101000111,3
111011001101011100000101000100000000011101000111,3
110011110011001000111111001100010110110101000101,3
110011110010001100111111001100010110110100000111,3
000111111101011101000100000110000001111111000001,3
000100101100000000001111000110000111110011000001,3
110001011110110100100101001100010010110100000111,3
110001110010101100111111001100010110110100000110,3
001010100110100000100101100100000000011000000101,3
111011001111110000100101100100000000010100100111,3
000100101100010000001111000100000111110011001001,3
010111011100010101000100000110000001111111000001,3
000110101100100000001111000110010111110011000001,3
111001001110100100100101100100000010010000000111,3
110011111111011100100101001100010110110101000101,3
111011011100011100000101000100000000111101000111,3
110011101111100100100101001100010110110100000111,3
111001001111100000100101100100000010010100000111,3
111001001111110000100101100100000010010100000111,3
111011101111100000110111100100010110110100000111,3
000100101101010000001111000110000111110011001001,3
111011101010100100100101001100010010010100100111,3
110001111110111100100101001100010110110101000111,3
101011000111100000100101100100000000110101000101,3
000100101100000000001111000100000111110001001001,3
011000100010100000100101100100000010010000001101,3
001000100011100000100111100100000010010000101101,3
000100101100001000001111000100000111110011001001,3
011000001111000001100101100100000010010100000101,3
111011111110011100100101001100010110110100000111,3
011011011111110000100101100100000000010100100111,3
011011011111010001100101100100000010010100000111,3
111001011100110100100101000100000000011101000111,3
