Date,Month,Epoch,Known,Status,Min_hamming,Train_pattern_frequency,Nearest_train_date,Nearest_hamming_ties,Nearest_input_distance,Near_zero_count,Active_H1,Active_H2,Actual,Predicted,APE,PE,Pattern
2020-01-01,2020-01,100,False,Unseen,1,0,2019-12-31,1,0.3702067850788396,0,7,16,4.75,4.146657,12.701958104183799,-12.701958104183799,111000100011100000111111100100010110110000001101
2020-01-02,2020-01,100,False,Unseen,1,0,2019-12-31,1,0.3103878952394759,0,7,16,4.75,4.1540318,12.546699925472861,-12.546699925472861,111000100011100000111111100100010110110000001101
2020-01-03,2020-01,100,False,Unseen,2,0,2019-12-24,8,1.4443180415597932,0,6,17,4.8,4.2771273,10.893181959788002,-10.893181959788002,011000100011100000111111101100010110110000001101
2020-01-06,2020-01,100,False,Unseen,4,0,2019-12-30,8,1.965569274273924,0,7,18,4.86,4.3922906,9.623650366386764,-9.623650366386764,011000100011101000111111101100010110110100001101
2020-01-07,2020-01,100,False,Unseen,4,0,2019-08-29,3,1.7364267647039895,0,6,18,4.67,4.378943,6.232484658218807,-6.232484658218807,011000100011001000111111101100010110110100001101
2020-01-08,2020-01,100,False,Unseen,1,0,2019-12-24,8,1.3300043367190688,0,6,16,4.7,4.152737,11.643890624350693,-11.643890624350693,011000100011100000111111100100010110110000001101
2020-01-09,2020-01,100,False,Unseen,1,0,2019-12-24,8,1.464578945005957,0,6,16,4.51,4.161719,7.722420280101289,-7.722420280101289,011000100011100000111111100100010110110000001101
2020-01-10,2020-01,100,False,Unseen,1,0,2019-12-24,8,1.3577368531030896,0,6,16,4.54,4.171134,8.12480187100986,-8.12480187100986,011000100011100000111111100100010110110000001101
2020-01-13,2020-01,100,False,Unseen,2,0,2019-12-20,8,1.7246438193295166,0,6,17,4.63,4.147483,10.42153624170027,-10.42153624170027,011000100011100000111111100100010110110100001101
2020-01-14,2020-01,100,False,Unseen,2,0,2019-12-20,8,1.8385683094562588,0,6,17,4.74,4.127685,12.918036497091949,-12.918036497091949,011000100011100000111111100100010110110100001101
2020-01-15,2020-01,100,False,Unseen,2,0,2019-12-24,8,1.6386148860190874,0,6,17,4.6,4.2105618,8.466048862623124,-8.466048862623124,011000100011100000111111100100010110110100001101
2020-01-16,2020-01,100,False,Unseen,1,0,2019-12-24,8,1.5845943043945139,0,6,16,4.52,4.132476,8.573543075966615,-8.573543075966615,011000100011100000111111100100010110110000001101
2020-01-17,2020-01,100,False,Unseen,1,0,2019-12-24,8,1.5004202732985104,0,6,16,4.62,4.1446786,10.288342149742757,-10.288342149742757,011000100011100000111111100100010110110000001101
2020-01-19,2020-01,100,False,Unseen,1,0,2019-12-24,8,1.3203012032687245,0,6,16,4.54,4.152685,8.531163757593095,-8.531163757593095,011000100011100000111111100100010110110000001101
2020-01-20,2020-01,100,False,Unseen,1,0,2019-12-24,8,1.3529032419444464,0,6,16,4.54,4.0883384,9.948493940714698,-9.948493940714698,011000100011100000111111100100010110110000001101
2020-01-21,2020-01,100,True,Seen,0,1,2019-08-23,1,1.7894834599882872,0,5,16,4.36,4.0181675,7.84019505212067,-7.84019505212067,011000100010100000111111100100010110110000001101
2020-01-22,2020-01,100,True,Seen,0,1,2019-08-23,1,1.6664376709216118,0,5,16,4.43,4.014943,9.369229732194812,-9.369229732194812,011000100010100000111111100100010110110000001101
2020-01-23,2020-01,100,True,Seen,0,1,2019-08-23,1,1.6251264914279557,0,5,16,4.29,3.911621,8.820021124708624,-8.820021124708624,011000100010100000111111100100010110110000001101
2020-01-24,2020-01,100,False,Unseen,1,0,2019-08-05,5,1.4003807304449518,0,5,14,3.86,3.748551,2.8872825938802897,-2.8872825938802897,011000100010100000101111100100000110110000001101
2020-01-27,2020-01,100,False,Unseen,2,0,2019-08-23,1,2.8044002327692783,0,5,14,3.86,3.7617152,2.5462390227638965,-2.5462390227638965,011000100010100000101111000100010110110000001101
2020-01-28,2020-01,100,False,Unseen,1,0,2019-08-05,5,1.7077644021179943,0,5,14,3.86,3.7035336,4.053532397808803,-4.053532397808803,011000100010100000101111100100000110110000001101
2020-01-29,2020-01,100,False,Unseen,1,0,2019-08-05,5,1.8668046919144505,0,5,14,3.86,3.7140985,3.779832810317911,-3.779832810317911,011000100010100000101111100100000110110000001101
2020-01-30,2020-01,100,False,Unseen,1,0,2019-08-05,5,2.104910982910533,0,5,14,3.86,3.64412,5.59274668520596,-5.59274668520596,011000100010100000101111100100000110110000001101
2020-01-31,2020-01,100,False,Unseen,1,0,2019-08-05,5,2.5021522001690415,0,5,14,3.86,3.6364944,5.7903005669154,-5.7903005669154,011000100010100000101111100100000110110000001101
2020-02-03,2020-02,100,False,Unseen,2,0,2019-12-05,4,2.365419388685962,0,4,15,3.86,3.5274343,8.615690438858582,-8.615690438858582,001000100010100000101111100100000110110000101101
2020-02-04,2020-02,100,False,Unseen,1,0,2019-08-22,2,1.9663438994596818,0,5,13,3.98,3.5294893,11.31936485443882,-11.31936485443882,011000100010100000101111100100000010010000101101
