Seed,Epochs,Model,Split,N,MAPE
42,100,Base,Train,2035,2.7656982058054265
42,100,Base,Test,271,12.794920365322339
42,100,Stacking,Train,2035,2.7997430950011317
42,100,Stacking,Test,271,12.936160033208195
42,200,Base,Train,2035,2.3693496923576616
42,200,Base,Test,271,13.313182071722652
42,200,Stacking,Train,2035,2.2914222420437222
42,200,Stacking,Test,271,13.304963550524514
42,400,Base,Train,2035,2.1186574959456475
42,400,Base,Test,271,12.593230478866882
42,400,Stacking,Train,2035,1.9680437810912652
42,400,Stacking,Test,271,12.528485913766602
42,800,Base,Train,2035,1.9352400824833365
42,800,Base,Test,271,17.640290517237275
42,800,Stacking,Train,2035,1.60511317610307
42,800,Stacking,Test,271,17.829182956605194
7,100,Base,Train,2035,2.916634082742734
7,100,Base,Test,271,10.537793093956182
7,100,Stacking,Train,2035,2.7379846147875364
7,100,Stacking,Test,271,10.479996647656797
7,200,Base,Train,2035,2.5113198652157296
7,200,Base,Test,271,9.672746826453572
7,200,Stacking,Train,2035,2.326374367186513
7,200,Stacking,Test,271,9.784477310049184
7,400,Base,Train,2035,2.087643572932256
7,400,Base,Test,271,15.590732520371112
7,400,Stacking,Train,2035,1.8856723706912588
7,400,Stacking,Test,271,15.674123924368862
7,800,Base,Train,2035,1.874745065534371
7,800,Base,Test,271,25.035871371358013
7,800,Stacking,Train,2035,1.6987717511114764
7,800,Stacking,Test,271,24.862010948141997
123,100,Base,Train,2035,2.8892535083682103
123,100,Base,Test,271,16.138526349286156
123,100,Stacking,Train,2035,2.727096675976595
123,100,Stacking,Test,271,15.917236219780232
123,200,Base,Train,2035,2.673101473937008
123,200,Base,Test,271,15.62069359870397
123,200,Stacking,Train,2035,2.261090916347511
123,200,Stacking,Test,271,15.829761045978373
123,400,Base,Train,2035,2.1173550284626006
123,400,Base,Test,271,19.29062165256271
123,400,Stacking,Train,2035,1.9201863248192534
123,400,Stacking,Test,271,19.382023297510194
123,800,Base,Train,2035,1.835295259231929
123,800,Base,Test,271,25.664829469751204
123,800,Stacking,Train,2035,1.612240351765322
123,800,Stacking,Test,271,25.806694498503507
