Month,Seed,Epochs,Model,APE
2020-01,7,100,Base,10.069028875676425
2020-01,7,100,Stacking,7.944257284413514
2020-01,7,200,Base,7.104230082964642
2020-01,7,200,Stacking,5.345535562827315
2020-01,7,400,Base,5.730275711437478
2020-01,7,400,Stacking,5.464806847706271
2020-01,7,800,Base,7.810351869933506
2020-01,7,800,Stacking,7.633424516643679
2020-01,42,100,Base,6.428044360969935
2020-01,42,100,Stacking,5.6269490391662025
2020-01,42,200,Base,4.369823407844545
2020-01,42,200,Stacking,4.567695523087335
2020-01,42,400,Base,5.320188423565382
2020-01,42,400,Stacking,6.232448546897438
2020-01,42,800,Base,8.028697919517613
2020-01,42,800,Stacking,8.611565277400736
2020-01,123,100,Base,12.787873046361886
2020-01,123,100,Stacking,11.853457334236177
2020-01,123,200,Base,8.746197008156232
2020-01,123,200,Stacking,8.19083966312088
2020-01,123,400,Base,6.725283630313581
2020-01,123,400,Stacking,6.362674190148776
2020-01,123,800,Base,6.336040690956612
2020-01,123,800,Stacking,6.0497436935153495
2020-02,7,100,Base,9.405320615252187
2020-02,7,100,Stacking,8.933598179437999
2020-02,7,200,Base,8.865752927947007
2020-02,7,200,Stacking,8.413456388608436
2020-02,7,400,Base,13.4729224287125
2020-02,7,400,Stacking,12.626133215854926
2020-02,7,800,Base,17.841152520322197
2020-02,7,800,Stacking,17.482870947580437
2020-02,42,100,Base,8.792838123093881
2020-02,42,100,Stacking,8.105878434942367
2020-02,42,200,Base,7.332889950626504
2020-02,42,200,Stacking,7.1101118306495
2020-02,42,400,Base,6.830804753544906
2020-02,42,400,Stacking,7.217593869570769
2020-02,42,800,Base,11.184450923383269
2020-02,42,800,Stacking,12.356038829589924
2020-02,123,100,Base,12.68309601870465
2020-02,123,100,Stacking,12.356681623464665
2020-02,123,200,Base,13.571339928762644
2020-02,123,200,Stacking,13.648478991321847
2020-02,123,400,Base,14.991957103519521
2020-02,123,400,Stacking,15.364340893268407
2020-02,123,800,Base,17.84362892326573
2020-02,123,800,Stacking,18.085091509116634
2020-03,7,100,Base,9.662212701576818
2020-03,7,100,Stacking,12.006930825682188
2020-03,7,200,Base,10.757609108195387
2020-03,7,200,Stacking,13.086540280671704
2020-03,7,400,Base,8.787052547242006
2020-03,7,400,Stacking,8.994114846557073
2020-03,7,800,Base,11.852005540321867
2020-03,7,800,Stacking,11.633542076790748
2020-03,42,100,Base,14.638129488662473
2020-03,42,100,Stacking,16.707103089319364
2020-03,42,200,Base,18.080261842694696
2020-03,42,200,Stacking,18.83896592544021
2020-03,42,400,Base,18.809012897343944
2020-03,42,400,Stacking,19.414445355642716
2020-03,42,800,Base,25.561046417796504
2020-03,42,800,Stacking,25.91786920597754
2020-03,123,100,Base,3.914526293596593
2020-03,123,100,Stacking,4.854254304244349
2020-03,123,200,Base,6.689315812947518
2020-03,123,200,Stacking,6.535642846641919
2020-03,123,400,Base,10.11716082759472
