Model,Seed,Split,100,200,delta_200_minus_100_pp
Base,0,Test,13.513791961565847,12.719200648874793,-0.794591312691054
Base,0,Train,3.18230929794033,2.637833143616342,-0.5444761543239878
Base,1,Test,14.941057692324925,17.948880015539803,3.007822323214878
Base,1,Train,3.017327568777827,2.582499877360237,-0.43482769141759015
Base,7,Test,10.630306580250302,9.645994131700881,-0.9843124485494208
Base,7,Train,2.9150915367148875,2.5062992239652684,-0.40879231274961914
Base,21,Test,11.013948859890498,11.39025974066946,0.3763108807789628
Base,21,Train,2.8296242767997932,2.442666229081699,-0.3869580477180943
Base,42,Test,13.211029900403837,12.40719685738471,-0.803833043019127
Base,42,Train,2.785545104315281,2.392220964340436,-0.39332413997484483
Base,100,Test,15.696858119872767,15.616079188350925,-0.08077893152184146
Base,100,Train,2.9423921303896394,2.492564826438739,-0.4498273039509004
Base,123,Test,16.243884064940545,14.957557606407972,-1.2863264585325727
Base,123,Train,2.891300079909564,2.5045458269966714,-0.38675425291289267
Base,999,Test,10.05546526758828,9.21203558687894,-0.84342968070934
Base,999,Train,2.8502714653278303,2.5029995885662153,-0.347271876761615
Base,2024,Test,16.18628323907775,15.591610900281932,-0.5946723387958173
Base,2024,Train,3.0649267961693476,2.4053128881836217,-0.659613907985726
Base,2025,Test,13.058727718444505,14.432888924093398,1.3741612056488925
Base,2025,Train,2.7289012951316844,2.2571438403557833,-0.47175745477590114
DirectReturns,0,Test,19.805957625214404,19.203688870789502,-0.6022687544249017
DirectReturns,0,Train,2.7302998351271968,2.1805156902560485,-0.5497841448711482
DirectReturns,1,Test,19.573896053957935,22.20198328365966,2.628087229701727
DirectReturns,1,Train,2.817912418088866,2.286239529228091,-0.5316728888607751
DirectReturns,7,Test,20.242907635913042,25.53998935714314,5.2970817212300965
DirectReturns,7,Train,2.8279619615676452,2.15457838548954,-0.6733835760781051
DirectReturns,21,Test,11.725488242223431,10.987054505336467,-0.7384337368869645
DirectReturns,21,Train,2.450685297771978,1.9976267216070411,-0.45305857616493705
DirectReturns,42,Test,15.66673673685097,19.6736201428843,4.00688340603333
DirectReturns,42,Train,2.9578590829243168,2.2608645108571053,-0.6969945720672115
DirectReturns,100,Test,20.287541923695578,19.711378599808658,-0.5761633238869202
DirectReturns,100,Train,2.6764766320133275,2.0528190043756376,-0.62365762763769
DirectReturns,123,Test,15.128030055597645,12.737289266474027,-2.390740789123617
DirectReturns,123,Train,2.7500971790062017,2.282532892478291,-0.4675642865279106
DirectReturns,999,Test,17.88883513861012,18.833632737999586,0.9447975993894673
DirectReturns,999,Train,2.715564839059715,2.110688836123658,-0.6048760029360571
DirectReturns,2024,Test,17.709144829483456,17.69620725945807,-0.01293757002538598
DirectReturns,2024,Train,2.664041574458602,2.2242760121631595,-0.4397655622954426
DirectReturns,2025,Test,14.489179268920694,14.973775456237707,0.48459618731701326
DirectReturns,2025,Train,2.7031272928587193,2.1429518450581932,-0.5601754478005261
Stacking,0,Test,13.935275840342523,12.878231988712537,-1.0570438516299863
Stacking,0,Train,3.006197674972911,2.3779963331166325,-0.6282013418562786
Stacking,1,Test,14.719575024041612,17.76907000970323,3.049494985661619
Stacking,1,Train,2.8571154670431063,2.3716124035570827,-0.48550306348602357
Stacking,7,Test,10.586170181405313,9.91820961476821,-0.6679605666371025
Stacking,7,Train,2.739069429775623,2.3474837052896094,-0.3915857244860135
Stacking,21,Test,11.052819127462723,11.473741805141461,0.4209226776787389
Stacking,21,Train,2.7611400468288076,2.3020779299272887,-0.459062116901519
Stacking,42,Test,13.331717832824532,12.34250045915119,-0.989217373673343
Stacking,42,Train,2.821393150739512,2.3135810643963506,-0.5078120863431614
Stacking,100,Test,15.84500364442078,15.710239699831972,-0.13476394458880847
Stacking,100,Train,2.880799881051408,2.391029251002647,-0.48977063004876076
Stacking,123,Test,16.059216085552396,15.087375560939527,-0.971840524612869
Stacking,123,Train,2.731030228643948,2.22882495251317,-0.5022052761307778
Stacking,999,Test,10.270414218279411,9.200389789848387,-1.070024428431024
Stacking,999,Train,2.7098607738809144,2.3118976344944073,-0.39796313938650707
Stacking,2024,Test,15.868703142969512,15.477334222693528,-0.39136892027598336
Stacking,2024,Train,2.8883117083228367,2.2674136262524383,-0.6208980820703984
Stacking,2025,Test,13.08795230449051,14.317191725586023,1.229239421095512
Stacking,2025,Train,2.6905523763535157,2.1590066662409733,-0.5315457101125425
