,,,MAPE,MAPE,MAPE,MAPE,MSE,MSE,MSE,MSE
,,,mean,std,min,max,mean,std,min,max
Model,Budget,Split,,,,,,,,
Base,100,Test,13.455135340435925,2.313884352665334,10.05546526758828,16.243884064940545,1.3804591754445572,0.5783266603389231,0.6574578302503318,2.378044638357439
Base,100,Train,2.9207689551476186,0.13672866339892234,2.7289012951316844,3.18230929794033,0.020133858585118253,0.0015030947538179527,0.018172576197089906,0.023026927281616982
Base,200,Test,13.39217036001828,2.8090827808788745,9.21203558687894,17.948880015539803,1.3181502405281675,0.7140313741350963,0.5101242617491913,2.528241415232614
Base,200,Train,2.4724086408905013,0.1060210899398518,2.2571438403557833,2.637833143616342,0.015053022328027946,0.0010983654819583324,0.013530304547715083,0.016759033710240817
DirectReturns,100,Test,17.251771751046725,2.9037964135269445,11.725488242223431,20.287541923695578,2.88402762660309,0.8518280946314268,1.3612917794361499,3.788950912112723
DirectReturns,100,Train,2.729402611287657,0.13157499026690933,2.450685297771978,2.9578590829243168,0.01698599233348321,0.0015428142433001975,0.014647593016287883,0.019320403673702354
DirectReturns,200,Test,18.155861947979112,4.3239213026314856,10.987054505336467,25.53998935714314,3.036256983958604,1.3181590584771365,1.1938507214441572,5.834548168515215
DirectReturns,200,Train,2.1693093427636763,0.097419203229822,1.9976267216070411,2.286239529228091,0.010849996077283739,0.0009700180905530426,0.009232292577006791,0.012448605159004816
Stacking,100,Test,13.47568474017893,2.2220542189994785,10.270414218279411,16.059216085552396,1.3565908930011576,0.5432206889318264,0.6713649748926623,2.2565934911493772
Stacking,100,Train,2.8085470737612583,0.09995426768767618,2.6905523763535157,3.006197674972911,0.01791180257171342,0.001139417636948241,0.016957117638313195,0.02051609576662778
Stacking,200,Test,13.417428487637608,2.7342954625791416,9.200389789848387,17.76907000970323,1.3125969546419534,0.6917862301250383,0.5086570218435975,2.5087711163242665
Stacking,200,Train,2.30709235667906,0.07271479446677055,2.1590066662409733,2.391029251002647,0.01265729465152248,0.0006978664408161472,0.011728501227221017,0.013407405868902383
