Model,Seed,Split,100,200,delta_200_minus_100_pp
Base,0,Test,13.513791961565847,12.719200648874793,-0.794591312691054
Base,0,Train,3.18230929794033,2.637833143616342,-0.5444761543239878
Base,1,Test,14.941057692324925,17.948880015539803,3.007822323214878
Base,1,Train,3.017327568777827,2.582499877360237,-0.43482769141759015
Base,7,Test,10.630306580250302,9.645994131700881,-0.9843124485494208
Base,7,Train,2.9150915367148875,2.5062992239652684,-0.40879231274961914
Base,21,Test,11.013948859890498,11.39025974066946,0.3763108807789628
Base,21,Train,2.8296242767997932,2.442666229081699,-0.3869580477180943
Base,42,Test,13.211029900403837,12.40719685738471,-0.803833043019127
Base,42,Train,2.785545104315281,2.392220964340436,-0.39332413997484483
Base,100,Test,15.696858119872767,15.616079188350925,-0.08077893152184146
Base,100,Train,2.9423921303896394,2.492564826438739,-0.4498273039509004
Base,123,Test,16.243884064940545,14.957557606407972,-1.2863264585325727
Base,123,Train,2.891300079909564,2.5045458269966714,-0.38675425291289267
Base,999,Test,10.05546526758828,9.21203558687894,-0.84342968070934
Base,999,Train,2.8502714653278303,2.5029995885662153,-0.347271876761615
Base,2024,Test,16.18628323907775,15.591610900281932,-0.5946723387958173
Base,2024,Train,3.0649267961693476,2.4053128881836217,-0.659613907985726
Base,2025,Test,13.058727718444505,14.432888924093398,1.3741612056488925
Base,2025,Train,2.7289012951316844,2.2571438403557833,-0.47175745477590114
DirectReturns,0,Test,16.657778045847408,12.758662809326218,-3.8991152365211903
DirectReturns,0,Train,2.9524327010168947,2.2353052898490047,-0.71712741116789
DirectReturns,1,Test,14.870247534257091,14.80163934080416,-0.06860819345293123
DirectReturns,1,Train,2.798258762717147,2.3091684230347376,-0.48909033968240934
DirectReturns,7,Test,18.64305722928183,18.589950418777306,-0.053106810504523594
DirectReturns,7,Train,2.9149633202024594,2.3897235233154492,-0.5252397968870102
DirectReturns,21,Test,14.51768843425599,14.916059291947716,0.39837085769172553
DirectReturns,21,Train,2.673457133709711,2.1132433407760596,-0.5602137929336513
DirectReturns,42,Test,13.998160349258946,14.972651316958938,0.9744909676999924
DirectReturns,42,Train,3.0182498931166486,2.468420804575445,-0.5498290885412036
DirectReturns,100,Test,17.476879876833472,19.098805397392255,1.6219255205587828
DirectReturns,100,Train,2.5748445062825973,2.095999706161648,-0.4788448001209491
DirectReturns,123,Test,15.368347539153731,14.234510002538709,-1.1338375366150224
DirectReturns,123,Train,2.6868744815279086,2.298907900007157,-0.3879665815207516
DirectReturns,999,Test,18.015794881796463,22.74290085888199,4.727105977085525
DirectReturns,999,Train,2.784823319556059,2.131016913809289,-0.6538064057467703
DirectReturns,2024,Test,15.254999425054647,13.707740284297607,-1.5472591407570402
DirectReturns,2024,Train,2.687362212166313,2.314469287853001,-0.37289292431331234
DirectReturns,2025,Test,14.423813151512274,12.879211364532548,-1.544601786979726
DirectReturns,2025,Train,2.7897228888906347,2.319792316238336,-0.46993057265229865
Stacking,0,Test,13.935275840342523,12.878231988712537,-1.0570438516299863
Stacking,0,Train,3.006197674972911,2.3779963331166325,-0.6282013418562786
Stacking,1,Test,14.719575024041612,17.76907000970323,3.049494985661619
Stacking,1,Train,2.8571154670431063,2.3716124035570827,-0.48550306348602357
Stacking,7,Test,10.586170181405313,9.91820961476821,-0.6679605666371025
Stacking,7,Train,2.739069429775623,2.3474837052896094,-0.3915857244860135
Stacking,21,Test,11.052819127462723,11.473741805141461,0.4209226776787389
Stacking,21,Train,2.7611400468288076,2.3020779299272887,-0.459062116901519
Stacking,42,Test,13.331717832824532,12.34250045915119,-0.989217373673343
Stacking,42,Train,2.821393150739512,2.3135810643963506,-0.5078120863431614
Stacking,100,Test,15.84500364442078,15.710239699831972,-0.13476394458880847
Stacking,100,Train,2.880799881051408,2.391029251002647,-0.48977063004876076
Stacking,123,Test,16.059216085552396,15.087375560939527,-0.971840524612869
Stacking,123,Train,2.731030228643948,2.22882495251317,-0.5022052761307778
Stacking,999,Test,10.270414218279411,9.200389789848387,-1.070024428431024
Stacking,999,Train,2.7098607738809144,2.3118976344944073,-0.39796313938650707
Stacking,2024,Test,15.868703142969512,15.477334222693528,-0.39136892027598336
Stacking,2024,Train,2.8883117083228367,2.2674136262524383,-0.6208980820703984
Stacking,2025,Test,13.08795230449051,14.317191725586023,1.229239421095512
Stacking,2025,Train,2.6905523763535157,2.1590066662409733,-0.5315457101125425
