,,,MAPE,MAPE,MAPE,MAPE,MSE,MSE,MSE,MSE
,,,mean,std,min,max,mean,std,min,max
Model,Budget,Split,,,,,,,,
Base,100,Test,13.455135340435925,2.313884352665334,10.05546526758828,16.243884064940545,1.3804591754445572,0.5783266603389231,0.6574578302503318,2.378044638357439
Base,100,Train,2.9207689551476186,0.13672866339892234,2.7289012951316844,3.18230929794033,0.020133858585118253,0.0015030947538179527,0.018172576197089906,0.023026927281616982
Base,200,Test,13.39217036001828,2.8090827808788745,9.21203558687894,17.948880015539803,1.3181502405281675,0.7140313741350963,0.5101242617491913,2.528241415232614
Base,200,Train,2.4724086408905013,0.1060210899398518,2.2571438403557833,2.637833143616342,0.015053022328027946,0.0010983654819583324,0.013530304547715083,0.016759033710240817
DirectReturns,100,Test,15.922676646725185,1.6506754008146367,13.998160349258946,18.64305722928183,2.415667332023212,0.62148782268491,1.6872456096774584,3.3573239464995392
DirectReturns,100,Train,2.7880989219186376,0.13952326873591275,2.5748445062825973,3.0182498931166486,0.01812399456324521,0.0018607942497413075,0.014792611775186522,0.020646652032057282
DirectReturns,200,Test,15.870213108545745,3.229931935201543,12.758662809326218,22.74290085888199,2.453469746734902,1.1244893310851591,1.3970727599856916,5.220931799308209
DirectReturns,200,Train,2.2676047505620125,0.12285608722564291,2.095999706161648,2.468420804575445,0.012149240985066988,0.001406551420428526,0.009748410769895716,0.01414963297681831
Stacking,100,Test,13.47568474017893,2.2220542189994785,10.270414218279411,16.059216085552396,1.3565908930011576,0.5432206889318264,0.6713649748926623,2.2565934911493772
Stacking,100,Train,2.8085470737612583,0.09995426768767618,2.6905523763535157,3.006197674972911,0.01791180257171342,0.001139417636948241,0.016957117638313195,0.02051609576662778
Stacking,200,Test,13.417428487637608,2.7342954625791416,9.200389789848387,17.76907000970323,1.3125969546419534,0.6917862301250383,0.5086570218435975,2.5087711163242665
Stacking,200,Train,2.30709235667906,0.07271479446677055,2.1590066662409733,2.391029251002647,0.01265729465152248,0.0006978664408161472,0.011728501227221017,0.013407405868902383
