Year,Split,Model,N,Start,End,Epochs,MSE,RMSE,R2
2015,Train,Without_time,713,2012-05-09,2014-12-31,100,0.010439538954201959,0.10217406204219327,0.9772692709831965
2015,Test,Without_time,266,2015-01-01,2015-12-31,100,0.12143474306441387,0.34847488154013895,0.8620753697360888
2015,Train,With_time,713,2012-05-09,2014-12-31,100,0.0030203166449305164,0.05495740755285421,0.9934236560156497
2015,Test,With_time,266,2015-01-01,2015-12-31,100,0.1312380830928131,0.36226797138694594,0.8509408128980087
2016,Train,Without_time,979,2012-05-09,2015-12-31,100,0.017817550118710865,0.13348239628771602,0.9797671937683191
2016,Test,Without_time,268,2016-01-01,2016-12-31,100,0.046955411533302835,0.21669197385529265,-0.10292488497878427
2016,Train,With_time,979,2012-05-09,2015-12-31,100,0.01268305125982903,0.11261905371574132,0.9855976990744021
2016,Test,With_time,268,2016-01-01,2016-12-31,100,0.03639565750713157,0.190776459520381,0.145110753819928
2017,Train,Without_time,1247,2012-05-09,2016-12-31,100,0.020174693280587467,0.14203764740584612,0.9712024228066475
2017,Test,Without_time,267,2017-01-02,2017-12-31,100,0.4233907450555132,0.6506848277434424,-4.242088711452766
2017,Train,With_time,1247,2012-05-09,2016-12-31,100,0.013434255450653737,0.11590623559866715,0.9808237972694397
2017,Test,With_time,267,2017-01-02,2017-12-31,100,0.21466389733253005,0.4633183541934531,-1.6577982776070561
2018,Train,Without_time,1514,2012-05-09,2017-12-31,100,0.020204548987555335,0.1421427064170207,0.9666757082569559
2018,Test,Without_time,269,2018-01-01,2018-12-31,100,0.17934648385531873,0.4234931922183859,0.4220304251777487
2018,Train,With_time,1514,2012-05-09,2017-12-31,100,0.01584337562526019,0.12587047161769194,0.9738687920301514
2018,Test,With_time,269,2018-01-01,2018-12-31,100,0.13783434825721264,0.3712604857202186,0.5558091915401621
2019,Train,Without_time,1783,2012-05-09,2018-12-31,100,0.01850717078009865,0.1360410628453727,0.968994790355972
2019,Test,Without_time,271,2019-01-01,2019-12-31,100,0.107802394434861,0.32833274956187514,-0.3421140331187995
2019,Train,With_time,1783,2012-05-09,2018-12-31,100,0.015860278919030937,0.12593759930628715,0.9734291492340846
2019,Test,With_time,271,2019-01-01,2019-12-31,100,0.053791088830759635,0.23192905991005017,0.3303138065256509
2020,Train,Without_time,2054,2012-05-09,2019-12-31,100,0.018709555521231883,0.13678287729548566,0.9646193068392201
2020,Test,Without_time,271,2020-01-01,2020-12-31,100,1.4360915891150599,1.1983703889512038,0.5185312456789376
2020,Train,With_time,2054,2012-05-09,2019-12-31,100,0.016750252933412257,0.1294227682187808,0.9683244447613959
2020,Test,With_time,271,2020-01-01,2020-12-31,100,1.3820777784404115,1.1756180410492225,0.5366400921750597
2021,Train,Without_time,2325,2012-05-09,2020-12-31,100,0.030226770950043346,0.17385847966102588,0.9763754194802791
2021,Test,Without_time,272,2021-01-01,2021-12-31,100,0.8270322375947482,0.90941312811876,-0.0839461319609136
2021,Train,With_time,2325,2012-05-09,2020-12-31,100,0.03125837821319991,0.17680039087400207,0.9755691378932233
2021,Test,With_time,272,2021-01-01,2021-12-31,100,1.3941165007494347,1.1807271068072567,-0.827192604831333
2022,Train,Without_time,2597,2012-05-09,2021-12-31,100,0.08909288989975243,0.29848432102834555,0.9848320527667809
2022,Test,Without_time,274,2022-01-03,2022-12-31,100,4.0671181795366556,2.016709741022901,-2.3124797948385094
2022,Train,With_time,2597,2012-05-09,2021-12-31,100,0.07638917417661306,0.27638591530071327,0.9869948436468523
2022,Test,With_time,274,2022-01-03,2022-12-31,100,17.91811835643388,4.232979843612993,-13.593479313151908
2023,Train,Without_time,2871,2012-05-09,2022-12-31,100,0.1062311521773353,0.3259312077376686,0.9864921333793099
2023,Test,Without_time,273,2023-01-02,2023-12-31,100,6.761110144494514,2.600213480561647,-13.77267431614831
2023,Train,With_time,2871,2012-05-09,2022-12-31,100,0.09776556282492084,0.31267485160294045,0.9875685789368904
2023,Test,With_time,273,2023-01-02,2023-12-31,100,2.413255925504307,1.5534657786717758,-4.272838789354694
2024,Train,Without_time,3144,2012-05-09,2023-12-31,100,0.14216353833061895,0.37704580402202986,0.9873300031505229
2024,Test,Without_time,273,2024-01-01,2024-12-31,100,1.9955823343287933,1.4126508182593438,0.4914051974397625
2024,Train,With_time,3144,2012-05-09,2023-12-31,100,0.13498353699415405,0.36740105742111584,0.9879699041784552
2024,Test,With_time,273,2024-01-01,2024-12-31,100,3.982766083771195,1.9956868701705675,-0.015049138877313739
2025,Train,Without_time,3417,2012-05-09,2024-12-31,100,0.21841774836859823,0.46735184643756167,0.9882477010864491
2025,Test,Without_time,268,2025-01-01,2025-12-31,100,21.73860410929618,4.662467598739553,0.34041054818136196
2025,Train,With_time,3417,2012-05-09,2024-12-31,100,0.23378813863534972,0.48351643057433913,0.9874206738774333
2025,Test,With_time,268,2025-01-01,2025-12-31,100,16.45886851924444,4.05695310784392,0.5006074902702222
2026,Train,Without_time,3685,2012-05-09,2025-12-31,100,0.36223372574115814,0.601858559581201,0.9898618144111244
2026,Test,Without_time,152,2026-01-01,2026-07-23,100,19.205487755085546,4.382406616812907,-0.12122492772286342
2026,Train,With_time,3685,2012-05-09,2025-12-31,100,0.6204877888615259,0.7877104727382555,0.9826338081959705
2026,Test,With_time,152,2026-01-01,2026-07-23,100,14.916642268497634,3.8622069168414104,0.12915978169128406
