Year,N,Start,End,RMSE_Without_time,RMSE_With_time,R2_Without_time,R2_With_time,RMSE_change_with_minus_without,R2_change_with_minus_without
2015,266,2015-01-01,2015-12-31,0.34847488154013895,0.36226797138694594,0.8620753697360888,0.8509408128980087,0.013793089846806994,-0.011134556838080067
2016,268,2016-01-01,2016-12-31,0.21669197385529265,0.190776459520381,-0.10292488497878427,0.145110753819928,-0.025915514334911655,0.24803563879871227
2017,267,2017-01-02,2017-12-31,0.6506848277434424,0.4633183541934531,-4.242088711452766,-1.6577982776070561,-0.1873664735499893,2.5842904338457098
2018,269,2018-01-01,2018-12-31,0.4234931922183859,0.3712604857202186,0.4220304251777487,0.5558091915401621,-0.0522327064981673,0.13377876636241337
2019,271,2019-01-01,2019-12-31,0.32833274956187514,0.23192905991005017,-0.3421140331187995,0.3303138065256509,-0.09640368965182497,0.6724278396444504
2020,271,2020-01-01,2020-12-31,1.1983703889512038,1.1756180410492225,0.5185312456789376,0.5366400921750597,-0.02275234790198133,0.0181088464961221
2021,272,2021-01-01,2021-12-31,0.90941312811876,1.1807271068072567,-0.0839461319609136,-0.827192604831333,0.2713139786884967,-0.7432464728704193
2022,274,2022-01-03,2022-12-31,2.016709741022901,4.232979843612993,-2.3124797948385094,-13.593479313151908,2.216270102590092,-11.280999518313399
2023,273,2023-01-02,2023-12-31,2.600213480561647,1.5534657786717758,-13.77267431614831,-4.272838789354694,-1.0467477018898712,9.499835526793616
2024,273,2024-01-01,2024-12-31,1.4126508182593438,1.9956868701705675,0.4914051974397625,-0.015049138877313739,0.5830360519112237,-0.5064543363170763
2025,268,2025-01-01,2025-12-31,4.662467598739553,4.05695310784392,0.34041054818136196,0.5006074902702222,-0.6055144908956338,0.16019694208886026
2026,152,2026-01-01,2026-07-23,4.382406616812907,3.8622069168414104,-0.12122492772286342,0.12915978169128406,-0.5201996999714966,0.2503847094141475
