,A_500,Dollar Index,cn_10y_rate,us_10y_rate,brent,Copper Futures Price,Gold Futures Price
2012-05-09,1000.0,80.08000183105469,3.5414,1.87,111.89,3.6595,1000.0
2012-05-10,1000.1662294372735,80.11000061035156,3.5287,1.89,112.24,3.6905,1000.8784742780679
2012-05-11,993.645534961172,80.27999877929688,3.4907,1.84,112.5,3.648,993.6625614009018
2012-05-14,986.3408763267505,80.5999984741211,3.4461,1.78,110.79,3.554,979.2307356465698
2012-05-15,986.9074356096846,81.22000122070312,3.405,1.76,111.4,3.5175,976.8463930010057
2012-05-16,971.9286389365961,81.37000274658203,3.3618,1.76,109.8,3.478,963.9204356141698
2012-05-17,985.3456773813274,81.37999725341797,3.4116,1.7,109.31,3.479,987.9525934867746
2012-05-18,970.7251087750269,81.29000091552734,3.3614,1.71,108.03,3.4685,998.6823268806695
2012-05-21,975.1490620739917,81.08000183105469,3.3866,1.75,109.02,3.502,996.6744513269795
2012-05-22,988.991110717516,81.66999816894531,3.3948,1.79,109.76,3.487,989.0820713579393
2012-05-23,984.3602779878834,82.08999633789062,3.3825,1.73,106.88,3.396,971.3873520844328
2012-05-24,976.5318877421397,82.29000091552734,3.3619,1.77,107.2,3.4285,977.1601283434912
2012-05-25,967.165693728432,82.4000015258789,3.3019,1.75,107.86,3.448,984.3760412206573
2012-05-28,994.9445200179441,82.44000244140625,3.3418,1.74,107.55,3.462,971.7010874269183
2012-05-29,994.9445200179441,82.44000244140625,3.3718,1.74,107.55,3.462,971.7010874269183
2012-05-30,992.79188509989,83.01000213623047,3.3766,1.63,103.85,3.3945,980.9876842027055
2012-05-31,989.7935851406853,83.04000091552734,3.3443,1.59,103.86,3.3705,980.4856770165117
2012-06-01,989.4571338560728,82.88999938964844,3.3416,1.47,98.63,3.32,1016.8162449954388
2012-06-04,962.0764597340038,82.55000305175781,3.3469,1.53,97.74,3.3135,1011.6082076719628
2012-06-05,962.9609600367012,82.80000305175781,3.3568,1.57,98.65,3.295,1013.4906197268756
2012-06-06,962.5439346580391,82.31999969482422,3.36,1.66,101.14,3.3845,1024.5341650587984
2012-06-07,956.0413875004175,82.05000305175781,3.3751,1.66,100.05,3.3765,995.5449734558147
2012-06-08,949.340671624998,82.51000213623047,3.3101,1.65,97.57,3.291,997.7411208532131
2012-06-11,961.4815906342416,82.51000213623047,3.3491,1.6,98.6,3.3485,1001.1294778711648
2012-06-12,954.7445801218629,82.41000366210938,3.3747,1.67,96.59,3.341,1011.9219430144482
2012-06-13,970.8750056256687,82.05000305175781,3.3909,1.61,97.29,3.3445,1015.3103000323999
2012-06-14,964.607647715543,81.9000015258789,3.4009,1.64,96.46,3.359,1015.4985718761083
2012-06-15,967.3544258406201,81.58999633789062,3.3932,1.6,97.13,3.3875,1020.89480444775
2012-06-18,972.9869905503282,81.94000244140625,3.4107,1.59,95.21,3.3995,1020.0790619190707
2012-06-19,965.6202680867065,81.37000274658203,3.4093,1.64,95.14,3.438,1017.8829145216723
2012-06-20,963.681771526712,81.48999786376953,3.4101,1.65,93.5,3.393,1013.2396927293213
2012-06-21,949.5878381026906,82.31999969482422,3.4001,1.63,89.22,3.3035,981.6778866370651
2012-06-22,930.6267938624317,82.22000122070312,3.3677,1.69,89.22,3.3125,996.1097123913971
2012-06-25,930.6267938624317,82.45999908447266,3.3677,1.63,88.69,3.323,996.1097123913971
2012-06-26,929.0370887636159,82.37000274658203,3.3653,1.66,90.19,3.319,987.6388581442892
2012-06-27,926.1738048538996,82.55999755859375,3.3252,1.65,92.06,3.355,989.8350055416875
2012-06-28,917.3582004828637,82.66999816894531,3.3253,1.6,91.02,3.3315,972.3912898612778
2012-06-29,929.928122100966,81.6500015258789,3.3253,1.67,94.17,3.4965,1006.1492433509325
2012-07-02,932.0107083696885,81.87000274658203,3.3353,1.61,95.28,3.469,1002.1961473973984
2012-07-03,933.2951755716767,81.77999877929688,3.3204,1.65,99.89,3.54,1017.3182521816326
2012-07-04,917.5251558128764,82.80999755859375,3.3195,1.62,101.54,3.493,1009.5376003688841
2012-07-05,917.5251558128764,82.80999755859375,3.3193,1.62,101.54,3.493,1009.5376003688841
2012-07-06,932.6788926361085,83.29000091552734,3.296,1.57,98.5,3.4095,990.3997444772699
2012-07-09,911.572835351557,83.16000366210938,3.2709,1.53,99.94,3.4315,996.7999148257566
2012-07-10,908.2994220442012,83.36000061035156,3.2549,1.53,99.15,3.398,990.9644834128522
2012-07-11,916.0047734706529,83.56999969482422,3.2398,1.54,99.23,3.4475,988.3917923280374
2012-07-12,923.2139772098715,83.6500015258789,3.2502,1.5,99.18,3.415,981.928890230162
2012-07-13,923.2847517519422,83.30000305175781,3.2591,1.52,101.91,3.504,998.6823268806695
2012-07-16,902.1975676786096,83.08999633789062,3.2752,1.5,102.1,3.485,998.4313232875726
2012-07-17,906.8200526417414,83.02999877929688,3.285,1.53,104.21,3.4555,997.1136501682422
2012-07-18,908.4210090780145,82.94999694824219,3.2858,1.52,105.92,3.474,985.3799789975022
2012-07-19,913.9149282745384,82.9000015258789,3.286,1.54,107.79,3.5345,991.4664140035035
2012-07-20,905.2288957574473,83.47000122070312,3.281,1.49,106.98,3.448,992.9723589665424
2012-07-23,893.132256205294,83.70999908447266,3.276,1.47,103.91,3.38,989.5840019485906
2012-07-24,896.7718823995692,84.01000213623047,3.2759,1.44,103.57,3.353,988.8937995142311
2012-07-25,891.9094898861365,83.5199966430664,3.276,1.43,102.35,3.3745,1008.9728614333018
2012-07-26,887.7210887810373,82.80999755859375,3.2763,1.45,104.77,3.3935,1013.3651562280985
2012-07-27,887.6989490524923,82.70999908447266,3.2764,1.58,106.3,3.426,1015.1848365336227
2012-07-30,881.3462987455122,82.79000091552734,3.2755,1.53,106.54,3.4225,1016.3142378092449
2012-07-31,878.223508181537,82.63999938964844,3.2915,1.51,105.93,3.4235,1010.5415381457292
2012-08-01,889.0766934714658,83.05999755859375,3.2921,1.56,106.78,3.3805,1006.2747068497096
2012-08-02,883.5932997196603,83.33000183105469,3.2861,1.51,107.55,3.296,996.0469806420085
2012-08-03,891.5407363746303,82.37999725341797,3.2902,1.6,109.57,3.3725,1007.7179200633599
2012-08-06,904.0235508640302,82.2699966430664,3.31,1.59,110.01,3.394,1012.047483108768
2012-08-07,906.3231790617691,82.20999908447266,3.33,1.66,112.39,3.445,1010.0395309595353
2012-08-08,904.8292918045257,82.38999938964844,3.3545,1.68,113.42,3.426,1012.047483108768
2012-08-09,913.8782706912097,82.63999938964844,3.3023,1.69,113.52,3.4295,1014.682829347429
2012-08-10,910.3849118838805,82.55000305175781,3.2825,1.65,113.13,3.398,1016.3142378092449
2012-08-13,894.203310941962,82.44000244140625,3.3029,1.65,114.48,3.359,1009.9767992101467
2012-08-14,897.0183229845225,82.4800033569336,3.3105,1.73,113.9,3.3645,1003.5766288616601
2012-08-15,887.7112892290584,82.6500015258789,3.3402,1.8,115.51,3.3545,1006.2747068497096
2012-08-16,883.0771899820995,82.36000061035156,3.3467,1.83,116.12,3.3875,1014.0553586624582
2012-08-17,880.6646854634172,82.5999984741211,3.3342,1.81,115.2,3.4235,1014.1808987567778
2012-08-20,877.8500363672263,82.45999908447266,3.3564,1.82,115.5,3.375,1016.5652414023418
2012-08-21,884.2654763961458,81.91000366210938,3.3578,1.8,116.03,3.457,1028.989191602984
2012-08-22,877.9102854645785,81.48999786376953,3.3935,1.71,115.77,3.458,1027.4205148905564
2012-08-23,880.4886564741647,81.36000061035156,3.3702,1.68,117.45,3.495,1047.625040308404
2012-08-24,869.548001109164,81.58999633789062,3.3364,1.68,115.76,3.486,1047.7505804027242
2012-08-27,851.5589272466743,81.66000366210938,3.3498,1.65,113.74,3.479,1049.3819888645398
2012-08-28,855.6910716644865,81.37000274658203,3.3634,1.64,112.62,3.467,1045.6798965041028
2012-08-29,848.0187483576676,81.55000305175781,3.3943,1.66,112.53,3.448,1041.4758735530145
2012-08-30,843.7330776255177,81.68000030517578,3.3904,1.63,112.28,3.4465,1037.5227775994804
2012-08-31,841.8595484656804,81.25,3.3928,1.57,113.93,3.4575,1057.0371005829686
2012-09-03,842.7386045728339,81.31999969482422,3.4001,1.59,114.98,3.4695,1062.2451379064446
2012-09-04,842.7386045728339,81.31999969482422,3.3836,1.59,114.98,3.4695,1062.2451379064446
2012-09-05,841.7684489269128,81.23999786376953,3.3887,1.6,113.32,3.5295,1060.927464787114
2012-09-06,849.0077772148076,81.08000183105469,3.3963,1.68,114.5,3.518,1068.3315729124458
2012-09-07,884.0048809027783,80.25,3.4162,1.67,113.64,3.6475,1090.2303151370409
2012-09-10,887.2721241218513,80.36000061035156,3.4611,1.68,113.84,3.6915,1084.7085424710795
2012-09-11,882.0950571059818,79.86000061035156,3.4714,1.7,114.86,3.7005,1086.6537628709234
2012-09-12,885.7125435717116,79.73999786376953,3.4909,1.77,114.86,3.6965,1085.9007520916327
2012-09-13,877.3168681502947,79.26000213623047,3.4834,1.75,116.0,3.713,1110.0583734630147
2012-09-14,882.9962529416804,78.8499984741211,3.5485,1.88,117.48,3.837,1110.49764889982
2012-09-17,861.8597081620832,79.01000213623047,3.5717,1.85,116.7,3.7965,1109.1798991849469
