,A_500,Dollar Index,cn_10y_rate,us_10y_rate,brent,Copper Futures Price,Gold Futures Price
2021-01-01,2180.674339836848,89.87999725341797,3.178,0.93,50.37,3.52,1220.2422104248064
2021-01-04,2180.674339836848,89.87999725341797,3.178,0.93,50.37,3.5545,1220.2422104248064
2021-01-05,2215.491422125501,89.44000244140625,3.1305,0.96,53.16,3.6395,1225.2619759045742
2021-01-06,2233.0634706093288,89.52999877929688,3.1256,1.04,53.8,3.6505,1196.52386449023
2021-01-07,2268.741461686655,89.83000183105469,3.1256,1.08,53.7,3.696,1199.9122215081813
2021-01-08,2266.3677924295193,90.0999984741211,3.1456,1.13,55.51,3.6735,1150.8439679861272
2021-01-11,2244.298112533699,90.54000091552734,3.1632,1.15,54.84,3.5645,1160.5697636031769
2021-01-12,2302.0900629639364,90.05000305175781,3.1457,1.15,55.98,3.6055,1156.3657406520883
2021-01-13,2292.6799524395074,90.31999969482422,3.1157,1.1,55.52,3.617,1163.0796463430606
2021-01-14,2250.621001238373,90.23999786376953,3.1059,1.15,55.76,3.6645,1161.009039039982
2021-01-15,2247.8978146273193,90.77999877929688,3.1508,1.11,54.8,3.602,1147.8321546555921
2021-01-17,2240.3547002280757,90.5,3.1658,1.1,54.21,3.576,1154.2323250040786
2021-01-18,2240.3547002280757,90.5,3.1658,1.1,54.21,3.6168,1154.2323250040786
2021-01-19,2240.3547002280757,90.5,3.1609,1.1,55.38,3.6335,1154.2323250040786
2021-01-20,2263.681989294534,90.47000122070312,3.161,1.1,55.66,3.6415,1170.7975664064206
2021-01-21,2300.5900056184096,90.12999725341797,3.1335,1.12,55.68,3.6475,1170.4210993145466
2021-01-22,2311.0254396369373,90.23999786376953,3.1185,1.1,55.22,3.626,1164.3973194623911
2021-01-25,2329.3571348723226,90.38999938964844,3.1323,1.05,55.44,3.6295,1163.8953888717401
2021-01-26,2279.048412690347,90.16999816894531,3.1585,1.05,55.26,3.6195,1161.2599660375365
2021-01-27,2286.7428757257107,90.6500015258789,3.1636,1.04,55.07,3.5575,1157.6206820220305
2021-01-28,2220.6340092362593,90.45999908447266,3.1961,1.07,54.87,3.58,1153.2283872272337
2021-01-29,2206.3052495111115,90.58000183105469,3.1786,1.11,55.25,3.558,1159.1266269850694
2021-02-01,2234.169005251108,91.0199966430664,3.1712,1.09,56.42,3.5455,1167.5974812321772
2021-02-02,2268.7244032072845,91.19999694824219,3.1862,1.12,57.62,3.5245,1148.5850888393402
2021-02-03,2260.4637438353557,91.12000274658203,3.2112,1.15,58.61,3.5655,1149.6517583655736
2021-02-04,2255.066731319513,91.52999877929688,3.2347,1.15,58.98,3.555,1122.4823236636566
2021-02-05,2247.63867091943,91.04000091552734,3.2164,1.19,59.48,3.627,1136.2866787330179
2021-02-07,2288.569584803871,90.93000030517578,3.2168,1.19,60.17,3.6665,1149.4635631174078
2021-02-08,2288.569584803871,90.93000030517578,3.237,1.19,60.17,3.6665,1149.4635631174078
2021-02-09,2339.129102927235,90.44000244140625,3.2303,1.18,60.74,3.719,1151.5969787654176
2021-02-10,2387.145455838863,90.37000274658203,3.2449,1.15,61.17,3.773,1154.9225274384382
2021-02-11,2375.547141652161,90.41999816894531,3.2831,1.16,61.09,3.7735,1112.756528046607
2021-02-12,2375.547141652161,90.4800033569336,3.2831,1.2,62.47,3.7875,1112.756528046607
2021-02-14,2375.547141652161,90.51000213623047,3.2831,1.3,63.58,3.8003,1112.756528046607
2021-02-15,2375.547141652161,90.51000213623047,3.2831,1.3,63.58,3.8218,1112.756528046607
2021-02-16,2375.547141652161,90.51000213623047,3.2831,1.3,63.96,3.8345,1112.756528046607
2021-02-17,2375.547141652161,90.94999694824219,3.2831,1.29,65.02,3.8235,1112.756528046607
2021-02-18,2375.547141652161,90.58999633789062,3.2831,1.29,64.09,3.905,1112.756528046607
2021-02-19,2380.2422158892114,90.36000061035156,3.2578,1.34,62.84,4.077,1114.2624730096459
2021-02-20,2313.2063843718197,90.01000213623047,3.2605,1.37,64.73,4.1465,1133.6512558988143
2021-02-22,2313.2063843718197,90.01000213623047,3.2736,1.37,64.73,4.1465,1133.6512558988143
2021-02-23,2304.870595101386,90.16999816894531,3.2635,1.37,65.16,4.185,1132.2081192807066
2021-02-24,2246.0261001993304,90.18000030517578,3.2627,1.38,66.85,4.3015,1127.1883538009388
2021-02-25,2253.1736030557176,90.12999725341797,3.2723,1.54,66.69,4.2635,1113.383998731578
2021-02-26,2199.4201568799385,90.93000030517578,3.2798,1.44,65.86,4.0925,1084.3320753792054
2021-03-01,2241.337196050563,91.04000091552734,3.2475,1.45,64.56,4.113,1080.8182548624766
2021-03-02,2214.0421772717173,90.79000091552734,3.2474,1.42,63.17,4.222,1087.4694288040603
2021-03-03,2253.5289275515493,90.94999694824219,3.2553,1.47,64.7,4.142,1076.3004965689026
2021-03-04,2183.3597800254647,91.62999725341797,3.2655,1.54,67.32,3.9785,1066.8256279494071
2021-03-05,2173.5271999268302,91.9800033569336,3.2457,1.56,69.95,4.0755,1065.445223080688
2021-03-08,2097.8699403461346,92.30999755859375,3.2404,1.59,68.0,4.093,1052.7075375375605
2021-03-09,2052.5245097683387,91.95999908447266,3.2478,1.55,67.03,4.0085,1077.1161625020393
2021-03-10,2064.5394863873335,91.79000091552734,3.2353,1.53,67.53,4.0325,1080.1907841775055
2021-03-11,2117.3913737810444,91.41999816894531,3.2506,1.54,69.34,4.139,1080.6927913636994
2021-03-12,2124.108422243096,91.68000030517578,3.2613,1.64,68.87,4.14,1078.9358428075636
2021-03-15,2079.075125543149,91.83000183105469,3.274,1.62,68.78,4.1405,1084.8340825653993
2021-03-16,2096.1535669643313,91.87000274658203,3.2614,1.62,67.95,4.0715,1085.9007520916327
2021-03-17,2106.269245231248,91.4000015258789,3.2564,1.63,67.73,4.119,1083.5164094460688
2021-03-18,2124.191899908102,91.8499984741211,3.2592,1.71,62.11,4.108,1086.9046898684778
2021-03-19,2068.619003581555,91.91999816894531,3.2364,1.74,64.0,4.113,1092.6774661275363
2021-03-22,2088.738209687184,91.80000305175781,3.2309,1.69,63.89,4.1395,1090.4185869807493
2021-03-23,2063.786009724059,92.33999633789062,3.2105,1.63,59.96,4.0795,1082.1986597311957
2021-03-24,2027.5240379380582,92.52999877929688,3.193,1.62,63.7,4.064,1087.343965305283
2021-03-25,2029.7064344584187,92.87999725341797,3.1882,1.63,61.21,3.978,1082.3241998255153
2021-03-26,2078.066497582051,92.7699966430664,3.1985,1.67,63.77,4.068,1086.9046898684778
2021-03-29,2081.2045318935493,92.94000244140625,3.1962,1.73,64.06,4.0345,1074.29254441967
2021-03-30,2102.0612450221906,93.30000305175781,3.206,1.73,63.28,3.982,1056.597901741706
2021-03-31,2086.001231114086,93.2300033569336,3.1887,1.74,63.52,4.0,1075.3592905414462
2021-04-01,2113.601487789758,92.93000030517578,3.196,1.69,63.85,3.994,1083.3281376023604
2021-04-02,2124.244164185323,92.5999984741211,3.2013,1.72,61.47,4.1395,1092.7401978769246
2021-04-05,2124.244164185323,92.5999984741211,3.2087,1.73,61.47,4.1395,1092.7401978769246
2021-04-06,2124.244164185323,92.33999633789062,3.2087,1.67,61.47,4.118,1092.7401978769246
2021-04-07,2112.06695053912,92.45999908447266,3.2215,1.68,61.86,4.0575,1091.8617235988568
2021-04-08,2115.3370973291503,92.05999755859375,3.2221,1.64,62.09,4.099,1102.3405299951974
2021-04-09,2086.1925038508607,92.16000366210938,3.2121,1.67,61.89,4.0445,1093.8696757480895
2021-04-12,2048.693973783658,92.13999938964844,3.1948,1.69,62.38,4.0225,1086.2772191835068
2021-04-13,2046.1424608054215,91.8499984741211,3.1626,1.64,62.83,4.0365,1095.6892794580713
2021-04-14,2069.449787821552,91.69000244140625,3.1651,1.64,66.11,4.1315,1088.598906675225
2021-04-15,2056.7717081853116,91.66999816894531,3.1728,1.56,66.13,4.223,1107.7367625668394
2021-04-16,2064.8868260630334,91.55999755859375,3.1631,1.59,65.98,4.172,1116.2703485633356
2021-04-19,2117.0015693801024,91.06999969482422,3.1559,1.61,66.54,4.243,1110.246645306723
2021-04-20,2114.316855084225,91.23999786376953,3.1554,1.58,65.34,4.219,1115.2036790371021
2021-04-21,2116.868731008831,91.16000366210938,3.153,1.57,64.02,4.2845,1124.6157393116664
2021-04-22,2116.248818609567,91.33000183105469,3.1614,1.57,65.07,4.278,1117.6507534320547
2021-04-23,2137.6938678033175,90.86000061035156,3.1719,1.58,65.75,4.34,1115.0154071933937
2021-04-25,2116.1816735311922,90.80999755859375,3.1841,1.58,65.5,4.443,1116.395812062113
2021-04-26,2116.1816735311922,90.80999755859375,3.2024,1.58,65.5,4.443,1116.395812062113
2021-04-27,2120.3853183838146,90.91000366210938,3.2078,1.63,66.25,4.487,1115.6428778783647
2021-04-28,2134.093439816959,90.61000061035156,3.1979,1.63,67.08,4.498,1112.6309879522871
2021-04-29,2149.5647547135845,90.61000061035156,3.1872,1.65,68.26,4.4865,1109.430902778044
2021-04-30,2140.5106945777266,91.27999877929688,3.164,1.65,67.73,4.468,1108.9289721873924
2021-05-03,2117.3510867340196,90.94999694824219,3.1507,1.63,68.91,4.5285,1139.1730285647757
2021-05-04,2117.3510867340196,91.29000091552734,3.1507,1.61,68.91,4.5215,1139.1730285647757
2021-05-05,2117.3510867340196,91.30999755859375,3.1507,1.59,69.71,4.524,1139.1730285647757
2021-05-06,2117.3510867340196,90.94999694824219,3.1507,1.58,68.62,4.6025,1139.1730285647757
2021-05-07,2089.1000672176674,90.2300033569336,3.1589,1.6,68.73,4.7485,1148.961555931214
2021-05-08,2092.2359238509484,90.20999908447266,3.1582,1.63,68.61,4.716,1152.977383634137
2021-05-10,2092.2359238509484,90.20999908447266,3.146,1.63,68.61,4.716,1152.977383634137
2021-05-11,2097.6009970862665,90.13999938964844,3.138,1.64,68.83,4.762,1151.9734458572918
2021-05-12,2107.8531431881497,90.70999908447266,3.131,1.69,69.62,4.736,1143.628055108961
2021-05-13,2082.0741513950934,90.75,3.1366,1.66,67.36,4.6905,1144.3810658882517
2021-05-14,2124.436525761207,90.31999969482422,3.1422,1.63,69.24,4.6545,1153.2283872272337
2021-05-17,2158.5197304905437,90.22000122070312,3.1524,1.64,69.62,4.7115,1171.8015041832655
2021-05-18,2159.7254383303307,89.75,3.1457,1.64,69.01,4.7255,1171.989776026974
2021-05-19,2156.459283950366,90.19000244140625,3.1298,1.68,66.88,4.5765,1180.460630274082
2021-05-20,2156.525340189632,89.80999755859375,3.1001,1.63,65.18,4.568,1180.7743656165671
2021-05-21,2139.6675701611625,90.0199966430664,3.0876,1.63,66.72,4.481,1177.5742038467813
2021-05-24,2148.6258124554483,89.83000183105469,3.085,1.61,68.59,4.5255,1182.5312375771605
2021-05-25,2209.489740957917,89.63999938964844,3.085,1.56,68.8,4.5065,1191.0020918242683
2021-05-26,2209.9158399958187,90.04000091552734,3.06,1.58,68.93,4.5295,1193.010043973501
2021-05-27,2221.3998260760995,89.97000122070312,3.0725,1.61,69.43,4.666,1189.4961468612296
2021-05-28,2217.4324593100823,90.02999877929688,3.0825,1.58,69.36,4.681,1193.762978157249
2021-05-30,2233.8129548625375,89.83000183105469,3.045,1.62,70.03,4.6937,1194.0139817503461
2021-05-31,2233.8129548625375,89.83000183105469,3.045,1.62,70.03,4.681,1194.0139817503461
2021-06-01,2233.8129548625375,89.83000183105469,3.04,1.62,70.03,4.6565,1194.0139817503461
2021-06-02,2211.8528847703346,89.9000015258789,3.065,1.59,70.6,4.595,1196.900331582104
2021-06-03,2197.1804148331826,90.5,3.055,1.63,70.71,4.4665,1174.123115079441
2021-06-04,2210.075899344809,90.13999938964844,3.0925,1.56,71.3,4.5315,1185.794131096335
2021-06-07,2207.175957851764,89.94999694824219,3.11,1.57,70.89,4.5295,1190.1864258911316
