Year,Split,Model,N,Epochs,MSE,RMSE,R2
2017,Train,Without_time,1247,100,0.020174693280587467,0.14203764740584612,0.9712024228066475
2017,Test,Without_time,267,100,0.4233907450555132,0.6506848277434424,-4.242088711452766
2017,Train,With_time,1247,100,0.013434255450653737,0.11590623559866715,0.9808237972694397
2017,Test,With_time,267,100,0.21466389733253005,0.4633183541934531,-1.6577982776070561
2019,Train,Without_time,1783,100,0.01850717078009865,0.1360410628453727,0.968994790355972
2019,Test,Without_time,271,100,0.107802394434861,0.32833274956187514,-0.3421140331187995
2019,Train,With_time,1783,100,0.015860278919030937,0.12593759930628715,0.9734291492340846
2019,Test,With_time,271,100,0.053791088830759635,0.23192905991005017,0.3303138065256509
2021,Train,Without_time,2325,100,0.030226770950043346,0.17385847966102588,0.9763754194802791
2021,Test,Without_time,272,100,0.8270322375947482,0.90941312811876,-0.0839461319609136
2021,Train,With_time,2325,100,0.03125837821319991,0.17680039087400207,0.9755691378932233
2021,Test,With_time,272,100,1.3941165007494347,1.1807271068072567,-0.827192604831333
2023,Train,Without_time,2871,100,0.1062311521773353,0.3259312077376686,0.9864921333793099
2023,Test,Without_time,273,100,6.761110144494514,2.600213480561647,-13.77267431614831
2023,Train,With_time,2871,100,0.09776556282492084,0.31267485160294045,0.9875685789368904
2023,Test,With_time,273,100,2.413255925504307,1.5534657786717758,-4.272838789354694
