Month,Seed,Model,APE
1,7,Base_100,9.984185200213096
1,7,Full_100,11.90272413300071
1,7,Volume_100,13.795268546290659
1,42,Base_100,7.0264753693929975
1,42,Full_100,8.30482075384638
1,42,Volume_100,10.476161961281635
1,123,Base_100,12.712464461362432
1,123,Full_100,7.489076041314891
1,123,Volume_100,13.100480014522951
1,2024,Base_100,8.410379461514394
1,2024,Full_100,10.509288685886128
1,2024,Volume_100,8.069324632102424
1,2025,Base_100,8.247575321048183
1,2025,Full_100,6.1654290649358465
1,2025,Volume_100,8.384340508822758
2,7,Base_100,9.292812051992266
2,7,Full_100,14.128348704962466
2,7,Volume_100,11.265435362465544
2,42,Base_100,10.190380339526119
2,42,Full_100,11.376982830293574
2,42,Volume_100,10.347125218298546
2,123,Base_100,12.721742598469286
2,123,Full_100,12.896961586743414
2,123,Volume_100,10.743634624811444
2,2024,Base_100,7.931630801841623
2,2024,Full_100,10.519829605487674
2,2024,Volume_100,7.0265945714945515
2,2025,Base_100,10.206298450881102
2,2025,Full_100,8.374000553984922
2,2025,Volume_100,6.423449258882456
3,7,Base_100,9.883773780796227
3,7,Full_100,4.0823999135163165
3,7,Volume_100,7.689623409829145
3,42,Base_100,14.663415310753487
3,42,Full_100,5.9940323681773755
3,42,Volume_100,5.207981752524769
3,123,Base_100,3.9823258007747793
3,123,Full_100,4.100235642646519
3,123,Volume_100,9.136333061319549
3,2024,Base_100,7.313672883590885
3,2024,Full_100,6.020669508362834
3,2024,Volume_100,12.196646191807273
3,2025,Base_100,8.703134403978986
3,2025,Full_100,5.2516642983475315
3,2025,Volume_100,16.463154668209086
4,7,Base_100,3.7056111311791198
4,7,Full_100,6.247782028534511
4,7,Volume_100,6.2918104110535715
4,42,Base_100,10.438330480699694
4,42,Full_100,6.599182191879271
4,42,Volume_100,3.2771426613256445
4,123,Base_100,6.025113135169395
4,123,Full_100,3.855790788158062
4,123,Volume_100,4.7926790026511075
4,2024,Base_100,4.305621568618442
4,2024,Full_100,8.616199145274914
4,2024,Volume_100,7.112877118156235
4,2025,Base_100,5.680997047723395
4,2025,Full_100,3.987994893361835
4,2025,Volume_100,11.767529112515659
5,7,Base_100,7.740240496038354
5,7,Full_100,4.593579444191671
5,7,Volume_100,6.726542920044392
5,42,Base_100,13.648726845839974
5,42,Full_100,3.434180150795691
5,42,Volume_100,4.015995102209572
5,123,Base_100,2.9337844217374895
5,123,Full_100,2.9701362082002807
5,123,Volume_100,5.312745687959866
5,2024,Base_100,7.879537494538422
5,2024,Full_100,10.800691683404402
5,2024,Volume_100,13.58564444747723
5,2025,Base_100,8.158248239168405
5,2025,Full_100,3.633915622130406
5,2025,Volume_100,17.001624523484708
6,7,Base_100,13.734601258433372
6,7,Full_100,5.886775640257542
6,7,Volume_100,4.931380785169467
6,42,Base_100,17.75692501877995
6,42,Full_100,11.845653754630886
6,42,Volume_100,6.757109136919951
6,123,Base_100,2.8294741853061223
6,123,Full_100,7.828025757263306
6,123,Volume_100,5.049406904622025
6,2024,Base_100,8.707779657719053
6,2024,Full_100,12.739296761122901
6,2024,Volume_100,22.77601735104486
6,2025,Base_100,10.433912266523702
6,2025,Full_100,7.509756469728388
6,2025,Volume_100,24.25287220339979
7,7,Base_100,4.709409143940372
7,7,Full_100,12.340492663087497
7,7,Volume_100,16.23604180780436
7,42,Base_100,4.631174266776184
7,42,Full_100,3.9650357252697734
7,42,Volume_100,9.08453964237359
7,123,Base_100,13.162809985581282
7,123,Full_100,3.2558981185409586
7,123,Volume_100,16.51390616827864
7,2024,Base_100,9.58490271071835
7,2024,Full_100,7.3539904034662795
7,2024,Volume_100,12.451551292839067
7,2025,Base_100,5.527844172408165
7,2025,Full_100,5.9066854533674675
7,2025,Volume_100,9.1595607801389
8,7,Base_100,5.408637545516286
8,7,Full_100,26.599791962528904
8,7,Volume_100,22.895874994340154
8,42,Base_100,5.9494272876602405
8,42,Full_100,11.789552202020218
8,42,Volume_100,15.045952454201204
8,123,Base_100,21.471967531070025
