,volume_growth_5,volume_growth_10,Volume_source_date,Actual_trading_day
2012-06-06,0.9020645831844976,1.3583783473934372,2012-06-06,True
2012-06-07,-0.1785267287577602,0.013879250295752765,2012-06-07,True
2012-06-08,-0.36926674730763576,-0.20939131188536986,2012-06-08,True
2012-06-11,-0.5926552313426654,-0.5076751132323771,2012-06-11,True
2012-06-12,-0.5508615929035117,-0.5500217658634253,2012-06-12,True
2012-06-13,-0.4983414219890382,-0.5228231379726193,2012-06-13,True
2012-06-14,-0.38837843167918307,-0.5752765818931931,2012-06-14,True
2012-06-15,0.08005363082498373,-0.3726449710257521,2012-06-15,True
2012-06-18,-0.22201739259490305,-0.5615657416777007,2012-06-18,True
2012-06-19,-0.19619667711594369,-0.5010353735063164,2012-06-19,True
2012-06-20,-0.12254948296581647,-0.44864080566632436,2012-06-20,True
2012-06-21,0.7850325032088841,0.39788532785174135,2012-06-21,True
2012-06-22,0.7850325032088841,0.39788532785174135,2012-06-21,False
2012-06-25,0.4747826451154886,0.41589043538684933,2012-06-25,True
2012-06-26,0.34266868007571194,0.39366701348545385,2012-06-26,True
2012-06-27,-0.17954302822592016,-0.0788701754189236,2012-06-27,True
2012-06-28,-0.41601619499275955,-0.32223018762145683,2012-06-28,True
2012-06-29,-0.2381607715732078,-0.10311292252386128,2012-06-29,True
2012-07-02,-0.25742050810039285,-0.2196670029083967,2012-07-02,True
2012-07-03,-0.2789737719650772,-0.3088322419145564,2012-07-03,True
2012-07-04,-0.12181712519928856,-0.2780640265674498,2012-07-04,True
2012-07-05,0.1984538021950566,-0.07171616187815466,2012-07-05,True
2012-07-06,0.12427603047926716,-0.09498596641731172,2012-07-06,True
2012-07-09,0.11838970055844289,-0.044993495493029334,2012-07-09,True
2012-07-10,0.2473476831219299,0.15721106647421856,2012-07-10,True
2012-07-11,-0.020078899180545062,0.02613387440748549,2012-07-11,True
2012-07-12,0.8392926694729519,1.0146348720212508,2012-07-12,True
2012-07-13,-0.2592061366277094,-0.15083352858896715,2012-07-13,True
2012-07-16,0.05673396899781902,0.20193003802581333,2012-07-16,True
2012-07-17,-0.22156351771488003,-0.10819401723295319,2012-07-17,True
2012-07-18,-0.373353018616013,-0.31617887777505327,2012-07-18,True
2012-07-19,-0.038262513433148126,0.014022595290603013,2012-07-19,True
2012-07-20,-0.05069400789261913,-0.14346710442855415,2012-07-20,True
2012-07-23,-0.2512833956873778,-0.31366622786427834,2012-07-23,True
2012-07-24,-0.06266648884301873,-0.20829992687135723,2012-07-24,True
2012-07-25,-0.353769700715598,-0.45259825321386393,2012-07-25,True
2012-07-26,0.4974328997491899,0.2657993096434792,2012-07-26,True
2012-07-27,0.05376661831114937,-0.013470415288574955,2012-07-27,True
2012-07-30,0.10531804047416782,0.026780453592149422,2012-07-30,True
2012-07-31,-0.01854803786323378,-0.013486074276202964,2012-07-31,True
2012-08-01,-0.19100774143882193,-0.17206691918076233,2012-08-01,True
2012-08-02,-0.31215798461303257,-0.2686087991451671,2012-08-02,True
2012-08-03,-0.04911733609381952,-0.07015371858552899,2012-08-03,True
2012-08-06,0.9928838656036356,0.9233322743513654,2012-08-06,True
2012-08-07,4.683106021395791,4.775812119492805,2012-08-07,True
2012-08-08,0.6107520488921032,1.1440090872128499,2012-08-08,True
2012-08-09,-0.2629966238164695,0.03759664726739809,2012-08-09,True
2012-08-10,-0.3753352478069478,-0.06577794753634036,2012-08-10,True
2012-08-13,-0.3807585902656987,-0.053430494313308485,2012-08-13,True
2012-08-14,-0.5295447500399187,-0.307069025521844,2012-08-14,True
2012-08-15,-0.48331809751749255,-0.4867953961802034,2012-08-15,True
2012-08-16,-0.3290382586920678,-0.4876147551395067,2012-08-16,True
2012-08-17,-0.17277814062111396,-0.4428841221445553,2012-08-17,True
2012-08-20,-0.029845557199639328,-0.4071107958534066,2012-08-20,True
2012-08-21,0.3052295156029097,-0.25259277193242324,2012-08-21,True
2012-08-22,0.2079822817457917,-0.0948230602481206,2012-08-22,True
2012-08-23,1.4473017802271166,1.2120232664602404,2012-08-23,True
2012-08-24,0.18265771566737188,0.3006196117036204,2012-08-24,True
2012-08-27,0.31494437846365986,0.5621542925961713,2012-08-27,True
2012-08-28,-0.26167136390417123,-0.04842557986344942,2012-08-28,True
2012-08-29,-0.6071930967298607,-0.49781392225790033,2012-08-29,True
2012-08-30,-0.27611356791766073,-0.11743281491091351,2012-08-30,True
2012-08-31,-0.3051405923206738,-0.3127157976529712,2012-08-31,True
2012-09-03,0.7035276195416333,0.5113739068528926,2012-09-03,True
2012-09-04,-0.213892204610728,-0.3456148692884087,2012-09-04,True
2012-09-05,-0.15770536423662762,-0.3211627027707993,2012-09-05,True
2012-09-06,-0.014759423302648345,-0.1531636077162949,2012-09-06,True
2012-09-07,2.2269820642055556,2.076790751750788,2012-09-07,True
2012-09-10,1.2172600153133892,1.6718983107349321,2012-09-10,True
2012-09-11,0.022852992684897933,0.3222166297209328,2012-09-11,True
2012-09-12,-0.08408544000784623,0.2505806958159118,2012-09-12,True
2012-09-13,-0.2911987851393115,-0.017302647202471655,2012-09-13,True
2012-09-14,1.073502036313283,1.916842924438214,2012-09-14,True
2012-09-17,0.16411076607112696,0.5010409645789071,2012-09-17,True
2012-09-18,-0.37272544707230915,-0.2529932874404892,2012-09-18,True
2012-09-19,0.5220000158290587,0.7193797017491086,2012-09-19,True
2012-09-20,0.2506910075114792,0.4444355678143035,2012-09-20,True
2012-09-21,0.8355138243935085,1.194136512559218,2012-09-21,True
2012-09-24,-0.01914561765968603,0.14931285519850745,2012-09-24,True
2012-09-25,-0.15911021294957883,0.0026788891873910092,2012-09-25,True
2012-09-26,-0.5047378845483684,-0.3873531004393247,2012-09-26,True
2012-09-27,-0.27005191355773617,-0.18320107042555434,2012-09-27,True
2012-09-28,0.27029877966193294,0.3021552930232507,2012-09-28,True
2012-09-29,0.27029877966193294,0.3021552930232507,2012-09-28,False
2012-10-01,0.27029877966193294,0.3021552930232507,2012-09-28,False
2012-10-02,0.27029877966193294,0.3021552930232507,2012-09-28,False
2012-10-03,0.27029877966193294,0.3021552930232507,2012-09-28,False
2012-10-04,0.27029877966193294,0.3021552930232507,2012-09-28,False
2012-10-05,0.27029877966193294,0.3021552930232507,2012-09-28,False
2012-10-08,-0.2592669232573218,-0.3088410948272542,2012-10-08,True
2012-10-09,-0.30427053274306615,-0.38886285612511406,2012-10-09,True
2012-10-10,-0.339273720362253,-0.4706091481270873,2012-10-10,True
2012-10-11,-0.39624625703905736,-0.49385867010967255,2012-10-11,True
2012-10-12,-0.4812110150309865,-0.5733419122863351,2012-10-12,True
2012-10-15,-0.32790536422992334,-0.5113885765470458,2012-10-15,True
2012-10-16,-0.47138479061970096,-0.628879037848498,2012-10-16,True
2012-10-17,-0.2668754360275104,-0.5135527258205272,2012-10-17,True
2012-10-18,0.05853944395234745,-0.34878043104083833,2012-10-18,True
2012-10-19,-0.1657544014853478,-0.47852589327067785,2012-10-19,True
2012-10-22,-0.12561352477961596,-0.360373239046499,2012-10-22,True
2012-10-23,-0.2669923002738064,-0.43854393723744667,2012-10-23,True
2012-10-24,-0.32712636903468595,-0.4393192530029041,2012-10-24,True
2012-10-25,0.036870968842451335,-0.10870180291517872,2012-10-25,True
2012-10-26,0.48153540153369767,0.2631219690509923,2012-10-26,True
2012-10-29,-0.2619993873646397,-0.32251790619230325,2012-10-29,True
2012-10-30,-0.2576614607793646,-0.3186563374150537,2012-10-30,True
2012-10-31,-0.3431824495252407,-0.39736880957834964,2012-10-31,True
2012-11-01,0.35891292650608864,0.27760337251853384,2012-11-01,True
2012-11-02,-0.17752124824003324,-0.1800603677475483,2012-11-02,True
2012-11-05,0.000624057650548071,-0.10847647285535345,2012-11-05,True
2012-11-06,0.27688315969889965,0.18614371154195464,2012-11-06,True
2012-11-07,1.232845594915799,1.191714430085225,2012-11-07,True
2012-11-08,0.04075230986486211,0.17589979471662254,2012-11-08,True
2012-11-09,-0.3035420842132104,-0.2263044215704869,2012-11-09,True
2012-11-12,-0.32474049426161133,-0.19998717447356362,2012-11-12,True
2012-11-13,-0.2943833840313498,-0.17048285460213064,2012-11-13,True
2012-11-14,-0.5690662936139623,-0.5185951942897594,2012-11-14,True
2012-11-15,-0.13139574154665612,-0.2798362234166153,2012-11-15,True
2012-11-16,0.18871092301224834,-0.0867981793868885,2012-11-16,True
2012-11-19,-0.22034793693052368,-0.39857894322018717,2012-11-19,True
2012-11-20,-0.18294087542363502,-0.39215059779897987,2012-11-20,True
2012-11-21,-0.05077190786748975,-0.31107627797367765,2012-11-21,True
2012-11-22,-0.44786581772471334,-0.506935938516264,2012-11-22,True
2012-11-23,0.14380988474313794,0.03120804661104537,2012-11-23,True
2012-11-26,0.3641510349306918,0.17797907343914288,2012-11-26,True
2012-11-27,0.1187025738388503,0.035930791082736446,2012-11-27,True
2012-11-28,0.5985218233261984,0.5691113748173822,2012-11-28,True
2012-11-29,0.08155434703956277,0.10381366330939068,2012-11-29,True
