Year,Seed,Model,MAPE
2015,7,Base_100,8.083524267088226
2015,7,Full_100,7.058959332691674
2015,7,Volume_100,6.00357491446883
2015,42,Base_100,5.501015454956195
2015,42,Full_100,9.02691819747046
2015,42,Volume_100,8.914902196113957
2015,123,Base_100,6.735914374244602
2015,123,Full_100,9.085696748762338
2015,123,Volume_100,6.634481754132461
2015,2024,Base_100,5.7940779850201265
2015,2024,Full_100,13.044130952031072
2015,2024,Volume_100,8.651860684425898
2015,2025,Base_100,13.99289449597127
2015,2025,Full_100,10.083361494284537
2015,2025,Volume_100,6.596480309886759
2016,7,Base_100,13.908747314460674
2016,7,Full_100,5.290553725308276
2016,7,Volume_100,4.203930230162808
2016,42,Base_100,5.264150332389612
2016,42,Full_100,6.927978271832549
2016,42,Volume_100,6.058760308357642
2016,123,Base_100,4.217018568017502
2016,123,Full_100,4.542499511077622
2016,123,Volume_100,8.221182591656934
2016,2024,Base_100,6.378302184744114
2016,2024,Full_100,6.893166929118965
2016,2024,Volume_100,4.131580833438403
2016,2025,Base_100,11.947983857768959
2016,2025,Full_100,6.6169136083348254
2016,2025,Volume_100,5.745374251051883
2017,7,Base_100,14.014466619386436
2017,7,Full_100,10.346258490268957
2017,7,Volume_100,12.441568231304746
2017,42,Base_100,14.353520962054017
2017,42,Full_100,14.8854582670453
2017,42,Volume_100,14.446273547180331
2017,123,Base_100,14.12611859406273
2017,123,Full_100,11.744527098371025
2017,123,Volume_100,12.709990312323171
2017,2024,Base_100,15.88895459517852
2017,2024,Full_100,15.175230515784813
2017,2024,Volume_100,13.997659361606974
2017,2025,Base_100,15.323475963744361
2017,2025,Full_100,10.69120468161954
2017,2025,Volume_100,14.031929210007892
2018,7,Base_100,4.802788222892491
2018,7,Full_100,8.343567414163948
2018,7,Volume_100,5.754855394977203
2018,42,Base_100,6.99724163450986
2018,42,Full_100,7.336725872290607
2018,42,Volume_100,7.295252645430867
2018,123,Base_100,5.879343565858351
2018,123,Full_100,6.183628932919299
2018,123,Volume_100,8.220636051655198
2018,2024,Base_100,8.243422621211957
2018,2024,Full_100,8.604953643661249
2018,2024,Volume_100,5.7830634291061545
2018,2025,Base_100,9.286622057236253
2018,2025,Full_100,5.76970261711032
2018,2025,Volume_100,7.6422122093690446
2019,7,Base_100,6.6009943584056225
2019,7,Full_100,11.036786276861223
2019,7,Volume_100,6.4043137713986225
2019,42,Base_100,6.867503338765823
2019,42,Full_100,7.251259294363889
2019,42,Volume_100,8.198912305917897
2019,123,Base_100,10.854171088705424
2019,123,Full_100,8.493450283552779
2019,123,Volume_100,9.907510428587408
2019,2024,Base_100,16.897837303079605
2019,2024,Full_100,6.2627423011324215
2019,2024,Volume_100,11.02076909011164
2019,2025,Base_100,10.648209795619511
2019,2025,Full_100,5.447486454219068
2019,2025,Volume_100,7.854829529506122
2020,7,Base_100,10.898490032451148
2020,7,Full_100,20.805173732990816
2020,7,Volume_100,19.941317555234534
2020,42,Base_100,13.481151393822019
2020,42,Full_100,16.109231896117976
2020,42,Volume_100,15.249758935050142
2020,123,Base_100,16.797504116774622
2020,123,Full_100,15.527975939867712
2020,123,Volume_100,20.818303235572884
2020,2024,Base_100,16.833781858873973
2020,2024,Full_100,18.24613028104779
2020,2024,Volume_100,12.969242136729111
2020,2025,Base_100,13.489043678364565
2020,2025,Full_100,14.96618431759267
2020,2025,Volume_100,13.352208238219013
2021,7,Base_100,6.838930363936716
2021,7,Full_100,5.8577380596902895
2021,7,Volume_100,6.076954270056412
2021,42,Base_100,5.603963049885843
2021,42,Full_100,6.571608041096709
2021,42,Volume_100,14.449972717594568
2021,123,Base_100,18.327692767818387
2021,123,Full_100,5.460697232779777
2021,123,Volume_100,12.834891527648393
2021,2024,Base_100,5.254821816075496
2021,2024,Full_100,5.9171920116302275
2021,2024,Volume_100,5.219650450872562
2021,2025,Base_100,6.941486454927337
2021,2025,Full_100,5.455510032180997
2021,2025,Volume_100,9.072048651606773
2022,7,Base_100,44.165613982933316
2022,7,Full_100,37.93045097336537
2022,7,Volume_100,40.70527618684062
2022,42,Base_100,18.761602134613707
2022,42,Full_100,32.49887705602249
2022,42,Volume_100,48.035076432933394
2022,123,Base_100,36.20701600494756
2022,123,Full_100,21.65567344614727
2022,123,Volume_100,34.94380951643433
2022,2024,Base_100,38.01733235119709
2022,2024,Full_100,34.771692518805345
2022,2024,Volume_100,48.57262522717244
2022,2025,Base_100,40.9496914501432
2022,2025,Full_100,30.923979634013605
2022,2025,Volume_100,36.87569478693811
2023,7,Base_100,14.66407969927813
2023,7,Full_100,14.886532141078014
2023,7,Volume_100,14.525877797423636
2023,42,Base_100,20.49553122694535
2023,42,Full_100,13.117715149619709
2023,42,Volume_100,14.597548164528718
2023,123,Base_100,12.429223056975164
2023,123,Full_100,11.002029819697757
2023,123,Volume_100,11.73025583857957
2023,2024,Base_100,9.825098798053428
2023,2024,Full_100,13.37601963789457
2023,2024,Volume_100,10.080529610670766
2023,2025,Base_100,9.041337730449687
2023,2025,Full_100,17.241971177088303
2023,2025,Volume_100,10.675735778811156
2024,7,Base_100,7.065639227611168
2024,7,Full_100,9.345668504301843
2024,7,Volume_100,6.605398705815727
2024,42,Base_100,7.34623198439394
2024,42,Full_100,9.647999360805606
2024,42,Volume_100,8.290441476429447
2024,123,Base_100,7.989592802038647
2024,123,Full_100,7.319377993973798
2024,123,Volume_100,8.349316326368479
2024,2024,Base_100,9.4846339399681
2024,2024,Full_100,9.332750588490683
2024,2024,Volume_100,6.891195939393217
2024,2025,Base_100,8.555121726923003
2024,2025,Full_100,8.151091800260373
2024,2025,Volume_100,8.932923530242473
2025,7,Base_100,16.6230539878379
2025,7,Full_100,17.603437444372403
2025,7,Volume_100,16.57446704580446
2025,42,Base_100,18.365801645657243
2025,42,Full_100,16.453827218808385
2025,42,Volume_100,16.75267031727237
2025,123,Base_100,15.550452767403668
2025,123,Full_100,18.51774874398766
2025,123,Volume_100,15.610470974109814
2025,2024,Base_100,16.945150395607694
2025,2024,Full_100,16.01730317302592
2025,2024,Volume_100,18.00113282717559
2025,2025,Base_100,15.803983007661172
2025,2025,Full_100,17.800998264035133
2025,2025,Volume_100,17.352911786619778
2026,7,Base_100,7.9488106142702595
2026,7,Full_100,8.50229984558336
2026,7,Volume_100,6.894409609212976
2026,42,Base_100,12.415111167009336
2026,42,Full_100,6.156996756802833
2026,42,Volume_100,8.853695319542059
2026,123,Base_100,8.946727000422912
2026,123,Full_100,7.72023934098553
2026,123,Volume_100,7.667829703077565
2026,2024,Base_100,9.163831001982699
2026,2024,Full_100,7.16501158146407
2026,2024,Volume_100,6.151080842770544
2026,2025,Base_100,12.536356895636807
2026,2025,Full_100,7.179391689288844
2026,2025,Volume_100,8.893043334775117
