date,open,high,low,close,volume,amount,outstanding_share,turnover,volume_mean_5,volume_growth_5,volume_mean_10,volume_growth_10,Volume_source_date
2008-04-25,9.98,22.0,9.61,13.92,971534170.0,10346791205.0,1050000000.0,0.925270638095238,,,,,2008-04-25
2008-04-28,12.53,12.53,12.53,12.53,9192800.0,115185784.0,1050000000.0,0.0087550476190476,,,,,2008-04-28
2008-04-29,11.28,11.28,11.28,11.28,7794300.0,87919704.0,1050000000.0,0.0074231428571428,,,,,2008-04-29
2008-04-30,10.31,11.2,10.15,10.51,592765501.0,6251440391.0,1050000000.0,0.5645385723809524,,,,,2008-04-30
2008-05-05,10.8,11.56,10.51,11.56,370013739.0,4129913484.0,1050000000.0,0.3523940371428571,,,,,2008-05-05
2008-05-06,11.54,12.15,11.36,11.45,391083955.0,4591564612.0,1050000000.0,0.3724609095238095,390260102.0,0.0021110356805063013,,,2008-05-06
2008-05-07,11.24,11.39,10.76,11.02,196600686.0,2172779265.0,1050000000.0,0.1872387485714285,274170059.0,-0.2829243035615352,,,2008-05-07
2008-05-08,10.9,11.36,10.6,11.29,154438117.0,1701251175.0,1050000000.0,0.1470839209523809,311651636.2,-0.5044527316362601,,,2008-05-08
2008-05-09,11.3,11.3,10.31,10.74,154082204.0,1664663294.0,1050000000.0,0.1467449561904762,340980399.6,-0.5481200556373564,,,2008-05-09
2008-05-12,10.35,11.05,10.03,10.72,129083972.0,1359626561.0,1050000000.0,0.1229371161904761,253243740.2,-0.4902777383636193,,,2008-05-12
2008-05-13,10.21,10.65,10.21,10.35,106678474.0,1105896215.0,1050000000.0,0.1015985466666666,205057786.8,-0.47976384771943714,297658944.4,-0.6416083708989999,2008-05-13
2008-05-14,10.22,10.85,10.22,10.62,116870457.0,1243837745.0,1050000000.0,0.1113051971428571,148176690.6,-0.21127637196669846,211173374.8,-0.4465663244209327,2008-05-14
2008-05-15,10.6,10.86,10.36,10.39,88626289.0,937747660.0,1050000000.0,0.0844059895238095,132230644.8,-0.32975983642787166,221941140.5,-0.6006766082199168,2008-05-15
2008-05-16,10.4,10.55,10.22,10.35,58337528.0,602078233.0,1050000000.0,0.0555595504761904,119068279.2,-0.5100497933457999,230024339.4,-0.7463854122908526,2008-05-16
2008-05-19,10.55,10.67,10.35,10.47,54139687.0,570482750.0,1050000000.0,0.0515616066666666,99919344.0,-0.45816610845643657,176581542.1,-0.6934012108165862,2008-05-19
2008-05-20,10.5,10.65,9.87,9.89,64148836.0,655744239.0,1050000000.0,0.0610941295238095,84930487.0,-0.24469011934430562,144994136.9,-0.557576345005989,2008-05-20
2008-05-21,9.8,10.02,9.32,9.81,83386803.0,803971045.0,1050000000.0,0.0794160028571428,76424559.4,0.09109955823965143,112300625.0,-0.25746804169611703,2008-05-21
2008-05-22,9.9,10.09,9.7,10.06,71685550.0,712827546.0,1050000000.0,0.0682719523809523,69727828.6,0.02807661502311576,100979236.7,-0.29009613914025556,2008-05-22
2008-05-23,9.89,9.96,9.42,9.58,52704624.0,507346223.0,1050000000.0,0.05019488,66339680.8,-0.20553395246363615,92703980.0,-0.43147398849542384,2008-05-23
2008-05-26,9.54,9.54,9.05,9.08,49058069.0,451854459.0,1050000000.0,0.0467219704761904,65213100.0,-0.24772677575517799,82566222.0,-0.40583367130447123,2008-05-26
2008-05-27,9.01,9.33,9.01,9.19,37720257.0,346679869.0,1050000000.0,0.0359240542857142,64196776.4,-0.41242755298223976,74563631.7,-0.49411990617940893,2008-05-27
2008-05-28,9.1,9.27,8.92,9.17,63064546.0,573899126.0,1050000000.0,0.0600614723809523,58911060.6,0.07050433921401855,67667810.0,-0.06802738259151586,2008-05-28
2008-05-29,9.1,9.15,8.74,8.77,56792382.0,508495911.0,1050000000.0,0.0540879828571428,54846609.2,0.03547662888155356,62287218.9,-0.08821772744135148,2008-05-29
2008-05-30,8.65,8.69,8.42,8.66,61315346.0,522894841.0,1050000000.0,0.0583955676190476,51867975.6,0.18214264757231047,59103828.2,0.037417505216692515,2008-05-30
2008-06-02,8.66,9.53,8.57,9.53,98566456.0,902573523.0,1050000000.0,0.0938728152380952,53590120.0,0.8392654466905467,59401610.0,0.6593229712123965,2008-06-02
2008-06-03,9.63,9.99,9.32,9.44,178418368.0,1733892922.0,1050000000.0,0.1699222552380952,63491797.4,1.810101072993092,63844286.9,1.7945862764425362,2008-06-03
2008-06-04,9.2,9.47,9.0,9.13,54529811.0,500209766.0,1050000000.0,0.0519331533333333,91631419.6,-0.4049005107850583,75271240.1,-0.2755558307853625,2008-06-04
2008-06-05,9.03,9.5,8.95,9.26,52422013.0,486263072.0,1050000000.0,0.0499257266666666,89924472.6,-0.41704397607998867,72385540.9,-0.27579441490365386,2008-06-05
2008-06-06,9.19,9.38,9.1,9.18,28315379.0,261547345.0,1050000000.0,0.0269670276190476,89050398.8,-0.682029733930849,70459187.2,-0.598130774349892,2008-06-06
2008-06-10,8.86,8.92,8.26,8.27,54706252.0,464216519.0,1050000000.0,0.0521011923809523,82450405.4,-0.33649505136332547,68020262.7,-0.195735949429081,2008-06-10
2008-06-11,8.15,8.23,7.9,8.05,38404324.0,309646045.0,1050000000.0,0.0365755466666666,73678364.6,-0.47875710585465403,68585081.0,-0.44004842685831336,2008-06-11
2008-06-12,8.06,8.32,7.86,8.3,50883559.0,412759709.0,1050000000.0,0.0484605323809523,45675555.8,0.11402167108385797,68653487.7,-0.25883504677359603,2008-06-12
2008-06-13,8.2,8.25,7.8,7.83,31425734.0,251856600.0,1050000000.0,0.0299292704761904,44946305.4,-0.30081607997973514,67435389.0,-0.5339875032084416,2008-06-13
2008-06-16,7.84,7.98,7.47,7.57,29941928.0,229114014.0,1050000000.0,0.0285161219047619,40747049.6,-0.26517555764331957,64898724.2,-0.5386361077341486,2008-06-16
2008-06-17,7.56,8.23,7.43,7.77,55797982.0,434202002.0,1050000000.0,0.0531409352380952,41072359.4,0.3585287725155619,61761382.4,-0.09655548772172562,2008-06-17
2008-06-18,7.62,8.3,7.51,8.19,71591727.0,573810089.0,1050000000.0,0.0681825971428571,41290705.4,0.7338460630900241,57484535.0,0.24540847377472907,2008-06-18
2008-06-19,8.05,8.09,7.37,7.37,56694826.0,439046194.0,1050000000.0,0.0539950723809523,47928186.0,0.18291199253816948,46801870.9,0.2113794792763295,2008-06-19
