Month,Selected_seed,Validation_MAPE,Train_end,Validation_start,Validation_end,Test_start,Test_end,Refit
2020-01,785634,6.0255549114301905,2019-09-30,2019-10-01,2019-12-31,2020-01-01,2020-01-31,False
2020-02,785634,9.254464085681342,2019-10-31,2019-11-01,2020-01-31,2020-02-03,2020-02-28,False
2020-03,785634,12.546828412026835,2019-11-29,2019-12-02,2020-02-28,2020-03-02,2020-03-31,False
2020-04,798291,6.7914785696999385,2019-12-31,2020-01-01,2020-03-31,2020-04-01,2020-04-30,False
2020-05,741131,4.5830558475575724,2020-01-31,2020-02-03,2020-04-30,2020-05-01,2020-05-29,False
2020-06,741131,4.615877514803471,2020-02-28,2020-03-02,2020-05-29,2020-06-01,2020-06-30,False
2020-07,965409,2.9152995528320744,2020-03-31,2020-04-01,2020-06-30,2020-07-01,2020-07-31,False
2020-08,798291,3.8529897615542144,2020-04-30,2020-05-01,2020-07-31,2020-08-03,2020-08-31,False
2020-09,565766,5.680123151391736,2020-05-29,2020-06-01,2020-08-31,2020-09-01,2020-09-30,False
2020-10,42716,8.844332522183251,2020-06-30,2020-07-01,2020-09-30,2020-10-01,2020-10-30,False
2020-11,385735,8.294102148674657,2020-07-31,2020-08-03,2020-10-30,2020-11-02,2020-11-30,False
2020-12,965409,10.996075408859776,2020-08-31,2020-09-01,2020-11-30,2020-12-01,2020-12-31,False
