Method,Month,Seed,Stage,Epoch,Weighted_MSE,Train_MSE,Train_MSE_standardized
A,2020-01,785634,Base,1,0.4882118353223813,0.4882118353223813,0.9223301884124506
A,2020-01,785634,Base,2,0.44479636078241647,0.44479636078241647,0.8403096393079418
A,2020-01,785634,Base,3,0.4049977643469908,0.4049977643469908,0.7651220992013031
A,2020-01,785634,Base,4,0.36704468259506257,0.36704468259506257,0.6934211069056656
A,2020-01,785634,Base,5,0.3311178537185077,0.3311178537185077,0.6255481131571758
A,2020-01,785634,Base,6,0.29867519801724385,0.29867519801724385,0.5642574221484501
A,2020-01,785634,Base,7,0.26952375415711244,0.26952375415711244,0.5091844911731993
A,2020-01,785634,Base,8,0.24331050650078054,0.24331050650078054,0.4596624028080088
A,2020-01,785634,Base,9,0.2193514281888593,0.2193514281888593,0.4143988929649284
A,2020-01,785634,Base,10,0.19791919683469777,0.19791919683469777,0.3739091044084304
A,2020-01,785634,Base,11,0.18054119015872003,0.18054119015872003,0.3410785603453119
A,2020-01,785634,Base,12,0.16699848516201699,0.16699848516201699,0.3154936712715448
A,2020-01,785634,Base,13,0.15399414779551943,0.15399414779551943,0.2909258667538593
A,2020-01,785634,Base,14,0.13955655000687603,0.13955655000687603,0.26365034550429856
A,2020-01,785634,Base,15,0.1250464473140281,0.1250464473140281,0.23623784793192576
A,2020-01,785634,Base,16,0.11254345756125317,0.11254345756125317,0.21261718972567606
A,2020-01,785634,Base,17,0.10224536495622756,0.10224536495622756,0.19316202496833226
A,2020-01,785634,Base,18,0.09380802030139775,0.09380802030139775,0.17722218672157763
A,2020-01,785634,Base,19,0.08856583570395804,0.08856583570395804,0.16731864740189545
A,2020-01,785634,Base,20,0.08599435252028806,0.08599435252028806,0.16246059932174672
A,2020-01,785634,Base,21,0.08409860170156892,0.08409860170156892,0.15887914536404477
A,2020-01,785634,Base,22,0.08290498344104284,0.08290498344104284,0.1566241607949046
A,2020-01,785634,Base,23,0.08189654042943631,0.08189654042943631,0.15471900945361422
A,2020-01,785634,Base,24,0.07943712729919583,0.07943712729919583,0.15007268420772815
A,2020-01,785634,Base,25,0.07583798734539952,0.07583798734539952,0.14327318613837944
A,2020-01,785634,Base,26,0.0718498385374672,0.0718498385374672,0.1357387722317437
A,2020-01,785634,Base,27,0.06729332778158564,0.06729332778158564,0.1271306084800385
A,2020-01,785634,Base,28,0.06275627409945232,0.06275627409945232,0.1185592030475664
A,2020-01,785634,Base,29,0.05900137008530081,0.05900137008530081,0.11146543539124538
A,2020-01,785634,Base,30,0.05581516806150126,0.05581516806150126,0.10544605998837207
A,2020-01,785634,Base,31,0.05304908519814287,0.05304908519814287,0.10022037403825346
A,2020-01,785634,Base,32,0.050976528294042485,0.050976528294042485,0.09630489788312879
A,2020-01,785634,Base,33,0.04961529369824225,0.04961529369824225,0.0937332523997928
A,2020-01,785634,Base,34,0.04884709323467045,0.04884709323467045,0.0922819674717311
A,2020-01,785634,Base,35,0.04862932319757081,0.04862932319757081,0.09187055614407236
A,2020-01,785634,Base,36,0.04865002542772237,0.04865002542772237,0.09190966681377506
A,2020-01,785634,Base,37,0.048386538109388394,0.048386538109388394,0.09141188636197017
A,2020-01,785634,Base,38,0.04764972758410995,0.04764972758410995,0.09001990333035113
A,2020-01,785634,Base,39,0.0465727329615719,0.0465727329615719,0.08798524423105096
A,2020-01,785634,Base,40,0.04529075466870859,0.04529075466870859,0.08556332981839339
A,2020-01,785634,Base,41,0.04402934339627415,0.04402934339627415,0.08318027063712263
A,2020-01,785634,Base,42,0.042995117399401137,0.042995117399401137,0.0812264100595169
A,2020-01,785634,Base,43,0.04213557330795603,0.04213557330795603,0.07960255867687298
A,2020-01,785634,Base,44,0.041371652811980436,0.041371652811980436,0.07815935946700532
A,2020-01,785634,Base,45,0.04076567779457706,0.04076567779457706,0.0770145509811442
A,2020-01,785634,Base,46,0.040279244372013544,0.040279244372013544,0.07609558057153325
A,2020-01,785634,Base,47,0.03985318190629797,0.03985318190629797,0.07529066302171714
A,2020-01,785634,Base,48,0.039464668394801374,0.039464668394801374,0.07455668298613931
A,2020-01,785634,Base,49,0.03899129959871634,0.03899129959871634,0.07366239427928446
A,2020-01,785634,Base,50,0.03836432388125447,0.03836432388125447,0.07247791125413457
A,2020-01,785634,Base,51,0.0376631556564698,0.0376631556564698,0.07115326368501648
