Trigger_date,Effective_date,Variable,Threshold,Direction,Previous_deviation,Deviation
2016-01-01,2016-01-04,a500_vs_ma20,0.05,outward,0.00277373705499806,-0.06634518635507569
2016-01-06,2016-01-07,a500_vs_ma20,0.05,inward,-0.06319854678033199,-0.0441268889002665
2016-01-07,2016-01-08,a500_vs_ma20,0.05,outward,-0.0441268889002665,-0.10727423506440759
2016-01-07,2016-01-08,a500_vs_ma20,0.08,outward,-0.0441268889002665,-0.10727423506440759
2016-01-07,2016-01-08,copper_vs_ma20,0.03,outward,-0.0047427250411115,-0.0350866727908281
2016-01-07,2016-01-08,gold_vs_ma20,0.03,outward,0.0187867880802135,0.0318631664910189
2016-01-08,2016-01-11,gold_vs_ma20,0.03,inward,0.0318631664910189,0.0216465150984335
2016-01-19,2016-01-20,a500_vs_ma20,0.08,inward,-0.08333038108787516,-0.07442639929316586
2016-01-21,2016-01-22,a500_vs_ma20,0.08,outward,-0.07868683901774087,-0.09745305242619329
2016-01-21,2016-01-22,copper_vs_ma20,0.03,inward,-0.0392959576397911,-0.0181710885441001
2016-01-22,2016-01-25,a500_vs_ma20,0.08,inward,-0.09745305242619329,-0.0781983111299146
2016-01-26,2016-01-27,a500_vs_ma20,0.08,outward,-0.06441325349442506,-0.11103512461262732
2016-02-02,2016-02-03,a500_vs_ma20,0.08,inward,-0.08420443730111338,-0.05423188033319504
2016-02-03,2016-02-04,a500_vs_ma20,0.05,inward,-0.05423188033319504,-0.04750777308911491
2016-02-03,2016-02-04,copper_vs_ma20,0.03,outward,0.024244007413765,0.0434025618704141
2016-02-03,2016-02-04,gold_vs_ma20,0.03,outward,0.0226427894961216,0.0330283499879315
2016-02-06,2016-02-08,us10y_vs_ma20,0.1,outward,-0.07393577296489917,-0.11949685534591192
2016-02-08,2016-02-09,copper_vs_ma20,0.03,inward,0.0323551913916928,0.0289903201603876
2016-02-12,2016-02-14,us10y_vs_ma20,0.1,inward,-0.14771241830065374,-0.0825204323754285
2016-02-22,2016-02-23,gold_vs_ma20,0.03,inward,0.0427693117554863,0.0210154292367545
2016-02-24,2016-02-25,gold_vs_ma20,0.03,outward,0.0271946715900206,0.0356546592528761
2016-02-26,2016-02-29,gold_vs_ma20,0.03,inward,0.030485063154702,0.0112792999879249
2016-02-29,2016-03-01,a500_vs_ma20,0.05,outward,-0.031545076577841114,-0.0610967639240837
2016-03-01,2016-03-02,a500_vs_ma20,0.05,inward,-0.0610967639240837,-0.04323880722875406
2016-03-01,2016-03-02,copper_vs_ma20,0.03,outward,0.0259432543930338,0.0319120794555469
2016-03-04,2016-03-07,copper_vs_ma20,0.08,outward,0.0573056300268095,0.0841535784932911
2016-03-04,2016-03-07,gold_vs_ma20,0.03,outward,0.029727304761403,0.0373305111512307
2016-03-07,2016-03-08,gold_vs_ma20,0.03,inward,0.0373305111512307,0.0295321727796662
2016-03-08,2016-03-09,copper_vs_ma20,0.08,inward,0.0822018435582094,0.0482615464452518
2016-03-16,2016-03-17,copper_vs_ma20,0.03,inward,0.0302359371756728,0.0267487820571745
2016-03-17,2016-03-18,copper_vs_ma20,0.03,outward,0.0267487820571745,0.0483834087895
2016-03-21,2016-03-22,a500_vs_ma20,0.05,outward,0.03962184003412039,0.060435290879563563
2016-03-23,2016-03-24,copper_vs_ma20,0.03,inward,0.033680978825229,0.0061774932205105
2016-03-24,2016-03-25,a500_vs_ma20,0.05,inward,0.05647553572352004,0.03665693748647336
2016-04-01,2016-04-04,copper_vs_ma20,0.03,outward,-0.0251943596712036,-0.0315954002456181
2016-04-12,2016-04-13,copper_vs_ma20,0.03,inward,-0.0489916815143501,-0.021955406987982
2016-04-20,2016-04-21,copper_vs_ma20,0.03,outward,0.0246622592699052,0.0307287295802822
2016-04-26,2016-04-27,copper_vs_ma20,0.03,inward,0.0352271161530337,0.029489386115892
2016-04-29,2016-05-02,copper_vs_ma20,0.03,outward,0.0225918797543762,0.0436710162480862
2016-04-29,2016-05-02,gold_vs_ma20,0.03,outward,0.0199681738102992,0.036271899862692
2016-05-03,2016-05-04,copper_vs_ma20,0.03,inward,0.0330564386558642,0.009680465026334
2016-05-04,2016-05-05,gold_vs_ma20,0.03,inward,0.032308093892404,0.0163268929492417
2016-05-09,2016-05-10,copper_vs_ma20,0.03,outward,-0.0236163365214633,-0.045396354243375
2016-05-24,2016-05-25,gold_vs_ma20,0.03,outward,-0.0145870524944412,-0.0315653183075129
2016-05-25,2016-05-26,copper_vs_ma20,0.03,inward,-0.0311994561777735,-0.01203516524846
2016-06-03,2016-06-06,gold_vs_ma20,0.03,inward,-0.0305234912179568,-0.0041357402066537
2016-06-09,2016-06-10,gold_vs_ma20,0.03,outward,0.0139358132503875,0.0331486060746051
2016-06-20,2016-06-21,gold_vs_ma20,0.03,inward,0.0330041698571537,0.0284948764041508
2016-06-23,2016-06-24,copper_vs_ma20,0.03,outward,0.0265533531271411,0.0391450528338137
2016-06-24,2016-06-27,copper_vs_ma20,0.03,inward,0.0391450528338137,0.0145727798717978
2016-06-24,2016-06-27,gold_vs_ma20,0.03,outward,-0.0001387858753044,0.042131308406081
2016-06-27,2016-06-28,us10y_vs_ma20,0.1,outward,-0.06880189798339287,-0.12417516496700676
2016-06-28,2016-06-29,copper_vs_ma20,0.03,outward,0.0190395066764244,0.0404098439145839
2016-06-28,2016-06-29,gold_vs_ma20,0.03,inward,0.0396849046281664,0.0298389746460834
2016-06-29,2016-06-30,gold_vs_ma20,0.03,outward,0.0298389746460834,0.0319628783772176
2016-06-29,2016-06-30,us10y_vs_ma20,0.1,inward,-0.11380880121396042,-0.08088235294117652
2016-06-30,2016-07-01,gold_vs_ma20,0.03,inward,0.0319628783772176,0.0245490899267961
2016-07-01,2016-07-04,gold_vs_ma20,0.03,outward,0.0245490899267961,0.035066142430834
2016-07-04,2016-07-05,us10y_vs_ma20,0.1,outward,-0.09175738724727833,-0.1383647798742138
2016-07-06,2016-07-07,copper_vs_ma20,0.03,inward,0.0322046918395082,0.0153468964379173
2016-07-07,2016-07-08,us10y_vs_ma20,0.1,inward,-0.11424903722721447,-0.09443725743855103
2016-07-08,2016-07-11,us10y_vs_ma20,0.1,outward,-0.09443725743855103,-0.10661884577763281
2016-07-11,2016-07-12,gold_vs_ma20,0.03,inward,0.0329978892789877,0.0290136268317238
2016-07-11,2016-07-12,us10y_vs_ma20,0.1,inward,-0.10661884577763281,-0.061679790026246795
2016-07-12,2016-07-13,copper_vs_ma20,0.03,outward,0.0066563540055313,0.0332189462380654
2016-07-18,2016-07-19,copper_vs_ma20,0.03,inward,0.0302715793115377,0.0285057471264369
2016-07-19,2016-07-20,copper_vs_ma20,0.03,outward,0.0285057471264369,0.0369674544350635
2016-07-21,2016-07-22,copper_vs_ma20,0.03,inward,0.0300350732883207,0.0298560207931966
2016-08-24,2016-08-25,copper_vs_ma20,0.03,outward,-0.0257464872876,-0.0418168626412225
2016-08-31,2016-09-01,copper_vs_ma20,0.03,inward,-0.0322129178232373,-0.0290694273849213
2016-09-22,2016-09-23,copper_vs_ma20,0.03,outward,0.0191897654584221,0.0361286359017978
2016-09-27,2016-09-28,copper_vs_ma20,0.03,inward,0.0316472053191738,0.0162816049512959
2016-10-03,2016-10-04,gold_vs_ma20,0.03,outward,-0.0093647228781587,-0.0514007556679055
2016-10-12,2016-10-13,gold_vs_ma20,0.03,inward,-0.0302683189763184,-0.0293951239804819
2016-10-14,2016-10-17,copper_vs_ma20,0.03,outward,-0.0259240982797598,-0.0300676723692222
2016-10-18,2016-10-19,copper_vs_ma20,0.03,inward,-0.0306961552174263,-0.0294439642754247
2016-10-21,2016-10-24,copper_vs_ma20,0.03,outward,-0.0294948372459137,-0.0311956395685958
2016-10-24,2016-10-25,copper_vs_ma20,0.03,inward,-0.0311956395685958,-0.0270433600241727
2016-11-01,2016-11-02,copper_vs_ma20,0.03,outward,0.0281244179549267,0.0372315701403738
2016-11-02,2016-11-03,gold_vs_ma20,0.03,outward,0.0193828674132807,0.0333457513070618
2016-11-03,2016-11-04,gold_vs_ma20,0.03,inward,0.0333457513070618,0.0276342672752394
2016-11-08,2016-11-09,copper_vs_ma20,0.08,outward,0.0676173006149125,0.0947010588694674
2016-11-09,2016-11-10,us10y_vs_ma20,0.1,outward,0.04560622914349266,0.14238410596026485
2016-11-11,2016-11-14,gold_vs_ma20,0.03,outward,-0.0062702079487688,-0.0398541248793228
2016-11-11,2016-11-14,us10y_vs_ma20,0.2,outward,0.17358078602620086,0.203129214998651
2016-11-14,2016-11-15,us10y_vs_ma20,0.2,inward,0.203129214998651,0.18838262723154808
2016-11-16,2016-11-17,copper_vs_ma20,0.08,inward,0.1028158638357761,0.0778443113772455
2016-11-23,2016-11-24,copper_vs_ma20,0.08,outward,0.0738255033557049,0.0890954810571675
2016-11-28,2016-11-29,copper_vs_ma20,0.08,inward,0.0931174089068826,0.0782228165076277
2016-11-28,2016-11-29,us10y_vs_ma20,0.1,inward,0.11636707663197732,0.08512628624883067
2016-12-01,2016-12-02,us10y_vs_ma20,0.1,outward,0.08243891299383432,0.10310670868977945
2016-12-02,2016-12-05,us10y_vs_ma20,0.1,inward,0.10310670868977945,0.06595602931379063
2016-12-05,2016-12-06,gold_vs_ma20,0.03,inward,-0.0313247205520879,-0.0280531604372851
