Month,Method,N,MAPE,MSE
2016-01,Original,21,4.97674957156014,0.03264137302171608
2016-02,Original,23,4.539075250784595,0.03425476297436238
2016-03,Original,23,3.71025888301494,0.02139920727771729
2016-04,Original,21,3.7294861185418102,0.019427374782042085
2016-05,Original,22,2.3021062426210404,0.009015342478072718
2016-06,Original,23,3.020274632967818,0.017980069724282323
2016-07,Original,21,4.924779768382849,0.05423670509936237
2016-08,Original,23,4.511408373452612,0.029483005345552617
2016-09,Original,23,4.316697604688653,0.02662401450655754
2016-10,Original,23,2.205579841974704,0.017763182605509666
2016-11,Original,22,5.325065978172865,0.05652084788624335
2016-12,Original,23,1.9725140953468028,0.006755564917189837
2016-01,Features_only,21,6.375731953487137,0.06029754910319801
2016-02,Features_only,23,4.902526392062623,0.04064773794005954
2016-03,Features_only,23,3.9278608576319907,0.025449472465006447
2016-04,Features_only,21,3.3959638703303345,0.019560286092757367
2016-05,Features_only,22,2.502324460481473,0.009788861317892115
2016-06,Features_only,23,3.0365438345840072,0.017166760793081423
2016-07,Features_only,21,5.011450258540867,0.050717855059954686
2016-08,Features_only,23,3.731860377636389,0.020694543672259348
2016-09,Features_only,23,3.626718204618931,0.01583681780809493
2016-10,Features_only,23,2.6167055749974018,0.010594885284765659
2016-11,Features_only,22,5.701131122747467,0.09556467145463654
2016-12,Features_only,23,2.090543614462743,0.009696621954167579
2016-01,Triggers_only,21,4.297365189919568,0.025440459733361682
2016-02,Triggers_only,23,3.36224114132312,0.01891309089808795
2016-03,Triggers_only,23,3.292901140912096,0.017917843619460427
2016-04,Triggers_only,21,3.659674232268019,0.018711070457549602
2016-05,Triggers_only,22,2.3021062426210404,0.009015342478072718
2016-06,Triggers_only,23,2.9941537774790494,0.01785166922962518
2016-07,Triggers_only,21,4.449980208993773,0.037792798491540526
2016-08,Triggers_only,23,4.511408373452612,0.029483005345552617
2016-09,Triggers_only,23,4.316697604688653,0.02662401450655754
2016-10,Triggers_only,23,2.205579841974704,0.017763182605509666
2016-11,Triggers_only,22,3.640368069407826,0.02611572807574386
2016-12,Triggers_only,23,1.8489010580856304,0.005863737768996297
2016-01,Features_and_triggers,21,5.511535680834139,0.04306409305574969
2016-02,Features_and_triggers,23,3.7260924661352592,0.026865589130235044
2016-03,Features_and_triggers,23,3.586961382225652,0.025263018021013006
2016-04,Features_and_triggers,21,3.0870775105781867,0.01716560983311292
2016-05,Features_and_triggers,22,2.502324460481473,0.009788861317892115
2016-06,Features_and_triggers,23,2.9042257844556447,0.016252982471271576
2016-07,Features_and_triggers,21,4.701690985561441,0.040434219696179725
2016-08,Features_and_triggers,23,3.731860377636389,0.020694543672259348
2016-09,Features_and_triggers,23,3.626718204618931,0.01583681780809493
2016-10,Features_and_triggers,23,2.6167055749974018,0.010594885284765659
2016-11,Features_and_triggers,22,3.8004740595398814,0.03972232118269137
2016-12,Features_and_triggers,23,2.1957933213716885,0.010143410170394782
