Trigger_date,Effective_date,Variable,Threshold,Direction,Previous_deviation,Deviation
2021-01-01,2021-01-04,gold_vs_ma20,0.03,outward,0.0149282479951129,0.0395601468640238
2021-01-06,2021-01-07,gold_vs_ma20,0.03,inward,0.039258930767515,0.0129346095157691
2021-01-07,2021-01-08,copper_vs_ma20,0.03,outward,0.0241411718497945,0.0351129004025905
2021-01-08,2021-01-11,copper_vs_ma20,0.03,inward,0.0351129004025905,0.0266908887646732
2021-02-09,2021-02-10,copper_vs_ma20,0.03,outward,0.0170201434618351,0.0308035361633542
2021-02-11,2021-02-12,gold_vs_ma20,0.03,outward,0.000214630759753,-0.0345691041270525
2021-02-15,2021-02-16,gold_vs_ma20,0.03,inward,-0.0310825004666281,-0.0286279190404704
2021-02-26,2021-03-01,gold_vs_ma20,0.03,outward,-0.0128484300880649,-0.0358145381260135
2021-03-02,2021-03-03,gold_vs_ma20,0.03,inward,-0.0371554653956301,-0.0291191627716843
2021-03-03,2021-03-04,gold_vs_ma20,0.03,outward,-0.0291191627716843,-0.035942089610881
2021-03-04,2021-03-05,copper_vs_ma20,0.03,inward,0.0407806608781304,-0.0042061870120052
2021-03-09,2021-03-10,gold_vs_ma20,0.03,inward,-0.0454896174100266,-0.0217772396533548
2021-04-15,2021-04-16,copper_vs_ma20,0.03,outward,0.0157469667727938,0.0367769812432485
2021-04-16,2021-04-19,copper_vs_ma20,0.03,inward,0.0367769812432485,0.023514836303865
2021-04-19,2021-04-20,copper_vs_ma20,0.03,outward,0.023514836303865,0.0396133608570747
2021-05-14,2021-05-17,copper_vs_ma20,0.03,inward,0.036660496726248,0.0237770543726902
2021-05-17,2021-05-18,copper_vs_ma20,0.03,outward,0.0237770543726902,0.031470636527831
2021-05-17,2021-05-18,gold_vs_ma20,0.03,outward,0.0186843005141343,0.0329378612818673
2021-05-18,2021-05-19,copper_vs_ma20,0.03,inward,0.031470636527831,0.0294926608752486
2021-05-21,2021-05-24,gold_vs_ma20,0.03,inward,0.0324669323236797,0.0269219944755352
2021-05-25,2021-05-26,gold_vs_ma20,0.03,outward,0.0282459205519365,0.0320949223313511
