Method,Effective_date,Trigger_date,Seed,N,Applied_end
Original,2023-01-02,,374583,6,2023-01-09
Original,2023-01-10,2023-01-09,374583,3,2023-01-12
Original,2023-01-13,2023-01-12,374583,4,2023-01-17
Original,2023-01-18,2023-01-17,385735,2,2023-01-19
Original,2023-01-20,2023-01-19,385735,1,2023-01-20
Original,2023-01-23,2023-01-20,385735,5,2023-01-27
Original,2023-01-28,2023-01-27,374583,7,2023-02-03
Original,2023-02-06,2023-02-03,385735,2,2023-02-07
Original,2023-02-08,2023-02-07,385735,1,2023-02-08
Original,2023-02-09,2023-02-08,374583,1,2023-02-09
Original,2023-02-10,2023-02-09,374583,1,2023-02-10
Original,2023-02-13,2023-02-10,374583,1,2023-02-13
Original,2023-02-14,2023-02-13,374583,2,2023-02-15
Original,2023-02-16,2023-02-15,374583,1,2023-02-16
Original,2023-02-17,2023-02-16,374583,7,2023-02-24
Original,2023-02-27,2023-02-24,374583,1,2023-02-27
Original,2023-02-28,2023-02-27,374583,10,2023-03-13
Original,2023-03-14,2023-03-13,374583,2,2023-03-15
Original,2023-03-16,2023-03-15,42716,3,2023-03-20
Original,2023-03-21,2023-03-20,42716,5,2023-03-27
Original,2023-03-28,2023-03-27,374583,1,2023-03-28
Original,2023-03-29,2023-03-28,374583,1,2023-03-29
Original,2023-03-30,2023-03-29,374583,1,2023-03-30
Original,2023-03-31,2023-03-30,374583,1,2023-03-31
Original,2023-04-03,2023-03-31,374583,2,2023-04-04
Original,2023-04-05,2023-04-04,374583,2,2023-04-06
Original,2023-04-07,2023-04-06,374583,14,2023-04-25
Original,2023-04-26,2023-04-25,374583,3,2023-04-28
Original,2023-05-01,2023-04-28,42716,2,2023-05-02
Original,2023-05-03,2023-05-02,42716,2,2023-05-04
Original,2023-05-05,2023-05-04,42716,6,2023-05-11
Original,2023-05-12,2023-05-11,42716,4,2023-05-17
Original,2023-05-18,2023-05-17,42716,1,2023-05-18
Original,2023-05-19,2023-05-18,42716,1,2023-05-19
Original,2023-05-22,2023-05-19,42716,1,2023-05-22
Original,2023-05-23,2023-05-22,42716,3,2023-05-25
Original,2023-05-26,2023-05-25,42716,1,2023-05-26
Original,2023-05-28,2023-05-26,42716,13,2023-06-13
Original,2023-06-14,2023-06-13,374583,5,2023-06-19
Original,2023-06-20,2023-06-19,374583,2,2023-06-21
Original,2023-06-22,2023-06-21,374583,1,2023-06-22
Original,2023-06-23,2023-06-22,374583,6,2023-06-29
Original,2023-06-30,2023-06-29,374583,1,2023-06-30
Original,2023-07-03,2023-06-30,374583,9,2023-07-13
Original,2023-07-14,2023-07-13,374583,2,2023-07-17
Original,2023-07-18,2023-07-17,374583,10,2023-07-31
Original,2023-08-01,2023-07-31,798291,1,2023-08-01
Original,2023-08-02,2023-08-01,798291,8,2023-08-11
Original,2023-08-14,2023-08-11,798291,1,2023-08-14
Original,2023-08-15,2023-08-14,798291,1,2023-08-15
Original,2023-08-16,2023-08-15,798291,3,2023-08-18
Original,2023-08-21,2023-08-18,798291,27,2023-09-25
Original,2023-09-26,2023-09-25,798291,3,2023-09-28
Original,2023-09-29,2023-09-28,798291,1,2023-09-29
Original,2023-10-02,2023-09-29,798291,2,2023-10-03
Original,2023-10-04,2023-10-03,798291,1,2023-10-04
Original,2023-10-05,2023-10-04,798291,2,2023-10-06
Original,2023-10-07,2023-10-06,565766,10,2023-10-18
Original,2023-10-19,2023-10-18,565766,9,2023-10-31
Original,2023-11-01,2023-10-31,785634,4,2023-11-06
